timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.521,0.525,0.473,0.516,10876604.0,1668470399999,5474793.68370000,25162,4515780.90000000,2279976.89580000,0
2022-11-15,0.515,0.544,0.508,0.531,5465781.4,1668556799999,2882180.10790000,15461,2753368.80000000,1451875.18280000,0
2022-11-16,0.531,0.544,0.513,0.522,4315717.0,1668643199999,2282973.92710000,11317,1879481.60000000,995053.86530000,0
2022-11-17,0.523,0.526,0.504,0.516,44063424.4,1668729599999,22716713.41140000,30030,21714613.20000000,11213541.05600000,0
2022-11-18,0.516,0.535,0.515,0.529,3184551.2,1668815999999,1681502.11690000,7352,1553454.50000000,820694.59730000,0
2022-11-19,0.529,0.548,0.518,0.538,3569148.7,1668902399999,1906405.62680000,8345,1769496.50000000,947196.37320000,0
2022-11-20,0.538,0.541,0.502,0.504,2331726.4,1668988799999,1219667.20610000,8352,1089317.50000000,570729.17340000,0
2022-11-21,0.504,0.509,0.489,0.503,4028140.1,1669075199999,2013744.31580000,11746,2065760.00000000,1032789.07770000,0
2022-11-22,0.502,0.538,0.5,0.537,4627309.0,1669161599999,2393408.10900000,21753,2580896.00000000,1334535.77380000,0
2022-11-23,0.538,0.547,0.529,0.546,3182885.8,1669247999999,1713805.25810000,8974,1628900.10000000,878408.94280000,0
2022-11-24,0.546,0.548,0.522,0.527,2778949.1,1669334399999,1483244.77110000,7231,1252338.50000000,666638.48110000,0
2022-11-25,0.528,0.528,0.512,0.518,2078930.6,1669420799999,1075514.49740000,5635,1070974.70000000,553991.32810000,0
2022-11-26,0.517,0.527,0.514,0.52,1875382.6,1669507199999,977724.95660000,5833,947331.00000000,494208.19650000,0
2022-11-27,0.519,0.563,0.515,0.52,7961920.0,1669593599999,4300467.74830000,19919,4415710.00000000,2390832.83070000,0
2022-11-28,0.519,0.541,0.5,0.516,4539510.8,1669679999999,2347953.99400000,12853,2257337.70000000,1170322.37020000,0
2022-11-29,0.516,0.525,0.509,0.519,2769089.2,1669766399999,1431940.34270000,6703,1490619.00000000,770843.08820000,0
2022-11-30,0.519,0.532,0.512,0.527,3803624.2,1669852799999,1989438.07250000,8580,2163202.60000000,1131817.79590000,0
2022-12-01,0.527,0.528,0.504,0.51,4756502.1,1669939199999,2443127.95730000,10178,2284263.20000000,1173280.30160000,0
2022-12-02,0.51,0.512,0.495,0.504,12040613.0,1670025599999,6039052.49340000,20852,4920919.80000000,2469103.90700000,0
2022-12-03,0.504,0.507,0.481,0.487,11276261.1,1670111999999,5608353.48390000,17745,5421799.80000000,2696939.88520000,0
2022-12-04,0.487,0.499,0.486,0.497,4155012.1,1670198399999,2046354.39800000,8605,1725774.00000000,850429.88900000,0
2022-12-05,0.497,0.504,0.48,0.484,9950352.4,1670284799999,4881879.76390000,16658,4594203.10000000,2262100.18870000,0
2022-12-06,0.484,0.49,0.467,0.476,10745041.1,1670371199999,5115601.69390000,16756,5514041.90000000,2625664.24540000,0
2022-12-07,0.475,0.476,0.429,0.444,16044687.3,1670457599999,7235945.77820000,20331,7528394.20000000,3394489.71820000,0
2022-12-08,0.443,0.449,0.43,0.447,7579850.2,1670543999999,3320180.48290000,10019,5179087.50000000,2268031.16610000,0
2022-12-09,0.448,0.451,0.432,0.441,4929816.5,1670630399999,2184145.14090000,7183,2414131.90000000,1070657.27660000,0
2022-12-10,0.441,0.447,0.44,0.443,3156757.6,1670716799999,1399156.13720000,4088,1151092.20000000,510531.87200000,0
2022-12-11,0.444,0.451,0.433,0.435,2985448.5,1670803199999,1327211.97970000,4380,1716624.50000000,764238.94590000,0
2022-12-12,0.435,0.435,0.412,0.431,4389545.4,1670889599999,1859848.63580000,6889,2401924.30000000,1019274.65780000,0
2022-12-13,0.432,0.444,0.417,0.442,4930993.7,1670975999999,2131351.94470000,8466,2500853.20000000,1081171.50860000,0
2022-12-14,0.442,0.445,0.428,0.432,3226134.3,1671062399999,1411965.73450000,5970,1471927.60000000,644346.80450000,0
2022-12-15,0.431,0.436,0.422,0.424,2125828.9,1671148799999,910763.39720000,3903,978428.20000000,419174.92110000,0
2022-12-16,0.424,0.43,0.365,0.385,9279721.2,1671235199999,3679454.27210000,17550,4227744.80000000,1677484.11410000,0
2022-12-17,0.385,0.396,0.376,0.389,5806434.7,1671321599999,2220471.71120000,9533,3087002.90000000,1180547.49550000,0
2022-12-18,0.389,0.395,0.382,0.39,1758512.0,1671407999999,683868.14320000,3351,735006.30000000,285611.94250000,0
2022-12-19,0.391,0.402,0.381,0.382,4999108.7,1671494399999,1970043.82300000,8321,2300930.50000000,908589.88660000,0
2022-12-20,0.381,0.407,0.379,0.404,3573832.8,1671580799999,1417442.62400000,5752,1585756.80000000,627008.69560000,0
2022-12-21,0.404,0.407,0.394,0.399,3102214.7,1671667199999,1237016.53540000,4871,1487488.80000000,593032.34760000,0
2022-12-22,0.399,0.402,0.389,0.397,1901395.0,1671753599999,754274.14440000,6469,911937.30000000,362038.55370000,0
2022-12-23,0.397,0.399,0.39,0.398,1445583.8,1671839999999,570731.19340000,9499,707598.50000000,279596.10700000,0
2022-12-24,0.398,0.403,0.397,0.399,870923.7,1671926399999,348672.61640000,2594,370678.70000000,148505.04910000,0
2022-12-25,0.4,0.402,0.389,0.398,1670914.4,1672012799999,660561.18170000,4164,738091.10000000,291619.58710000,0
2022-12-26,0.399,0.407,0.396,0.405,1644031.1,1672099199999,662737.94660000,4111,805127.50000000,324870.28910000,0
2022-12-27,0.406,0.415,0.396,0.401,3215882.1,1672185599999,1296194.15250000,7291,1299571.20000000,522989.80630000,0
2022-12-28,0.401,0.402,0.38,0.384,3668751.6,1672271999999,1425886.30670000,11054,1740402.00000000,676673.64740000,0
2022-12-29,0.384,0.387,0.374,0.382,4136422.6,1672358399999,1574224.95090000,10894,2012581.40000000,765992.63600000,0
2022-12-30,0.381,0.387,0.371,0.376,2167412.3,1672444799999,817993.19750000,9167,941076.20000000,354930.07170000,0
2022-12-31,0.377,0.392,0.374,0.383,2613452.1,1672531199999,1008520.30980000,4910,1198986.40000000,462715.60000000,0
2023-01-01,0.383,0.387,0.38,0.386,1003164.7,1672617599999,384439.08360000,2375,631563.80000000,242100.97840000,0
2023-01-02,0.386,0.399,0.378,0.396,2408420.6,1672703999999,935685.19810000,5338,1424778.40000000,552981.66340000,0
2023-01-03,0.395,0.4,0.382,0.386,3465795.5,1672790399999,1355286.20250000,10382,1494602.90000000,582161.60270000,0
2023-01-04,0.387,0.403,0.384,0.395,4034141.8,1672876799999,1594019.79140000,14140,1927346.90000000,761951.80940000,0
2023-01-05,0.395,0.413,0.385,0.388,7500827.3,1672963199999,2952470.45130000,16805,3663134.10000000,1444022.79300000,0
2023-01-06,0.388,0.398,0.381,0.397,6144865.6,1673049599999,2385048.61770000,9065,3085956.00000000,1194872.80400000,0
2023-01-07,0.396,0.401,0.393,0.398,1834895.3,1673135999999,728954.69930000,3543,902441.00000000,358912.38570000,0
2023-01-08,0.398,0.412,0.393,0.409,5202312.2,1673222399999,2101479.28080000,7128,2136550.50000000,863838.79490000,0
