timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,13.03,13.61,12.06,13.14,2870740.18,1668470399999,37097586.77260000,134745,1364670.75000000,17657390.33580000,0
2022-11-15,13.14,14.01,13.02,13.51,1631061.03,1668556799999,21987082.70150000,84985,834962.62000000,11260048.26710000,0
2022-11-16,13.52,13.75,12.81,13.07,1270112.16,1668643199999,16843360.99510000,59989,598939.22000000,7953647.88290000,0
2022-11-17,13.07,13.36,12.64,12.87,1670047.32,1668729599999,21668784.75220000,97864,701452.29000000,9122360.76110000,0
2022-11-18,12.86,13.32,12.85,13.0,1339374.3,1668815999999,17579117.65550000,49729,637314.75000000,8371091.08610000,0
2022-11-19,13.0,13.0,12.49,12.89,699870.16,1668902399999,8938900.14970000,37461,343227.67000000,4382889.08700000,0
2022-11-20,12.9,13.14,12.07,12.19,1130084.38,1668988799999,14306320.74570000,54171,492014.36000000,6232486.97500000,0
2022-11-21,12.19,12.2,11.57,11.82,1802036.274,1669075199999,21454814.80004400,91929,855051.05000000,10186666.93140000,0
2022-11-22,11.82,12.38,11.44,12.36,2051456.21,1669161599999,24488339.01210000,78744,973143.29000000,11616660.36350000,0
2022-11-23,12.36,13.07,12.35,13.06,1871100.38,1669247999999,23748492.94360000,70885,931115.28000000,11821958.93920000,0
2022-11-24,13.07,13.4,12.75,12.95,1358354.49,1669334399999,17703958.38230000,56106,678324.24000000,8842282.27840000,0
2022-11-25,12.95,13.04,12.52,12.82,915142.46,1669420799999,11689727.13370000,40351,413179.63000000,5278880.59220000,0
2022-11-26,12.82,13.25,12.62,12.78,903394.4,1669507199999,11722267.46620000,35720,427509.84000000,5550032.05290000,0
2022-11-27,12.77,13.26,12.69,12.86,893001.06,1669593599999,11640762.89030000,36215,443825.57000000,5785616.16520000,0
2022-11-28,12.86,12.99,11.99,12.45,1800437.67,1669679999999,22222101.93480000,63682,837532.03000000,10338421.42460000,0
2022-11-29,12.46,12.72,12.28,12.47,1718397.88,1669766399999,21412085.93190000,50852,844599.57000000,10526122.11460000,0
2022-11-30,12.47,13.2,12.46,13.15,1761126.78,1669852799999,22686530.16290000,61382,867989.12000000,11190963.30500000,0
2022-12-01,13.15,13.32,12.79,12.9,1309898.35,1669939199999,17065733.25360000,44556,593455.00000000,7736802.00380000,0
2022-12-02,12.9,13.66,12.79,13.58,1771717.38,1670025599999,23420469.08790000,58874,894655.31000000,11842740.93740000,0
2022-12-03,13.59,13.9,13.28,13.4,1661995.09,1670111999999,22577498.22030000,54126,781815.48000000,10631030.93420000,0
2022-12-04,13.4,13.95,13.4,13.93,1096735.8,1670198399999,15019193.15260000,37001,553409.04000000,7581306.95550000,0
2022-12-05,13.93,14.35,13.38,13.6,1432042.28,1670284799999,19940977.54450000,56064,611948.05000000,8525360.68170000,0
2022-12-06,13.6,13.69,13.45,13.67,800288.63,1670371199999,10864920.89220000,29258,373219.02000000,5068072.71430000,0
2022-12-07,13.68,13.7,13.0,13.28,1097954.06,1670457599999,14529973.54340000,40308,511843.06000000,6771811.10020000,0
2022-12-08,13.28,13.55,13.06,13.42,894124.36,1670543999999,11886533.87100000,31767,430469.59000000,5726005.26510000,0
2022-12-09,13.41,13.63,13.36,13.46,726329.12,1670630399999,9787916.66760000,27422,319737.46000000,4310417.63490000,0
2022-12-10,13.46,14.06,13.34,13.49,507889.21,1670716799999,6843832.12460000,20141,261694.17000000,3530082.89110000,0
2022-12-11,13.49,13.5,12.92,12.98,611673.63,1670803199999,8131725.49100000,21032,265696.10000000,3535819.53560000,0
2022-12-12,12.98,13.06,12.52,13.0,1072315.11,1670889599999,13703529.51120000,35100,483401.45000000,6177264.63420000,0
2022-12-13,13.01,14.4,12.55,13.76,3034773.16,1670975999999,41179331.05930000,83596,1497866.18000000,20341271.39040000,0
2022-12-14,13.76,14.19,13.56,13.71,1646728.29,1671062399999,22776759.19100000,56892,769598.27000000,10643941.29420000,0
2022-12-15,13.71,13.89,13.06,13.17,1230073.86,1671148799999,16592093.08490000,43051,533477.34000000,7198683.77250000,0
2022-12-16,13.17,13.29,11.59,11.84,1740839.24,1671235199999,21790798.42890000,63749,794622.19000000,9939725.45570000,0
2022-12-17,11.84,11.99,11.52,11.95,853841.63,1671321599999,10105246.80810000,30625,407362.40000000,4820904.64250000,0
2022-12-18,11.96,12.03,11.79,11.93,640622.87,1671407999999,7633150.04600000,20008,313555.02000000,3738010.51770000,0
2022-12-19,11.93,12.1,11.15,11.39,991190.79,1671494399999,11668610.53418500,35223,451451.81000000,5314837.20250000,0
2022-12-20,11.4,12.05,11.34,11.95,1211409.88,1671580799999,14296618.95950000,41327,623732.34000000,7352162.08890000,0
2022-12-21,11.95,11.98,11.62,11.71,551520.66,1671667199999,6506060.45950000,19565,235701.65000000,2781514.13230000,0
2022-12-22,11.71,11.87,11.45,11.85,624119.17,1671753599999,7283872.37670000,23366,293811.72000000,3430953.52280000,0
2022-12-23,11.85,11.89,11.67,11.79,503382.85,1671839999999,5937729.93950000,18680,225519.65000000,2661261.45060000,0
2022-12-24,11.79,11.83,11.64,11.67,345957.08,1671926399999,4049809.06110000,11490,157203.33000000,1840753.86870000,0
2022-12-25,11.68,11.74,11.51,11.68,630940.44,1672012799999,7337612.68170000,18535,306782.59000000,3570082.92720000,0
2022-12-26,11.69,11.78,11.57,11.71,656385.55,1672099199999,7656416.05390000,18122,308039.91000000,3594226.44130000,0
2022-12-27,11.72,11.8,11.53,11.64,843496.11,1672185599999,9850159.69380000,21921,430387.88000000,5026466.53250000,0
2022-12-28,11.64,11.68,11.09,11.21,964246.13,1672271999999,10923045.52370000,31624,415099.49000000,4700419.72740000,0
2022-12-29,11.22,11.22,10.61,10.98,1028379.841,1672358399999,11301860.63590000,32046,471274.94000000,5175209.56560000,0
2022-12-30,10.98,10.99,10.54,10.87,1037690.22,1672444799999,11198174.81590000,31399,453269.11000000,4893434.57700000,0
2022-12-31,10.87,11.08,10.84,10.9,444155.56,1672531199999,4857394.47640000,14609,218700.30000000,2392601.54880000,0
2023-01-01,10.9,10.94,10.64,10.87,855821.06,1672617599999,9249941.89780000,21402,381499.71000000,4128976.50080000,0
2023-01-02,10.87,11.27,10.7,11.16,989618.96,1672703999999,10953267.19290000,31194,492692.74000000,5454164.96420000,0
2023-01-03,11.16,11.56,11.06,11.38,1149421.99,1672790399999,12997288.65740000,38316,587580.51000000,6645158.91410000,0
2023-01-04,11.38,12.3,11.34,12.08,1889080.62,1672876799999,22490498.47460000,64500,935905.54000000,11143445.32940000,0
2023-01-05,12.09,12.17,11.67,11.74,1194570.76,1672963199999,14222201.16440000,36141,493002.33000000,5866842.71020000,0
2023-01-06,11.74,11.82,11.36,11.78,1216666.03,1673049599999,14101544.12380000,46048,567444.06000000,6580134.78310000,0
2023-01-07,11.79,11.87,11.65,11.75,508959.94,1673135999999,5985646.56350000,21512,230982.29000000,2716977.44410000,0
2023-01-08,11.75,12.16,11.58,12.09,981816.74,1673222399999,11647536.76810000,33236,476623.13000000,5656765.47570000,0
2023-01-09,12.09,12.65,12.08,12.19,2600007.21,1673308799999,32255972.10240000,84895,1213410.77000000,15064637.11900000,0
2023-01-10,12.19,12.95,12.02,12.73,1873010.99,1673395199999,23491606.08240000,77871,918010.86000000,11524500.36800000,0
2023-01-11,12.73,16.04,12.25,15.86,9296759.42,1673481599999,132279457.64210000,266430,4612242.70000000,65611274.76870000,0
2023-01-12,15.86,16.5,14.65,15.43,8264385.87,1673567999999,128324493.73870000,250148,3828088.99000000,59424928.06400000,0
2023-01-13,15.44,16.6,14.95,15.96,5273534.1,1673654399999,82831558.99070000,148488,2524579.04000000,39686555.45000000,0
2023-01-14,15.97,18.54,15.79,16.94,10287102.04,1673740799999,173965988.34050000,326559,4860669.38000000,82241022.19960000,0
2023-01-15,16.93,17.2,16.0,16.8,4678970.49,1673827199999,77619943.42890000,132855,2235395.55000000,37082471.76750000,0
2023-01-16,16.79,17.34,16.06,16.74,3928124.39,1673913599999,65558570.11810000,129516,1920179.97000000,32054784.52330000,0
2023-01-17,16.74,18.21,16.53,17.12,4359330.19,1673999999999,75441940.82810000,155011,2091272.80000000,36183121.34330000,0
2023-01-18,17.13,17.41,15.5,15.82,4109688.2,1674086399999,68053868.06950000,158251,1923699.32000000,31880661.87130000,0
2023-01-19,15.81,16.3,15.7,16.19,2010163.26,1674172799999,32167560.41710000,70162,1020085.91000000,16328080.85720000,0
2023-01-20,16.19,17.57,15.86,17.48,3086123.26,1674259199999,52088871.69140000,113555,1578870.16000000,26688052.92840000,0
2023-01-21,17.49,17.76,16.83,16.88,3798234.96,1674345599999,65666701.13460000,137720,1823943.92000000,31538115.94260000,0
2023-01-22,16.87,18.45,16.79,17.34,4196670.88,1674431999999,74112784.92880000,170915,2061943.47000000,36410316.38570000,0
2023-01-23,17.34,18.32,17.21,17.97,3276110.41,1674518399999,58109928.76520000,128488,1623759.88000000,28811702.12680000,0
2023-01-24,17.97,18.97,16.75,17.0,3499087.1,1674604799999,63299881.88240000,141829,1666958.29000000,30158424.56870000,0
2023-01-25,16.99,18.27,16.52,17.79,2663219.54,1674691199999,46158913.47550000,116578,1312366.78000000,22736697.37650000,0
2023-01-26,17.8,18.8,17.78,18.08,3441891.58,1674777599999,62599123.02710000,133463,1689432.20000000,30728305.60900000,0
2023-01-27,18.09,21.67,17.45,21.2,4903029.78,1674863999999,94906857.28600000,218259,2495733.12000000,48430093.14500000,0
2023-01-28,21.19,21.81,20.05,20.54,4474456.15,1674950399999,92788078.56680000,214025,2128503.16000000,44127817.27800000,0
2023-01-29,20.54,21.17,20.08,20.99,2599913.75,1675036799999,53766064.57480000,118117,1251701.40000000,25902850.26790000,0
2023-01-30,20.99,21.31,19.25,19.74,4917486.44,1675123199999,100246091.37260000,221186,2283043.41000000,46508852.88910000,0
2023-01-31,19.73,20.19,19.31,19.8,2564633.38,1675209599999,50668727.68350000,116068,1259643.00000000,24885973.64390000,0
2023-02-01,19.8,21.06,18.69,20.95,4614268.07,1675295999999,90846309.19290000,205928,2221789.04000000,43789246.90590000,0
2023-02-02,20.95,22.79,20.82,21.21,6298959.25,1675382399999,138528657.31090000,282389,3164253.08000000,69632700.54620000,0
