timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-20,40.0,78.68,40.0,64.17,1543769.571,1721519999999,106527539.35622000,488175,750734.35000000,51851842.95472000,0
2024-07-21,64.16,78.0,60.32,62.0,1316150.125,1721606399999,89043275.82058000,554368,683888.25000000,46393786.67917000,0
2024-07-22,61.96,65.58,61.5,61.69,598276.831,1721692799999,37975086.67679000,160315,282355.64100000,17941248.73883000,0
2024-07-23,61.74,63.98,56.3,60.17,486539.991,1721779199999,29192600.32765000,105866,230660.80500000,13859794.54180000,0
2024-07-24,60.19,66.94,58.37,58.66,461033.926,1721865599999,28733579.65016000,97591,227555.59000000,14210919.68221000,0
2024-07-25,58.7,63.4,57.5,60.01,448204.504,1721951999999,26765359.65055000,87370,216422.90800000,12955163.50928000,0
2024-07-26,60.0,64.46,59.58,62.04,282314.345,1722038399999,17579583.43060000,61598,140925.76800000,8777805.60356000,0
2024-07-27,62.04,62.68,59.42,60.5,204641.128,1722124799999,12497547.48012000,42678,99989.49400000,6109086.34536000,0
2024-07-28,60.5,60.53,55.28,56.31,202323.073,1722211199999,11722120.90946000,44601,86787.22200000,5029956.99907000,0
2024-07-29,56.31,59.05,55.03,56.15,264541.132,1722297599999,15095953.50366000,54427,133975.78600000,7652028.76860000,0
2024-07-30,56.15,56.63,53.16,53.82,156124.096,1722383999999,8616470.04617000,39367,71696.00300000,3960771.32415000,0
2024-07-31,53.79,55.11,50.03,51.15,290878.323,1722470399999,15271527.79380000,66639,136521.20800000,7182754.15011000,0
2024-08-01,51.17,51.17,42.88,47.68,608052.685,1722556799999,28352649.08624000,129545,274639.08800000,12821773.24156000,0
2024-08-02,47.68,51.7,44.17,44.88,417697.937,1722643199999,19823857.92114000,94354,212508.75400000,10094903.39971000,0
2024-08-03,44.88,48.46,41.53,42.55,381615.278,1722729599999,17243935.00924000,88951,187829.73600000,8490672.51515000,0
2024-08-04,42.54,43.33,36.61,37.51,337786.014,1722815999999,13457831.60758000,75855,164219.80500000,6540631.85140000,0
2024-08-05,37.52,37.67,29.0,32.46,813436.009,1722902399999,26399213.51506000,167128,383339.50400000,12431990.57964000,0
2024-08-06,32.47,38.42,32.39,35.71,405562.302,1722988799999,14578294.36847000,79670,212691.40000000,7643505.37648000,0
2024-08-07,35.71,38.3,31.69,32.37,387094.362,1723075199999,13499641.67514000,76732,194037.40400000,6759175.12754000,0
2024-08-08,32.37,40.25,32.0,39.45,439228.41,1723161599999,16086191.72825000,77344,219109.92600000,8026060.30311000,0
2024-08-09,39.41,40.66,36.7,38.55,291327.4,1723247999999,11196125.24866000,58172,146367.75800000,5628526.42967000,0
2024-08-10,38.52,39.2,37.31,37.96,156913.024,1723334399999,6007029.35004000,33817,75382.55300000,2885901.38162000,0
2024-08-11,37.96,38.9,33.56,33.71,196829.818,1723420799999,7152446.86708000,41106,97252.43300000,3538917.13829000,0
2024-08-12,33.7,37.6,33.58,36.51,231945.321,1723507199999,8342743.05166000,45898,117588.63300000,4231592.95846000,0
2024-08-13,36.51,44.78,35.01,43.04,569124.855,1723593599999,23500039.96190000,125710,297529.99300000,12280004.89226000,0
2024-08-14,43.06,49.09,41.04,44.59,818735.774,1723679999999,37185445.85649000,172694,412749.02100000,18775626.20713000,0
2024-08-15,44.6,48.48,41.92,42.39,774058.63,1723766399999,34894017.21389000,132574,376527.81800000,16982824.88605000,0
2024-08-16,42.39,50.88,42.19,49.55,771582.644,1723852799999,35312964.14012000,141441,394303.65400000,18065611.42060000,0
2024-08-17,49.55,63.5,46.65,55.93,1623004.248,1723939199999,91017135.74995000,372040,841200.73200000,47230057.16208000,0
2024-08-18,55.95,60.49,51.45,51.67,926396.931,1724025599999,51138451.52221000,255349,445718.96100000,24616720.03544000,0
2024-08-19,51.64,53.87,48.6,51.01,484237.838,1724111999999,24709628.61979000,161766,230348.68300000,11770963.62312000,0
2024-08-20,51.0,52.88,48.37,48.48,412350.132,1724198399999,20701065.45914000,146551,192094.60200000,9649473.13953000,0
2024-08-21,48.49,49.69,43.43,46.84,518555.063,1724284799999,24182088.77036000,242370,241480.80600000,11285979.66078000,0
2024-08-22,46.84,48.85,45.3,46.76,354432.021,1724371199999,16553416.20934000,229708,171049.52400000,7993667.14020000,0
2024-08-23,46.76,51.19,45.65,51.08,401198.645,1724457599999,19241809.70917000,243653,204177.44600000,9794968.23738000,0
2024-08-24,51.09,53.2,48.0,49.18,414442.671,1724543999999,21008732.12924000,255356,200493.61200000,10187306.66967000,0
2024-08-25,49.18,49.25,44.27,45.27,494435.457,1724630399999,22752388.89894000,209266,235700.33000000,10834753.49633000,0
2024-08-26,45.31,46.99,42.36,42.55,327989.833,1724716799999,14718828.08007000,76073,149006.15500000,6695318.52238000,0
2024-08-27,42.54,44.08,38.45,39.96,336447.097,1724803199999,13858579.27162000,72702,158443.63800000,6526908.55268000,0
2024-08-28,39.96,43.17,38.53,40.57,343757.498,1724889599999,14047242.92096000,71778,171551.94100000,7018713.03062000,0
2024-08-29,40.57,44.81,40.36,41.81,308035.422,1724975999999,13149355.93557000,66053,152683.31000000,6527640.84487000,0
2024-08-30,41.75,42.48,38.27,40.61,148717.832,1725062399999,6044709.31247000,36765,65888.77700000,2678802.75853000,0
2024-08-31,40.6,40.62,39.3,40.11,72086.343,1725148799999,2881361.12370000,19941,34785.96400000,1390557.79667000,0
2024-09-01,40.11,40.11,36.56,36.65,111727.322,1725235199999,4269056.43913000,28187,50308.76300000,1922041.13509000,0
2024-09-02,36.63,39.42,36.16,38.92,122326.926,1725321599999,4628044.93850000,41244,61338.15900000,2321129.24177000,0
2024-09-03,38.91,39.98,36.57,36.7,90201.915,1725407999999,3439555.40244000,24009,40861.51700000,1559371.61589000,0
2024-09-04,36.68,38.1,34.6,36.89,172174.934,1725494399999,6187700.71296000,35304,91553.65400000,3289419.16258000,0
2024-09-05,36.88,37.67,35.68,36.21,110960.179,1725580799999,4072580.01381000,31334,53260.54500000,1956453.78991000,0
2024-09-06,36.15,39.02,35.62,38.05,343238.414,1725667199999,12902113.75399000,74344,176984.35900000,6661893.66473000,0
2024-09-07,38.09,40.92,37.8,39.65,331228.559,1725753599999,13162422.53564000,87947,167018.42500000,6642616.71276000,0
