timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-13,0.0238,0.6,0.0238,0.4495,743719214.8,1715644799999,325318822.22909000,1141391,377829566.00000000,165824553.03927000,0
2024-05-14,0.4495,0.4786,0.3556,0.3702,239918304.7,1715731199999,97850541.37703000,381073,114733367.60000000,46899906.59875000,0
2024-05-15,0.3703,0.4396,0.3446,0.4205,184346049.4,1715817599999,70889269.67648000,258901,90675832.60000000,34939137.02486000,0
2024-05-16,0.4205,0.4205,0.3164,0.3289,193358943.7,1715903999999,68612847.39738000,244027,99012411.70000000,35007878.63798000,0
2024-05-17,0.3286,0.3548,0.3116,0.3385,131186744.1,1715990399999,44174676.77309000,148273,62920653.70000000,21193758.79225000,0
2024-05-18,0.3385,0.3755,0.315,0.3517,93395058.7,1716076799999,32257506.71392000,108041,45918191.60000000,15876645.12917000,0
2024-05-19,0.3519,0.3617,0.3101,0.3173,79714327.5,1716163199999,26409384.55267000,94730,39247467.90000000,12997667.74951000,0
2024-05-20,0.3173,0.362,0.3025,0.3585,108887106.2,1716249599999,36400763.39101000,136257,53506171.90000000,17900146.98982000,0
2024-05-21,0.3585,0.3722,0.3306,0.3407,87997024.1,1716335999999,30246702.80473000,150386,45037033.40000000,15494506.84307000,0
2024-05-22,0.3414,0.3929,0.3127,0.3718,139119425.5,1716422399999,48086332.59542000,222600,70042143.20000000,24255751.33236000,0
2024-05-23,0.3723,0.3867,0.3401,0.3721,110665418.5,1716508799999,40266915.68627000,219031,55233628.80000000,20112877.26304000,0
2024-05-24,0.3722,0.3912,0.319,0.3804,106998684.1,1716595199999,37517927.80632000,149854,54760732.00000000,19140799.08053000,0
2024-05-25,0.3804,0.5528,0.364,0.5368,333641364.8,1716681599999,158764379.86276000,557320,175315848.50000000,83448257.91940000,0
2024-05-26,0.537,0.7372,0.5055,0.7183,411491600.7,1716767999999,251754038.02356000,855815,210214668.90000000,128746292.08259000,0
2024-05-27,0.7185,0.7868,0.6467,0.6777,312833086.9,1716854399999,217522717.69688000,818778,157303201.80000000,109563954.37622000,0
2024-05-28,0.677,0.6896,0.5944,0.664,220642742.8,1716940799999,140201549.79143000,533947,112891760.50000000,71692667.58862000,0
2024-05-29,0.6641,0.7259,0.5755,0.604,170510385.1,1717027199999,108217013.08557000,427730,84374229.30000000,53572195.39384000,0
2024-05-30,0.604,0.6653,0.5621,0.6221,167607777.2,1717113599999,104029784.05253000,447903,83712577.20000000,52003581.64406000,0
2024-05-31,0.6217,0.7147,0.593,0.613,190653260.9,1717199999999,123229562.16826000,473849,91707224.00000000,59318648.94871000,0
2024-06-01,0.613,0.76,0.6023,0.7229,212917240.6,1717286399999,145715459.40881000,560668,109269816.00000000,74807288.51216000,0
2024-06-02,0.7228,0.8439,0.65,0.6608,284564763.3,1717372799999,210782030.10969000,778465,139546908.00000000,103565183.69049000,0
2024-06-03,0.6608,0.694,0.6271,0.6447,130323374.1,1717459199999,85966815.35718000,368668,62914624.60000000,41523927.00213000,0
2024-06-04,0.6449,0.7076,0.6423,0.6678,127145575.1,1717545599999,85979436.08763000,410326,64470939.30000000,43602989.28490000,0
2024-06-05,0.6678,0.8598,0.665,0.8515,246128585.3,1717631999999,190226911.65014000,803570,124873009.20000000,96540932.15819000,0
2024-06-06,0.8517,0.8789,0.7349,0.7683,146971214.7,1717718399999,115457115.42245000,500464,74531097.90000000,58623457.08307000,0
2024-06-07,0.7684,0.7976,0.6311,0.6717,127379551.6,1717804799999,93627436.87308000,435784,60973387.10000000,44899347.63761000,0
2024-06-08,0.6716,0.6912,0.638,0.6428,78970359.4,1717891199999,52398418.95954000,243752,36903409.40000000,24489992.20597000,0
2024-06-09,0.6427,0.6664,0.6245,0.6494,62400567.0,1717977599999,40382519.21484000,212271,29023308.40000000,18796276.42102000,0
2024-06-10,0.6495,0.652,0.5748,0.5863,72852183.5,1718063999999,44004824.27389000,209638,35228450.00000000,21282303.00248000,0
2024-06-11,0.5864,0.5961,0.4969,0.5212,92633981.7,1718150399999,49658907.05979000,245184,43412045.90000000,23252715.79257000,0
2024-06-12,0.5213,0.5893,0.4937,0.5311,107876440.2,1718236799999,58888782.48587000,270258,53946310.10000000,29428515.81827000,0
2024-06-13,0.5313,0.5313,0.4799,0.4933,62841212.5,1718323199999,31592349.08252000,172937,29417960.00000000,14784927.79768000,0
2024-06-14,0.4936,0.55,0.4828,0.5088,95845227.8,1718409599999,49428190.82039000,267017,48491542.70000000,25021395.33427000,0
2024-06-15,0.5088,0.558,0.4927,0.5469,76089021.6,1718495999999,40682873.03581000,215171,38597705.80000000,20645510.84547000,0
2024-06-16,0.5472,0.5755,0.525,0.5418,62057874.5,1718582399999,34240125.25250000,185131,29726886.50000000,16408203.85783000,0
2024-06-17,0.5417,0.5443,0.4305,0.439,90140644.5,1718668799999,43092786.86819000,229360,41770433.80000000,19945750.95544000,0
2024-06-18,0.439,0.4405,0.372,0.4089,96227573.2,1718755199999,38664001.30956000,241055,45875195.20000000,18449226.98812000,0
2024-06-19,0.4092,0.4358,0.3937,0.4,50929701.4,1718841599999,21049490.28325000,125831,24433757.50000000,10109553.02281000,0
2024-06-20,0.4,0.42,0.377,0.3943,48052752.4,1718927999999,19252272.46087000,125069,23145315.30000000,9274426.42368000,0
2024-06-21,0.3943,0.4301,0.38,0.3965,66312216.3,1719014399999,26816249.58320000,162048,32603912.00000000,13207241.72470000,0
2024-06-22,0.3965,0.4081,0.38,0.3983,30148078.4,1719100799999,11858441.32359000,71401,14726820.00000000,5798632.80081000,0
2024-06-23,0.3981,0.4335,0.3615,0.367,51401259.5,1719187199999,20587980.28401000,116096,24850677.40000000,9957946.12925000,0
2024-06-24,0.3671,0.3826,0.3377,0.377,52636258.0,1719273599999,19286572.74820000,113132,25761059.10000000,9443937.95507000,0
2024-06-25,0.3769,0.4458,0.3759,0.4393,70443992.7,1719359999999,28997247.44901000,151066,35647386.10000000,14670853.98964000,0
2024-06-26,0.4393,0.4526,0.4193,0.4404,50703403.7,1719446399999,22107410.13320000,130687,24699906.50000000,10782909.90414000,0
2024-06-27,0.4403,0.4788,0.4266,0.4451,75604718.6,1719532799999,33894585.57433000,201429,36505827.80000000,16389124.72534000,0
2024-06-28,0.445,0.4497,0.4208,0.4284,32170544.8,1719619199999,13998147.76797000,97761,15520520.40000000,6756631.26006000,0
2024-06-29,0.4286,0.453,0.4171,0.4214,26191034.2,1719705599999,11394558.92428000,78364,12657784.20000000,5513884.04226000,0
2024-06-30,0.4218,0.479,0.4129,0.4733,43701123.5,1719791999999,19761810.83109000,138222,22204994.20000000,10036006.76656000,0
2024-07-01,0.4733,0.4799,0.4475,0.4609,22362555.3,1719878399999,10337858.35497000,79543,10857216.90000000,5021057.35456000,0
2024-07-02,0.4609,0.4665,0.4459,0.4614,19274275.6,1719964799999,8794813.44559000,71657,9697383.30000000,4427809.44445000,0
2024-07-03,0.4617,0.467,0.4046,0.4052,26517677.7,1720051199999,11413746.82108000,88069,12679943.00000000,5453741.80793000,0
