timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-12-15,1.952e-05,4e-05,1.952e-05,2.373e-05,14254363937690.0,1702684799999,406750234.49052598,1499454,6791319956613.00,194968419.02675603,0
2023-12-16,2.373e-05,2.673e-05,2.025e-05,2.176e-05,10336215383965.0,1702771199999,244373983.75733473,915503,4935906896028.00,116931942.06400825,0
2023-12-17,2.175e-05,2.499e-05,1.969e-05,2.284e-05,8850276837665.0,1702857599999,197011306.31420791,671487,4436300528673.00,99010242.11421032,0
2023-12-18,2.285e-05,2.347e-05,1.831e-05,2.087e-05,7605055835105.0,1702943999999,153782781.48518011,465734,3746986935634.00,75836559.01355858,0
2023-12-19,2.086e-05,2.308e-05,1.861e-05,1.898e-05,5610167162212.0,1703030399999,114425957.70252945,369064,2637511197009.00,53946573.48422145,0
2023-12-20,1.898e-05,2.177e-05,1.742e-05,1.89e-05,8142691660796.0,1703116799999,154736333.57383876,497008,3968536089950.00,75574407.16764425,0
2023-12-21,1.89e-05,2.16e-05,1.827e-05,2.068e-05,7923713598444.0,1703203199999,155586173.18690678,508783,3933675178185.00,77449646.73053974,0
2023-12-22,2.068e-05,2.286e-05,1.85e-05,1.934e-05,6349667094073.0,1703289599999,126756331.90896016,410113,3052339910720.00,60980476.19252908,0
2023-12-23,1.934e-05,2e-05,1.781e-05,1.986e-05,4007006080783.0,1703375999999,74864929.42083943,284415,1947922725634.00,36480947.79388680,0
2023-12-24,1.985e-05,1.998e-05,1.785e-05,1.815e-05,3622569452713.0,1703462399999,68394525.46762691,266190,1668282390591.00,31537920.36844442,0
2023-12-25,1.815e-05,1.93e-05,1.755e-05,1.867e-05,3719287802450.0,1703548799999,69119095.27650819,227943,1770098205529.00,32942826.01107071,0
2023-12-26,1.868e-05,1.902e-05,1.5e-05,1.617e-05,5871907493320.0,1703635199999,100200637.22903363,370079,2659410367694.00,45423090.06566570,0
2023-12-27,1.616e-05,1.624e-05,1.42e-05,1.453e-05,6055213836961.0,1703721599999,92211283.51228385,325722,2864720799956.00,43621091.95934489,0
2023-12-28,1.453e-05,1.565e-05,1.24e-05,1.487e-05,9050303386329.0,1703807999999,125692977.32692591,450437,4488255278767.00,62431476.53692676,0
2023-12-29,1.487e-05,1.685e-05,1.392e-05,1.494e-05,10093751136471.0,1703894399999,156491521.87816699,530680,4952410599154.00,76902711.51729089,0
2023-12-30,1.493e-05,1.511e-05,1.373e-05,1.404e-05,3122692748246.0,1703980799999,44803791.91324267,174580,1488413968999.00,21380615.76269923,0
2023-12-31,1.404e-05,1.452e-05,1.3e-05,1.333e-05,3025950228761.0,1704067199999,42247794.83007232,149950,1394941252318.00,19503946.21076966,0
2024-01-01,1.333e-05,1.499e-05,1.279e-05,1.498e-05,2984165425519.0,1704153599999,40815927.82967280,150437,1506856305189.00,20679673.74842511,0
2024-01-02,1.498e-05,1.541e-05,1.337e-05,1.348e-05,3877972943067.0,1704239999999,56057432.66430157,210155,1833644969923.00,26490965.81209209,0
2024-01-03,1.348e-05,1.382e-05,9.97e-06,1.163e-05,5278106403429.0,1704326399999,63781281.91659112,235079,2546912286836.00,30842371.51839210,0
2024-01-04,1.163e-05,1.26e-05,1.123e-05,1.193e-05,3253134700822.0,1704412799999,39250421.11823188,136163,1562449820601.00,18856722.00692458,0
2024-01-05,1.193e-05,1.205e-05,1.051e-05,1.117e-05,3259588047821.0,1704499199999,36311854.13073192,135414,1531639103877.00,17068903.19629373,0
2024-01-06,1.117e-05,1.168e-05,1.005e-05,1.075e-05,3405837136959.0,1704585599999,36811157.13221723,144592,1685303600554.00,18232858.42009221,0
2024-01-07,1.074e-05,1.15e-05,1.01e-05,1.031e-05,3703441425810.0,1704671999999,40189324.49486498,145389,1790142043276.00,19458783.56928637,0
2024-01-08,1.03e-05,1.305e-05,9.33e-06,1.212e-05,8303943162836.0,1704758399999,93425957.67670381,334520,4137184803586.00,46686013.07536735,0
2024-01-09,1.212e-05,1.434e-05,1.151e-05,1.422e-05,13790239605022.0,1704844799999,180200025.78140723,643797,6892228169034.00,90105813.39790168,0
2024-01-10,1.421e-05,1.795e-05,1.283e-05,1.616e-05,15547400978137.0,1704931199999,234462666.90559115,820689,7699482209087.00,116134265.75610838,0
2024-01-11,1.617e-05,1.747e-05,1.458e-05,1.613e-05,9490374563972.0,1705017599999,152981130.92633603,547638,4655753750628.00,75184430.18763463,0
2024-01-12,1.612e-05,1.633e-05,1.303e-05,1.378e-05,7814052086952.0,1705103999999,113636608.74704230,377125,3723966841265.00,54145755.33289141,0
2024-01-13,1.378e-05,1.564e-05,1.306e-05,1.528e-05,5900829092599.0,1705190399999,84711712.53094117,307583,3084967476622.00,44361494.91235871,0
2024-01-14,1.528e-05,1.573e-05,1.415e-05,1.423e-05,4503631583862.0,1705276799999,67005140.13650443,266145,2205349047020.00,32838333.68797010,0
2024-01-15,1.423e-05,1.451e-05,1.35e-05,1.36e-05,3722880653527.0,1705363199999,52246572.17816023,178956,1691569035461.00,23739500.42958838,0
