timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.0302,0.031,0.0286,0.0298,30160545.0,1668470399999,900362.20820000,7721,14776188.00000000,441866.84840000,0
2022-11-15,0.0298,0.0319,0.0293,0.0309,42701680.0,1668556799999,1318064.52300000,10106,20845887.00000000,644251.66220000,0
2022-11-16,0.0309,0.0315,0.0295,0.0302,18761767.0,1668643199999,567910.58260000,4252,8370182.00000000,253464.03120000,0
2022-11-17,0.0302,0.0317,0.0294,0.0306,27736551.0,1668729599999,843062.39540000,6263,14475215.00000000,440623.28180000,0
2022-11-18,0.0305,0.031,0.0291,0.0293,16437953.0,1668815999999,491921.07140000,3605,7380402.00000000,220913.55740000,0
2022-11-19,0.0294,0.0299,0.0288,0.029,18707237.0,1668902399999,546277.16110000,3371,8684693.00000000,253829.29190000,0
2022-11-20,0.029,0.0302,0.0269,0.0272,32349436.0,1668988799999,934582.13210000,6018,16014780.00000000,464298.80500000,0
2022-11-21,0.0273,0.0274,0.0253,0.0259,24879282.0,1669075199999,656350.63730000,5563,12717011.00000000,336104.62770000,0
2022-11-22,0.0259,0.028,0.025,0.0271,31927660.0,1669161599999,851615.53550000,6501,17668288.00000000,471384.37080000,0
2022-11-23,0.0271,0.0295,0.0269,0.0281,32832901.0,1669247999999,919422.97880000,7351,16375571.00000000,459717.02800000,0
2022-11-24,0.028,0.0284,0.0272,0.0274,11812066.0,1669334399999,327470.32780000,3047,5034511.00000000,139781.35640000,0
2022-11-25,0.0274,0.0276,0.0266,0.0271,8520774.0,1669420799999,230531.93270000,2267,3267189.00000000,88476.61870000,0
2022-11-26,0.0271,0.0321,0.0267,0.0274,53503821.0,1669507199999,1526339.29150000,11261,28625339.00000000,819309.13720000,0
2022-11-27,0.0274,0.0341,0.0273,0.0282,129949192.0,1669593599999,3958793.65350000,29871,62923613.00000000,1928094.66660000,0
