timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.632,0.641,0.585,0.61,16846964.5,1668470399999,10203985.05850000,38279,8000054.80000000,4850633.00820000,0
2022-11-15,0.611,0.635,0.597,0.607,13603871.8,1668556799999,8408397.76640000,23815,6022134.60000000,3723538.71810000,0
2022-11-16,0.606,0.617,0.573,0.586,12571436.4,1668643199999,7492861.20900000,21399,5941294.20000000,3537457.16800000,0
2022-11-17,0.587,0.59,0.532,0.553,24940448.4,1668729599999,13832538.56390000,36143,12636436.70000000,7014681.22130000,0
2022-11-18,0.553,0.568,0.541,0.553,9355933.9,1668815999999,5195781.65240000,14833,4541327.00000000,2522910.92650000,0
2022-11-19,0.553,0.557,0.537,0.543,5262209.1,1668902399999,2880460.14590000,9726,2533787.10000000,1388333.24360000,0
2022-11-20,0.542,0.548,0.501,0.512,20420380.2,1668988799999,10735768.92820000,34443,9635122.80000000,5068183.93560000,0
2022-11-21,0.511,0.52,0.471,0.502,22465209.42,1669075199999,11207284.87420000,33669,11396572.90000000,5684449.42650000,0
2022-11-22,0.501,0.74,0.401,0.633,374032170.2,1669161599999,209131162.40938300,405181,180536390.60000000,101615478.76480000,0
2022-11-23,0.633,0.722,0.608,0.687,98223355.6,1669247999999,64395593.32980000,142891,46749132.40000000,30710984.48410000,0
2022-11-24,0.688,0.73,0.661,0.688,49567090.5,1669334399999,34298299.32600000,80822,23825862.50000000,16495910.27870000,0
2022-11-25,0.688,0.703,0.656,0.678,23038890.5,1669420799999,15648125.06090000,38919,11287462.50000000,7670057.06120000,0
2022-11-26,0.679,0.759,0.675,0.703,43368160.1,1669507199999,31359764.27880000,66504,20462304.70000000,14795427.76000000,0
2022-11-27,0.703,0.72,0.68,0.685,16214490.2,1669593599999,11383906.72590000,26019,7942401.90000000,5578341.18560000,0
2022-11-28,0.685,0.692,0.626,0.646,24226349.9,1669679999999,15653015.30360000,39452,12245336.40000000,7909026.73670000,0
2022-11-29,0.645,0.683,0.636,0.662,16993979.1,1669766399999,11290601.66410000,30529,8281262.20000000,5502373.12040000,0
2022-11-30,0.662,0.693,0.646,0.671,19507403.9,1669852799999,13066383.84060000,32853,9379833.50000000,6284950.59440000,0
2022-12-01,0.67,0.674,0.636,0.642,12214610.0,1669939199999,8026818.69360000,20324,5592135.90000000,3673746.61790000,0
2022-12-02,0.642,0.66,0.623,0.66,11654640.5,1670025599999,7454962.05500000,20770,5643923.70000000,3608076.64120000,0
2022-12-03,0.659,0.665,0.632,0.635,8338880.8,1670111999999,5423225.33560000,14646,4116016.90000000,2676318.47700000,0
2022-12-04,0.635,0.676,0.635,0.67,9549138.4,1670198399999,6325646.30790000,18188,5141179.30000000,3404529.51240000,0
2022-12-05,0.67,0.692,0.664,0.675,9717668.9,1670284799999,6586298.58750000,17624,4760496.20000000,3227134.79960000,0
2022-12-06,0.675,0.697,0.666,0.679,11748785.6,1670371199999,7950806.41370000,19828,5785013.80000000,3915201.29690000,0
2022-12-07,0.68,0.69,0.647,0.652,9034357.3,1670457599999,5972178.57680000,16700,4429177.00000000,2930743.85670000,0
2022-12-08,0.653,0.673,0.644,0.667,11403452.0,1670543999999,7510393.04500000,21982,5071651.20000000,3340765.01420000,0
2022-12-09,0.667,0.671,0.636,0.645,8715335.3,1670630399999,5710489.39810000,17831,3891675.90000000,2551380.13020000,0
2022-12-10,0.645,0.651,0.634,0.638,5282766.4,1670716799999,3402337.72270000,12312,2329248.90000000,1500821.77570000,0
2022-12-11,0.638,0.648,0.623,0.629,4865432.9,1670803199999,3103801.66310000,8178,2379084.90000000,1517423.07650000,0
2022-12-12,0.628,0.629,0.59,0.619,10785669.4,1670889599999,6574694.94120000,18556,5491717.50000000,3344622.23060000,0
2022-12-13,0.619,0.666,0.595,0.656,16801707.9,1670975999999,10702807.85650000,31733,8207322.50000000,5223950.95490000,0
2022-12-14,0.655,0.666,0.639,0.646,10607240.1,1671062399999,6942034.98070000,22753,5160355.90000000,3379396.66150000,0
2022-12-15,0.646,0.649,0.613,0.618,6854681.1,1671148799999,4312421.88900000,13484,3179173.80000000,1997111.63610000,0
2022-12-16,0.617,0.624,0.533,0.546,13504684.6,1671235199999,7799001.66960000,25226,6546822.40000000,3781273.91340000,0
