timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.13293,0.14,0.12592,0.1367,19707346.0,1668470399999,2634291.95415000,30373,9635587.00000000,1288252.13806000,0
2022-11-15,0.1367,0.14302,0.13525,0.139,10923712.0,1668556799999,1521020.42943000,19558,5344311.00000000,743997.96396000,0
2022-11-16,0.13895,0.14138,0.13182,0.13578,11291318.0,1668643199999,1539117.69072000,16231,5415935.00000000,738046.78105000,0
2022-11-17,0.1359,0.13789,0.13251,0.13284,8847525.0,1668729599999,1193519.23617000,14120,4323081.00000000,583043.96220000,0
2022-11-18,0.13284,0.1365,0.13096,0.13215,8602709.0,1668815999999,1148610.93514000,10857,5003218.00000000,667455.32286000,0
2022-11-19,0.13221,0.13299,0.12666,0.13026,9109877.0,1668902399999,1185439.49613000,9877,4633567.00000000,602643.22952000,0
2022-11-20,0.13031,0.15077,0.12427,0.12803,53619486.0,1668988799999,7425038.09977000,50913,27785023.00000000,3860843.29359000,0
2022-11-21,0.12801,0.13397,0.12035,0.12507,21726453.0,1669075199999,2725118.34038000,25623,10369610.00000000,1302558.69548000,0
2022-11-22,0.12505,0.13136,0.12042,0.1308,11348638.0,1669161599999,1435234.75486000,15823,5427865.00000000,685524.77200000,0
2022-11-23,0.1309,0.137,0.12971,0.1345,11067887.0,1669247999999,1480089.55379000,18172,5345373.00000000,714967.57505000,0
2022-11-24,0.13449,0.13895,0.13065,0.13486,16721111.0,1669334399999,2250405.05588000,19831,8862106.00000000,1195013.38280000,0
2022-11-25,0.13476,0.13493,0.13058,0.13371,8251114.0,1669420799999,1097434.83682000,11457,3826115.00000000,508786.54915000,0
2022-11-26,0.13365,0.14111,0.13309,0.13523,27727796.0,1669507199999,3773648.93725000,26165,13062343.00000000,1780533.02630000,0
2022-11-27,0.13529,0.13961,0.13417,0.13534,12119714.0,1669593599999,1656664.46178000,14500,5440594.00000000,744048.95654000,0
2022-11-28,0.13528,0.13661,0.12839,0.13414,8808823.0,1669679999999,1161252.73292000,13333,4188397.00000000,552077.96931000,0
2022-11-29,0.13402,0.14,0.13162,0.13251,13319979.0,1669766399999,1790090.93368000,17684,6930160.00000000,932772.37305000,0
2022-11-30,0.13249,0.14357,0.13223,0.14165,22201628.0,1669852799999,3074716.35358000,25792,11315443.00000000,1567719.75735000,0
2022-12-01,0.14168,0.14206,0.13521,0.13748,9803947.0,1669939199999,1354890.00124000,13390,4419990.00000000,610946.63569000,0
2022-12-02,0.13742,0.14468,0.13471,0.14028,13458818.0,1670025599999,1871929.58351000,14678,6717271.00000000,935343.95114000,0
2022-12-03,0.14016,0.14553,0.13569,0.13608,16204634.0,1670111999999,2267377.63988000,13917,7533048.00000000,1057533.08115000,0
2022-12-04,0.13603,0.146,0.13571,0.13875,18384966.0,1670198399999,2560808.66337000,16164,8424310.00000000,1176517.37464000,0
2022-12-05,0.13875,0.14324,0.13482,0.13651,12898786.0,1670284799999,1798088.73280000,13415,6319582.00000000,881651.90926000,0
2022-12-06,0.13661,0.13862,0.13,0.13571,16284338.0,1670371199999,2204216.62979000,14029,8119303.00000000,1099740.51075000,0
2022-12-07,0.1358,0.13682,0.12738,0.13009,12597577.0,1670457599999,1654634.70129000,11517,6187837.00000000,813841.72171000,0
2022-12-08,0.1301,0.13574,0.12771,0.13294,10762113.0,1670543999999,1413602.27484000,13054,5681022.00000000,745670.35104000,0
2022-12-09,0.13288,0.1355,0.1299,0.1311,15649698.0,1670630399999,2060575.92679000,12644,7526903.00000000,993000.67104000,0
2022-12-10,0.13112,0.13412,0.13044,0.13153,12140826.0,1670716799999,1598836.10416000,9980,5793485.00000000,763982.88338000,0
2022-12-11,0.13147,0.13412,0.13014,0.13029,3493288.0,1670803199999,462160.06620000,4701,1622329.00000000,214769.79833000,0
2022-12-12,0.1303,0.13036,0.12501,0.12845,6602699.0,1670889599999,837183.02408000,8300,3438795.00000000,436103.49543000,0
2022-12-13,0.1285,0.16899,0.1238,0.15074,99813961.0,1670975999999,15097302.17002000,116751,49836472.00000000,7528373.62967000,0
2022-12-14,0.15074,0.18273,0.1486,0.15565,116571382.0,1671062399999,19316560.75123000,157910,58852001.00000000,9775096.66480000,0
2022-12-15,0.15565,0.15695,0.1467,0.14981,21544568.0,1671148799999,3251954.00700000,27364,9410825.00000000,1421218.46406000,0
2022-12-16,0.14982,0.15235,0.12657,0.12893,24010536.0,1671235199999,3403692.91689000,29670,10666866.00000000,1514890.74708000,0
2022-12-17,0.12884,0.13298,0.12292,0.13111,11282699.0,1671321599999,1453960.10958000,17334,5628800.00000000,724832.14069000,0
2022-12-18,0.13119,0.13169,0.12589,0.12839,9347815.0,1671407999999,1200731.74833000,11217,4921734.00000000,632721.22348000,0
2022-12-19,0.12841,0.13106,0.11462,0.11833,8727690.0,1671494399999,1081209.20737000,12931,4441347.00000000,547000.52642000,0
2022-12-20,0.1183,0.12435,0.11787,0.12284,7900211.0,1671580799999,965585.39507000,10553,3926268.00000000,480000.24427000,0
2022-12-21,0.12284,0.12337,0.11942,0.12129,5354225.0,1671667199999,649292.43626000,7023,2403821.00000000,291518.76123000,0
2022-12-22,0.12131,0.12435,0.1166,0.1206,12902313.0,1671753599999,1552068.07752000,11423,6963169.00000000,838835.52771000,0
2022-12-23,0.1206,0.1219,0.11964,0.12014,3450488.0,1671839999999,416077.23889000,4792,1300092.00000000,156747.71842000,0
2022-12-24,0.12018,0.12163,0.11889,0.11923,4389866.0,1671926399999,527085.21199000,5144,2606365.00000000,312875.29415000,0
