timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,5.75,5.9,5.44,5.86,5738361.29,1668470399999,32677149.51030000,87296,2824755.85000000,16096480.88580000,0
2022-11-15,5.87,6.05,5.8,5.92,3301786.7,1668556799999,19605611.79470000,49789,1694967.07000000,10065957.46370000,0
2022-11-16,5.92,6.0,5.61,5.71,3209428.37,1668643199999,18614513.40250000,52048,1669031.97000000,9677068.71570000,0
2022-11-17,5.7,5.73,5.56,5.67,2822106.06,1668729599999,15982272.43990000,32590,1441750.85000000,8167512.37860000,0
2022-11-18,5.68,5.78,5.6,5.65,2187119.21,1668815999999,12454001.88770000,23870,1051966.58000000,5993519.47640000,0
2022-11-19,5.65,5.66,5.53,5.61,1602398.67,1668902399999,8937618.55760000,23055,772606.55000000,4312028.27010000,0
2022-11-20,5.61,5.66,5.25,5.3,3870989.34,1668988799999,21104165.77660000,43973,1614757.24000000,8800915.68830000,0
2022-11-21,5.3,5.3,5.07,5.18,6524218.75,1669075199999,33962665.12770000,52870,3096500.58000000,16125790.47530000,0
2022-11-22,5.19,5.32,5.0,5.28,5740050.28,1669161599999,29691038.68240000,52227,2716643.34000000,14070293.91870000,0
2022-11-23,5.28,5.49,5.25,5.44,4175250.0,1669247999999,22468488.39740000,37341,2057004.48000000,11073871.30550000,0
2022-11-24,5.43,5.53,5.33,5.39,3739397.2,1669334399999,20261455.27510000,33226,1805890.03000000,9789475.61290000,0
2022-11-25,5.38,5.39,5.25,5.26,2770201.53,1669420799999,14688127.62570000,27265,1210288.51000000,6421597.79830000,0
2022-11-26,5.27,5.46,5.24,5.3,2879533.81,1669507199999,15422148.64180000,32425,1391456.86000000,7456368.23350000,0
2022-11-27,5.3,5.44,5.26,5.3,2262349.07,1669593599999,12123113.16320000,25958,1084690.42000000,5814757.66950000,0
2022-11-28,5.31,5.32,5.06,5.13,5094640.21,1669679999999,26299720.22450000,48033,2378535.94000000,12278868.46360000,0
2022-11-29,5.13,5.35,5.09,5.3,3879496.66,1669766399999,20382824.10870000,33853,1966652.86000000,10331017.29500000,0
2022-11-30,5.3,5.51,5.3,5.46,4722700.97,1669852799999,25553984.90530000,42263,2381343.17000000,12886634.20620000,0
2022-12-01,5.46,5.48,5.32,5.41,4001779.36,1669939199999,21565687.21810000,35732,1848578.37000000,9966111.65090000,0
2022-12-02,5.4,5.69,5.37,5.62,6607178.18,1670025599999,36595944.34680000,52817,3407018.16000000,18876236.43930000,0
2022-12-03,5.62,5.71,5.48,5.49,4453433.15,1670111999999,24895152.98100000,33125,2063605.60000000,11547230.31220000,0
2022-12-04,5.5,5.61,5.49,5.59,2771876.82,1670198399999,15388162.79180000,23266,1427086.23000000,7927320.23990000,0
2022-12-05,5.6,5.73,5.44,5.48,3645172.05,1670284799999,20379147.94550000,33303,1660057.78000000,9283372.01590000,0
2022-12-06,5.48,5.52,5.42,5.5,2713444.43,1670371199999,14853894.05710000,22788,1266727.22000000,6936972.61840000,0
2022-12-07,5.49,5.53,5.24,5.29,5307370.08,1670457599999,28271803.92790000,38370,2539446.14000000,13528967.34430000,0
2022-12-08,5.29,5.47,5.25,5.42,4019638.16,1670543999999,21436693.97750000,28335,2037934.21000000,10869955.97310000,0
2022-12-09,5.42,5.44,5.26,5.3,2687576.39,1670630399999,14392192.46720000,24507,1284251.40000000,6880171.70890000,0
2022-12-10,5.29,5.33,5.26,5.27,1281589.14,1670716799999,6779886.37110000,15979,603798.65000000,3195977.27640000,0
2022-12-11,5.28,5.33,5.13,5.17,2136325.82,1670803199999,11164882.34710000,23719,1005833.69000000,5258951.57410000,0
2022-12-12,5.16,5.21,5.0,5.17,4090252.3,1670889599999,20962565.46690000,33280,1999310.07000000,10250908.97650000,0
2022-12-13,5.17,5.35,4.99,5.28,5123267.46,1670975999999,26498290.42870000,44664,2366151.21000000,12270425.00670000,0
2022-12-14,5.29,5.358,5.154,5.215,5918542.41,1671062399999,31222303.48044000,75899,2888027.79000000,15242995.69958000,0
2022-12-15,5.214,5.254,5.116,5.23,4122946.05,1671148799999,21417791.11581000,57654,2161473.48000000,11230963.12979000,0
2022-12-16,5.23,5.25,4.52,4.652,7256168.85,1671235199999,35961423.95333400,132773,3515204.73000000,17427105.80770000,0
2022-12-17,4.653,4.724,4.583,4.708,4616715.62,1671321599999,21558010.39159000,72420,2390122.81000000,11161478.38516000,0
2022-12-18,4.709,4.716,4.617,4.657,2749549.56,1671407999999,12839492.15870000,37146,1352936.34000000,6317890.53188000,0
2022-12-19,4.657,4.705,4.41,4.481,4752800.99,1671494399999,21758854.40594000,61328,2300418.46000000,10543303.06702000,0
2022-12-20,4.479,4.653,4.461,4.605,3310151.54,1671580799999,15158799.00286000,49248,1749462.49000000,8009268.42419000,0
2022-12-21,4.606,4.616,4.442,4.485,2732722.13,1671667199999,12305001.00567000,40751,1295549.08000000,5833566.13861000,0
2022-12-22,4.486,4.537,4.37,4.531,2979884.33,1671753599999,13255458.94175000,44994,1443901.98000000,6426225.39872000,0
2022-12-23,4.532,4.546,4.454,4.473,2669853.97,1671839999999,12027097.27714000,37837,1330753.31000000,5995683.78230000,0
2022-12-24,4.473,4.492,4.43,4.452,1305078.13,1671926399999,5822518.60220000,22397,591139.27000000,2637229.43839000,0
2022-12-25,4.451,4.498,4.396,4.492,1726195.69,1672012799999,7662366.49777000,28846,815245.61000000,3617937.04393000,0
2022-12-26,4.492,4.578,4.465,4.571,1955878.56,1672099199999,8812897.49759000,32933,1049842.10000000,4731796.03439000,0
2022-12-27,4.571,4.585,4.455,4.478,2694420.81,1672185599999,12133923.16848000,36321,1194301.55000000,5381683.68100000,0
2022-12-28,4.479,4.484,4.24,4.286,5301428.71,1672271999999,23021062.05553000,63479,2314474.85000000,10055246.42545000,0
2022-12-29,4.286,4.355,4.224,4.309,2461379.78,1672358399999,10575923.99114000,32695,1241502.50000000,5332379.77809000,0
2022-12-30,4.308,4.341,4.226,4.324,2037686.16,1672444799999,8730992.15665000,26708,995181.62000000,4265975.09315000,0
2022-12-31,4.324,4.394,4.298,4.309,1499221.97,1672531199999,6506285.76137000,19168,830571.92000000,3604697.39463000,0
2023-01-01,4.308,4.387,4.275,4.371,1341743.7,1672617599999,5804940.74222000,18144,682919.12000000,2955419.76113000,0
