timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-02,0.3,0.913,0.3,0.775,1550711911.76,1712102399999,1071118927.27685000,1863715,799719269.18000000,553810058.64273000,0
2024-04-03,0.775,1.32,0.703,1.134,1339413318.28,1712188799999,1338574457.35606000,1997172,688626646.13000000,689316551.67110000,0
2024-04-04,1.134,1.168,0.907,0.97,646917621.19,1712275199999,672618444.51800000,1086279,313449091.29000000,326485574.60278000,0
2024-04-05,0.97,1.069,0.861,1.018,502228726.98,1712361599999,482846693.72555000,720333,248986901.62000000,239865506.83555000,0
2024-04-06,1.018,1.194,0.962,1.089,415550563.03,1712447999999,453076831.28183000,664577,208820888.47000000,227904712.16953000,0
2024-04-07,1.089,1.271,1.059,1.19,416627251.24,1712534399999,495763502.06815000,636252,207443765.02000000,247033582.13815000,0
2024-04-08,1.191,1.36,1.07,1.293,526618635.97,1712620799999,648008211.28874000,781715,266812676.05000000,329492456.43065000,0
2024-04-09,1.293,1.405,1.192,1.241,428924416.69,1712707199999,556725321.64215000,721499,210821943.72000000,273994887.83162000,0
2024-04-10,1.241,1.51,1.223,1.461,572616730.05,1712793599999,795342653.85706000,967573,296378431.95000000,412004372.14314000,0
2024-04-11,1.461,1.523,1.35,1.372,357195527.69,1712879999999,516863920.84123000,627920,177568923.98000000,257328822.56866000,0
2024-04-12,1.372,1.484,1.08,1.278,579654136.95,1712966399999,750277738.99407000,1005750,280860923.82000000,363738786.76571000,0
2024-04-13,1.278,1.341,0.904,1.046,562522510.58,1713052799999,632609187.79647000,923372,272974346.12000000,306940150.14570000,0
2024-04-14,1.047,1.22,0.986,1.209,442263426.06,1713139199999,490168464.95718000,696633,223262024.27000000,247829634.67004000,0
2024-04-15,1.209,1.218,1.021,1.057,370103707.68,1713225599999,421714409.93314000,599773,180023666.23000000,205567906.99021000,0
2024-04-16,1.056,1.08,0.891,0.979,360361043.94,1713311999999,355424733.84526000,529754,175950500.31000000,173628844.74810000,0
2024-04-17,0.98,1.059,0.904,0.925,308324622.05,1713398399999,299531675.89966000,418263,149279415.21000000,145158687.26665000,0
2024-04-18,0.924,0.95,0.819,0.913,296952635.42,1713484799999,266238265.67583000,350506,142077323.92000000,127610035.25267000,0
2024-04-19,0.913,1.044,0.816,0.968,324078494.26,1713571199999,307992549.43915000,456162,161681625.78000000,153799237.88721000,0
2024-04-20,0.969,1.121,0.948,1.083,271133804.23,1713657599999,278870661.17960000,370435,135373458.12000000,139345697.58299000,0
2024-04-21,1.082,1.108,1.025,1.05,155296030.0,1713743999999,166324770.07108000,246790,76750264.40000000,82347645.07281000,0
2024-04-22,1.05,1.1,1.026,1.05,166300323.73,1713830399999,176355236.58793000,225493,81244380.04000000,86203007.00388000,0
2024-04-23,1.05,1.068,0.931,0.939,199333061.39,1713916799999,198199558.69637000,280517,91301498.75000000,90879991.21472000,0
2024-04-24,0.938,0.985,0.86,0.874,205891122.14,1714003199999,190628004.12767000,277628,99074345.26000000,91809254.30100000,0
2024-04-25,0.874,0.906,0.833,0.871,160350225.74,1714089599999,138747151.73037000,205280,75894360.68000000,65734112.53391000,0
2024-04-26,0.871,0.887,0.812,0.824,146480008.37,1714175999999,123672583.85527000,181990,70019164.39000000,59167181.56640000,0
2024-04-27,0.824,0.847,0.77,0.84,152548642.65,1714262399999,124524279.15936000,179890,76754974.33000000,62703815.18425000,0
2024-04-28,0.841,0.896,0.832,0.849,151089695.36,1714348799999,129919118.66781000,180104,74134753.47000000,63805009.26663000,0
2024-04-29,0.848,0.944,0.775,0.926,242859508.54,1714435199999,206765738.76755000,286955,121402376.88000000,103491088.32275000,0
2024-04-30,0.926,0.939,0.792,0.814,226011295.24,1714521599999,190372541.67104000,300696,105104737.91000000,88446455.96925000,0
2024-05-01,0.814,0.831,0.735,0.798,227898115.53,1714607999999,180237862.25597000,265227,110940886.63000000,87813799.85652000,0
2024-05-02,0.799,0.832,0.765,0.798,137247628.94,1714694399999,110697720.62923000,155235,66540124.67000000,53700604.18966000,0
2024-05-03,0.797,0.878,0.783,0.852,147196600.59,1714780799999,121804401.19102000,163608,75185145.76000000,62278210.80765000,0
2024-05-04,0.852,0.875,0.82,0.828,120172309.86,1714867199999,101065897.16076000,140798,57087121.98000000,48065527.27520000,0
2024-05-05,0.828,0.832,0.795,0.812,88509844.65,1714953599999,71477830.77817000,97834,40905130.74000000,33053282.88245000,0
2024-05-06,0.813,0.936,0.81,0.892,236154939.87,1715039999999,209680881.21678000,311508,119147479.52000000,105746944.26767000,0
2024-05-07,0.892,1.005,0.856,0.92,285968217.56,1715126399999,263738306.02692000,380251,147488342.63000000,136159602.20917000,0
2024-05-08,0.92,0.953,0.855,0.874,239798626.73,1715212799999,216814701.72942000,293434,119019133.25000000,107730368.06055000,0
2024-05-09,0.874,0.911,0.849,0.893,97147589.09,1715299199999,85156172.23838000,130718,47083337.27000000,41312047.87239000,0
2024-05-10,0.894,0.938,0.824,0.847,131113499.66,1715385599999,115745959.95473000,174022,61665688.68000000,54534990.26693000,0
2024-05-11,0.847,0.872,0.838,0.842,52946141.69,1715471999999,45188504.77147000,74708,25291679.78000000,21594938.51421000,0
2024-05-12,0.841,0.854,0.819,0.83,49419446.11,1715558399999,41502788.98984000,71261,24608004.21000000,20676905.59003000,0
2024-05-13,0.83,0.836,0.755,0.768,165775186.6,1715644799999,131616887.39905000,179534,78676111.10000000,62484011.70893000,0
2024-05-14,0.767,0.774,0.672,0.693,168246799.43,1715731199999,120975553.83896000,192689,81445158.27000000,58516790.70147000,0
2024-05-15,0.694,0.749,0.666,0.734,206630003.85,1715817599999,146890521.16360000,223090,103882807.70000000,73904416.07883000,0
2024-05-16,0.735,0.754,0.653,0.671,154458464.67,1715903999999,108507112.25287000,172557,75110793.71000000,52847878.82622000,0
2024-05-17,0.672,0.749,0.669,0.719,140438757.51,1715990399999,100275028.57123000,151650,73045834.76000000,52151277.82199000,0
2024-05-18,0.72,0.795,0.703,0.754,128224731.52,1716076799999,97150820.62587000,155552,64625509.95000000,48997682.62297000,0
2024-05-19,0.753,0.758,0.697,0.713,67893575.47,1716163199999,49214771.87964000,86288,32251221.46000000,23384503.01894000,0
2024-05-20,0.713,0.849,0.69,0.832,157774386.73,1716249599999,120973190.73967000,194454,81080736.13000000,62296095.92590000,0
2024-05-21,0.833,0.902,0.82,0.886,216158623.11,1716335999999,187099403.21933000,324206,107692084.45000000,93278173.05931000,0
2024-05-22,0.886,0.896,0.803,0.853,129257598.93,1716422399999,109058628.18527000,172387,61678587.80000000,52018646.39868000,0
2024-05-23,0.853,0.909,0.831,0.866,252420020.88,1716508799999,218188069.90013000,353020,124836459.21000000,108006568.18354000,0
2024-05-24,0.866,0.92,0.832,0.851,135226999.73,1716595199999,117512676.86018000,231659,66261713.10000000,57700498.34121000,0
2024-05-25,0.852,0.952,0.846,0.912,114799799.0,1716681599999,105205111.91967000,208968,59786215.15000000,54800623.97192000,0
2024-05-26,0.913,0.972,0.902,0.921,100387365.29,1716767999999,93332440.28827000,152485,48507647.25000000,45165877.31751000,0
2024-05-27,0.922,0.956,0.891,0.921,114109169.1,1716854399999,105317595.73034000,153809,53900888.86000000,49802806.90885000,0
2024-05-28,0.921,0.927,0.859,0.894,102451734.41,1716940799999,91855359.98272000,160389,49364330.33000000,44293884.80244000,0
2024-05-29,0.893,0.908,0.833,0.837,72541294.47,1717027199999,62679154.06097000,114087,32969555.13000000,28504378.25989000,0
2024-05-30,0.837,0.902,0.813,0.871,85791604.41,1717113599999,73775178.67641000,112713,42997170.83000000,36980647.75534000,0
2024-05-31,0.872,0.909,0.86,0.878,92433518.94,1717199999999,81602348.11619000,147035,45072050.17000000,39822334.14441000,0
2024-06-01,0.879,0.939,0.873,0.91,64977485.6,1717286399999,58597504.53289000,100271,33928715.54000000,30607303.21990000,0
2024-06-02,0.911,0.935,0.878,0.92,89909076.8,1717372799999,82094636.34696000,137547,42993087.94000000,39310864.25202000,0
2024-06-03,0.921,1.042,0.903,1.027,164200177.78,1717459199999,159145000.38666000,257428,83264626.09000000,80785253.35856000,0
2024-06-04,1.027,1.082,0.938,0.978,153339761.42,1717545599999,152358527.67698000,251511,73457413.67000000,73062689.86751000,0
2024-06-05,0.977,0.996,0.934,0.979,80125886.43,1717631999999,77503576.37834000,124131,39301258.61000000,38043617.45674000,0
2024-06-06,0.98,1.008,0.94,0.952,55735185.94,1717718399999,54309059.66519000,92407,27144712.70000000,26478367.24318000,0
2024-06-07,0.952,0.966,0.791,0.885,105986196.39,1717804799999,95411912.92992000,177360,49039881.05000000,44220447.82734000,0
2024-06-08,0.885,0.891,0.814,0.831,50922431.64,1717891199999,43213662.02297000,86612,22608040.69000000,19183920.66691000,0
2024-06-09,0.831,0.84,0.81,0.831,36255430.56,1717977599999,29871352.06486000,61950,17437654.47000000,14372512.59634000,0
2024-06-10,0.831,0.831,0.769,0.771,55026254.71,1718063999999,44050550.54971000,84265,25557438.37000000,20499583.86717000,0
2024-06-11,0.771,0.775,0.7,0.71,131335008.6,1718150399999,95877556.90840000,164097,55403034.33000000,40507848.83992000,0
2024-06-12,0.709,0.798,0.684,0.731,120048299.2,1718236799999,88443041.96264000,167022,60336539.62000000,44528533.78141000,0
2024-06-13,0.731,0.731,0.677,0.697,58010353.49,1718323199999,40742758.60396000,88658,27732714.10000000,19487490.41417000,0
2024-06-14,0.697,0.735,0.661,0.71,70085257.78,1718409599999,49251105.43481000,109466,35165839.42000000,24734801.92630000,0
2024-06-15,0.71,0.75,0.695,0.748,42651849.64,1718495999999,31012958.58622000,66051,21793228.33000000,15858009.01648000,0
2024-06-16,0.749,0.777,0.724,0.767,46731149.61,1718582399999,35165240.50239000,67656,23111524.83000000,17407896.73677000,0
2024-06-17,0.767,0.773,0.666,0.676,99904403.41,1718668799999,70858541.38589000,148600,46326701.25000000,32874689.76990000,0
2024-06-18,0.676,0.677,0.554,0.627,152859032.88,1718755199999,92436352.02691000,186294,73529122.50000000,44393101.51193000,0
2024-06-19,0.628,0.687,0.621,0.635,88447505.74,1718841599999,57381524.15792000,127154,42416359.98000000,27512198.36229000,0
2024-06-20,0.635,0.668,0.6,0.613,76684151.77,1718927999999,48528488.83431000,103523,37496104.76000000,23771010.34572000,0
2024-06-21,0.613,0.626,0.594,0.6,44737012.38,1719014399999,27314466.08676000,69561,21272439.26000000,12995066.77876000,0
2024-06-22,0.6,0.611,0.585,0.602,23263659.83,1719100799999,13874883.12493000,32458,11575381.39000000,6912136.20725000,0
2024-06-23,0.602,0.612,0.558,0.568,31840381.87,1719187199999,18609698.73718000,40258,14006568.31000000,8194648.83273000,0
2024-06-24,0.568,0.573,0.513,0.558,77554226.66,1719273599999,42613870.48695000,89416,37539086.95000000,20646561.45027000,0
2024-06-25,0.558,0.59,0.547,0.573,45124554.87,1719359999999,25605644.61399000,49571,22899462.95000000,12997003.51987000,0
