timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.884,0.924,0.83,0.916,13794913.0,1668470399999,12220960.81330000,43943,6781275.20000000,6002367.46930000,0
2022-11-15,0.916,0.951,0.906,0.926,10143002.1,1668556799999,9416760.26280000,29535,5230625.00000000,4856501.51160000,0
2022-11-16,0.927,0.945,0.89,0.898,8388782.0,1668643199999,7669791.18100000,26118,4603506.40000000,4203827.36490000,0
2022-11-17,0.897,0.908,0.882,0.9,4668131.4,1668729599999,4180556.37660000,15095,2355482.10000000,2110179.66400000,0
2022-11-18,0.9,0.919,0.888,0.898,4179442.3,1668815999999,3781102.13540000,13201,2101602.90000000,1901336.24090000,0
2022-11-19,0.898,0.908,0.875,0.903,4132168.6,1668902399999,3699282.28190000,12897,2157480.80000000,1931908.29300000,0
2022-11-20,0.904,0.915,0.861,0.871,4782517.7,1668988799999,4265185.42500000,17053,2426133.60000000,2164832.48070000,0
2022-11-21,0.872,0.88,0.827,0.848,7699245.0,1669075199999,6585639.67030000,25995,3705518.70000000,3169795.36480000,0
2022-11-22,0.848,0.88,0.833,0.879,6828216.4,1669161599999,5852055.41250000,18941,3288074.40000000,2818781.88650000,0
2022-11-23,0.879,0.922,0.871,0.912,8942143.2,1669247999999,8058124.43840000,26632,4332761.60000000,3905161.04250000,0
2022-11-24,0.912,0.921,0.894,0.912,6498226.9,1669334399999,5902202.06660000,17979,3046417.90000000,2767900.14920000,0
2022-11-25,0.911,1.02,0.891,0.933,20759143.0,1669420799999,19609007.16760000,56763,10326449.10000000,9770904.75440000,0
2022-11-26,0.934,0.947,0.917,0.934,8272210.1,1669507199999,7723870.74780000,20136,4155540.30000000,3881376.41670000,0
2022-11-27,0.933,0.962,0.923,0.929,9395226.4,1669593599999,8824177.56390000,23815,4669044.90000000,4385790.03800000,0
2022-11-28,0.929,0.935,0.884,0.904,8507652.6,1669679999999,7664601.14830000,23826,4157390.90000000,3744356.68440000,0
2022-11-29,0.903,0.923,0.898,0.918,4744939.7,1669766399999,4339087.66420000,13175,2400256.00000000,2195415.94610000,0
2022-11-30,0.918,0.955,0.917,0.951,6618884.8,1669852799999,6213103.74660000,19851,3356604.00000000,3151288.28530000,0
2022-12-01,0.95,0.952,0.922,0.931,6499294.9,1669939199999,6080260.47900000,17263,3143107.20000000,2941060.38090000,0
2022-12-02,0.931,0.954,0.919,0.942,6348838.6,1670025599999,5938082.86420000,15535,3226472.10000000,3019081.63270000,0
2022-12-03,0.942,0.947,0.916,0.922,4795298.2,1670111999999,4479274.18480000,15069,2217761.60000000,2072637.32780000,0
2022-12-04,0.922,0.933,0.92,0.93,6436735.0,1670198399999,5963681.57820000,13768,3152407.60000000,2921847.80020000,0
2022-12-05,0.931,0.955,0.918,0.931,8361666.8,1670284799999,7842225.91930000,19051,4304882.10000000,4035172.31110000,0
2022-12-06,0.932,0.975,0.926,0.958,10587344.2,1670371199999,10037251.24000000,25111,5220837.30000000,4949814.55500000,0
