timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,19.91,20.76,18.81,20.48,1681089.24,1668470399999,33403974.79730000,127540,819905.35000000,16303006.97030000,0
2022-11-15,20.48,21.0,20.13,20.56,909924.61,1668556799999,18674565.76660000,64782,460570.83000000,9454460.83370000,0
2022-11-16,20.57,20.68,19.52,19.92,790485.37,1668643199999,15917006.57230000,56700,391517.45000000,7884456.80840000,0
2022-11-17,19.92,20.07,19.17,19.67,751212.87,1668729599999,14733540.01130000,51227,360772.47000000,7075998.16550000,0
2022-11-18,19.67,20.05,19.29,19.55,584489.75,1668815999999,11490505.27110000,36840,293141.48000000,5761585.31180000,0
2022-11-19,19.56,19.75,18.93,19.51,699000.68,1668902399999,13544948.25340000,42834,401558.97000000,7785446.95910000,0
2022-11-20,19.51,19.73,18.05,18.17,681538.13,1668988799999,12908134.31080000,45404,304523.29000000,5763667.02590000,0
2022-11-21,18.15,18.42,17.15,18.03,1028101.02,1669075199999,18319976.86210000,69740,514985.63000000,9177240.18280000,0
2022-11-22,18.02,18.66,17.42,18.48,919329.8,1669161599999,16654200.64500000,60143,433252.11000000,7852721.57330000,0
2022-11-23,18.49,20.42,18.24,20.33,1746518.09,1669247999999,34062966.10220000,113149,860329.99000000,16784233.20860000,0
2022-11-24,20.33,20.85,19.86,20.21,1244823.77,1669334399999,25309476.94500000,88189,624900.89000000,12714244.75940000,0
2022-11-25,20.21,20.62,19.64,20.1,707826.88,1669420799999,14182516.85810000,48070,338170.05000000,6777627.39990000,0
2022-11-26,20.1,20.97,19.71,19.89,684251.5,1669507199999,13911681.64630000,47883,328041.86000000,6669566.58330000,0
2022-11-27,19.9,20.38,19.71,19.82,725061.32,1669593599999,14544679.26470000,40028,372101.20000000,7468641.62260000,0
2022-11-28,19.82,19.91,18.37,19.32,1270652.03,1669679999999,24180785.85980000,79479,619004.12000000,11773694.79110000,0
2022-11-29,19.33,19.84,19.09,19.51,478517.85,1669766399999,9347589.58710000,32489,235551.34000000,4603349.02210000,0
2022-11-30,19.52,20.5,19.47,20.29,942852.1,1669852799999,18891531.55690000,56761,476202.58000000,9539649.20250000,0
2022-12-01,20.29,20.31,19.64,19.75,572876.44,1669939199999,11425931.27280000,31939,260270.28000000,5193272.45600000,0
2022-12-02,19.75,19.92,19.3,19.86,504075.85,1670025599999,9885089.90070000,26826,249168.70000000,4888450.46390000,0
2022-12-03,19.87,19.94,19.12,19.23,420954.38,1670111999999,8240598.66660000,21170,193106.01000000,3783667.74210000,0
2022-12-04,19.22,19.71,19.2,19.49,426939.52,1670198399999,8294803.34180000,21467,218595.61000000,4249311.04640000,0
2022-12-05,19.49,20.26,19.15,19.45,707665.56,1670284799999,13979159.24870000,43813,326836.12000000,6455822.36360000,0
2022-12-06,19.45,19.58,19.21,19.55,337366.66,1670371199999,6542430.27210000,22291,167161.42000000,3242827.03630000,0
2022-12-07,19.56,19.65,18.54,18.71,480420.86,1670457599999,9115523.74910000,30134,229963.86000000,4359522.23750000,0
2022-12-08,18.72,19.26,18.54,19.18,427190.96,1670543999999,8069239.57870000,28990,219615.26000000,4151593.85930000,0
2022-12-09,19.17,19.51,18.96,19.17,452529.48,1670630399999,8690632.70590000,28424,220054.62000000,4227182.86500000,0
2022-12-10,19.17,19.35,18.99,19.15,335265.22,1670716799999,6430839.65440000,22466,156393.60000000,3000517.19440000,0
2022-12-11,19.15,19.43,18.74,18.89,305926.75,1670803199999,5865570.34960000,20531,143121.83000000,2744102.86590000,0
2022-12-12,18.89,18.94,17.96,18.55,579912.61,1670889599999,10636311.02650000,35803,274582.43000000,5036234.60220000,0
2022-12-13,18.56,19.78,17.89,19.26,937093.16,1670975999999,17604712.84450000,55859,458608.55000000,8609554.92540000,0
2022-12-14,19.27,19.48,18.72,18.77,606509.04,1671062399999,11626795.27220000,39267,295616.77000000,5671195.87370000,0
2022-12-15,18.77,18.87,17.98,18.19,500674.89,1671148799999,9217665.62250000,31689,238973.41000000,4395996.69830000,0
2022-12-16,18.18,18.35,15.59,15.94,944253.66,1671235199999,16005690.93790000,67297,461235.38000000,7816307.86530000,0
2022-12-17,15.94,16.29,15.75,16.2,776125.07,1671321599999,12475969.20980000,56106,413040.65000000,6640590.12160000,0
2022-12-18,16.19,16.25,15.65,15.94,416341.69,1671407999999,6662096.69830000,27228,183998.14000000,2945235.89460000,0
2022-12-19,15.95,16.17,14.7,15.2,726940.34,1671494399999,11332123.58320000,44586,330602.93000000,5156868.30310000,0
2022-12-20,15.2,16.09,15.09,15.93,541023.39,1671580799999,8509233.01190000,39666,235519.55000000,3704173.31300000,0
2022-12-21,15.93,16.77,15.5,16.64,878637.69,1671667199999,14375734.75560000,44274,453635.90000000,7426772.13420000,0
2022-12-22,16.64,16.76,15.84,16.49,689257.88,1671753599999,11238935.08080000,36807,320625.62000000,5228755.10640000,0
2022-12-23,16.48,16.55,16.25,16.4,457978.13,1671839999999,7512954.43520000,24061,213539.66000000,3503685.04520000,0
2022-12-24,16.39,16.5,16.33,16.45,199063.11,1671926399999,3267209.94560000,15475,102603.09000000,1684481.29710000,0
2022-12-25,16.46,16.49,15.85,16.2,413412.33,1672012799999,6682278.99700000,28170,194032.19000000,3137139.21750000,0
2022-12-26,16.2,16.31,16.01,16.25,323592.51,1672099199999,5222148.53840000,19066,153825.47000000,2482599.57420000,0
2022-12-27,16.26,16.33,15.57,15.87,349478.19,1672185599999,5569869.91210000,19565,166397.29000000,2650731.19050000,0
2022-12-28,15.86,15.89,14.95,15.12,703513.54,1672271999999,10794301.45440000,34403,314018.61000000,4817349.19720000,0
2022-12-29,15.12,16.11,14.86,15.7,887641.74,1672358399999,13853573.91290000,41685,475584.03000000,7430769.36840000,0
2022-12-30,15.7,15.89,15.28,15.55,606644.1,1672444799999,9418749.05700000,28181,275082.25000000,4271779.19460000,0
2022-12-31,15.55,15.96,15.5,15.69,375169.93,1672531199999,5902026.49600000,20935,181749.03000000,2858347.51080000,0
2023-01-01,15.69,15.85,15.6,15.79,149795.44,1672617599999,2352049.93160000,10290,70161.08000000,1101746.84930000,0
2023-01-02,15.79,16.26,15.47,16.12,478801.64,1672703999999,7646998.70130000,25994,241453.68000000,3858888.00410000,0
2023-01-03,16.12,16.2,15.64,15.89,426135.42,1672790399999,6796693.81890000,21288,212913.55000000,3395729.93400000,0
2023-01-04,15.9,19.85,15.85,19.2,3713919.05,1672876799999,67858655.16350000,163912,1865264.11000000,33992075.35220000,0
2023-01-05,19.2,19.55,18.05,18.23,2374424.81,1672963199999,44523049.79020000,107018,1163580.43000000,21824370.76930000,0
2023-01-06,18.23,20.78,17.75,20.43,2626242.79,1673049599999,50117588.69570000,110597,1317506.59000000,25142629.71540000,0
2023-01-07,20.43,20.58,19.76,20.03,1362992.36,1673135999999,27501896.71480000,68789,664259.39000000,13409890.13650000,0
2023-01-08,20.02,20.54,19.54,20.39,1707057.44,1673222399999,34067197.49250000,72193,879425.93000000,17557353.85970000,0
2023-01-09,20.39,21.82,19.87,20.12,3189982.41,1673308799999,66791191.69780000,127157,1572291.60000000,32947095.77540000,0
2023-01-10,20.11,20.45,19.65,20.23,1571967.15,1673395199999,31639281.80380000,57545,784521.24000000,15796749.03730000,0
2023-01-11,20.24,20.62,19.44,20.52,1271102.88,1673481599999,25297701.28350000,49231,593568.22000000,11826961.02210000,0
2023-01-12,20.52,21.36,19.59,20.88,2252606.41,1673567999999,46356120.96920000,93553,1103921.81000000,22726732.84500000,0
2023-01-13,20.86,22.05,20.59,21.62,1890548.48,1673654399999,40054180.25020000,81104,960648.53000000,20352404.84840000,0
2023-01-14,21.62,23.9,21.18,22.5,2682250.38,1673740799999,60911744.48240000,151236,1355146.47000000,30785277.85650000,0
2023-01-15,22.5,22.9,21.47,22.4,1216422.8,1673827199999,26850233.10730000,73244,568025.52000000,12544039.08810000,0
2023-01-16,22.4,22.89,21.2,21.87,1214757.64,1673913599999,26772029.15350000,71619,582912.31000000,12844210.14440000,0
2023-01-17,21.86,22.58,21.61,21.84,1119734.54,1673999999999,24854424.66690000,65884,537095.23000000,11921019.34080000,0
2023-01-18,21.83,22.53,20.02,20.36,1533419.16,1674086399999,32733202.51020000,95504,712681.80000000,15210839.18330000,0
2023-01-19,20.35,20.81,20.3,20.73,815738.87,1674172799999,16786522.99630000,49286,363361.07000000,7483295.48780000,0
2023-01-20,20.74,22.66,20.52,22.46,815257.02,1674259199999,17441310.58510000,58215,421426.66000000,9027508.28980000,0
2023-01-21,22.44,22.9,21.62,21.8,1143745.11,1674345599999,25475022.35200000,73906,543167.20000000,12104182.92090000,0
2023-01-22,21.8,23.65,21.6,22.55,1434789.25,1674431999999,32447291.41990000,79871,716959.50000000,16209602.79070000,0
2023-01-23,22.55,23.9,22.14,22.79,1977678.77,1674518399999,45383348.71000000,96161,945130.87000000,21711469.30300000,0
2023-01-24,22.79,22.99,20.5,21.18,948732.06,1674604799999,20991013.73650000,53286,421985.60000000,9354931.80170000,0
2023-01-25,21.17,22.41,20.56,21.84,1095099.54,1674691199999,23305721.11480000,56243,507050.53000000,10797449.81010000,0
2023-01-26,21.85,22.38,21.47,21.98,977046.11,1674777599999,21470344.55230000,56346,480389.50000000,10559456.56110000,0
2023-01-27,21.99,22.26,21.21,22.02,559836.47,1674863999999,12162850.94570000,35441,250322.76000000,5436615.69140000,0
2023-01-28,22.02,22.23,21.48,21.72,602522.24,1674950399999,13158547.23440000,29218,277171.48000000,6053088.28430000,0
2023-01-29,21.71,22.85,21.56,22.75,1045298.99,1675036799999,23398918.26380000,52112,525372.55000000,11764001.14430000,0
2023-01-30,22.75,23.56,20.8,21.35,1864366.16,1675123199999,41242689.02240000,86277,871787.16000000,19312596.65170000,0
2023-01-31,21.34,21.97,21.21,21.69,685184.93,1675209599999,14772089.54800000,37794,335740.81000000,7237723.10390000,0
2023-02-01,21.68,22.51,20.98,22.35,943426.95,1675295999999,20427319.45880000,49330,446846.43000000,9678396.95470000,0
2023-02-02,22.36,24.17,21.89,22.42,2251047.92,1675382399999,51593586.93270000,96999,1136301.69000000,26068507.36470000,0
2023-02-03,22.43,23.88,22.27,23.17,2262110.86,1675468799999,52681935.63390000,97568,1110454.89000000,25864138.81940000,0
2023-02-04,23.17,24.95,23.05,23.81,2412902.15,1675555199999,57685144.91180000,100900,1192909.04000000,28534839.22540000,0
2023-02-05,23.81,24.08,22.4,22.85,1726098.35,1675641599999,39901298.25870000,73164,829579.43000000,19178466.28350000,0
2023-02-06,22.85,23.07,21.89,22.13,977981.87,1675727999999,22083260.22910000,44184,476108.86000000,10750940.94500000,0
2023-02-07,22.12,23.3,22.0,23.2,1000015.44,1675814399999,22550520.36490000,42198,490768.46000000,11075556.63250000,0
2023-02-08,23.2,23.38,22.1,22.64,981193.41,1675900799999,22368685.65600000,43547,455180.10000000,10377922.70550000,0
2023-02-09,22.64,22.91,20.34,20.9,1600230.5,1675987199999,34962321.91690000,80302,773009.28000000,16907129.88950000,0
2023-02-10,20.9,21.4,20.72,20.97,990768.29,1676073599999,20851398.56290000,48507,460552.74000000,9693844.13670000,0
2023-02-11,20.97,21.51,20.94,21.49,693178.98,1676159999999,14762877.37740000,36472,357374.17000000,7611215.78920000,0
2023-02-12,21.5,21.64,20.72,21.06,626877.22,1676246399999,13350915.86350000,30500,315763.13000000,6730165.19800000,0
2023-02-13,21.05,21.19,20.0,20.64,1043930.24,1676332799999,21414781.00520000,49001,454476.77000000,9333436.70580000,0
2023-02-14,20.64,21.26,20.21,21.23,834517.73,1676419199999,17340604.80520000,46111,431938.29000000,8980884.35400000,0
2023-02-15,21.23,22.48,20.89,22.47,1113285.13,1676505599999,23966526.88310000,53874,583807.14000000,12561661.84690000,0
2023-02-16,22.47,22.85,21.29,21.35,1305027.8,1676591999999,29095537.28100000,63907,638482.90000000,14248437.20110000,0
2023-02-17,21.36,22.61,21.22,22.42,1096414.59,1676678399999,24059037.38490000,49652,545181.97000000,11969886.68870000,0
2023-02-18,22.41,23.19,22.11,22.62,1060147.81,1676764799999,23959310.95440000,48546,525366.84000000,11881315.82550000,0
2023-02-19,22.62,23.33,22.21,22.5,1442787.21,1676851199999,32877205.92640000,66519,708435.52000000,16150191.99850000,0
2023-02-20,22.5,23.72,21.75,23.18,1537704.84,1676937599999,35308655.33000000,78151,781622.09000000,17939618.51850000,0
2023-02-21,23.18,24.25,22.4,22.85,2598352.03,1677023999999,60768202.91610000,122303,1281025.67000000,29958261.26820000,0
2023-02-22,22.85,22.93,21.69,22.48,1174809.05,1677110399999,26190609.97380000,59358,549820.76000000,12262794.85200000,0
2023-02-23,22.47,22.72,21.83,22.12,807536.43,1677196799999,17977422.82240000,44500,369569.89000000,8229167.07860000,0
2023-02-24,22.12,22.27,20.7,21.11,895989.16,1677283199999,19251624.57660000,48558,380407.82000000,8181470.21320000,0
2023-02-25,21.12,21.25,20.3,20.98,665874.33,1677369599999,13894076.07300000,40552,286749.62000000,5982915.81490000,0
2023-02-26,20.98,21.55,20.83,21.41,427312.17,1677455999999,9063412.13220000,22737,214677.41000000,4553807.00110000,0
2023-02-27,21.41,21.61,20.82,21.31,533129.71,1677542399999,11320550.38780000,28471,236939.58000000,5036574.93950000,0
2023-02-28,21.3,21.48,20.56,20.76,420915.73,1677628799999,8882701.70910000,25404,186522.76000000,3938507.96760000,0
2023-03-01,20.76,21.46,20.65,21.29,443423.11,1677715199999,9395289.18660000,22222,222633.08000000,4720727.90770000,0
2023-03-02,21.28,21.38,20.54,21.1,418171.96,1677801599999,8740703.98960000,22068,180787.99000000,3779797.64780000,0
2023-03-03,21.11,21.12,19.0,20.36,1108160.73,1677887999999,21938988.09580000,58556,508772.49000000,10074876.70830000,0
2023-03-04,20.36,20.44,19.45,19.95,465415.25,1677974399999,9314632.29200000,25730,216509.25000000,4330671.24710000,0
2023-03-05,19.94,20.46,19.6,19.75,374404.81,1678060799999,7502619.90510000,19789,168562.12000000,3377554.53450000,0
2023-03-06,19.76,19.81,19.1,19.65,531276.22,1678147199999,10348246.84460000,28598,216763.14000000,4222193.17140000,0
2023-03-07,19.66,19.84,18.8,19.21,463081.16,1678233599999,8946047.03600000,26658,189523.01000000,3664406.92450000,0
2023-03-08,19.22,19.29,17.93,18.25,660187.82,1678319999999,12288626.07720000,31970,292205.90000000,5442828.62760000,0
2023-03-09,18.24,18.59,16.6,17.07,881182.05,1678406399999,15563148.48370000,47604,368823.60000000,6519847.03930000,0
2023-03-10,17.08,17.53,16.1,17.43,1260992.03,1678492799999,21210993.94870000,52252,605123.17000000,10180751.58710000,0
2023-03-11,17.42,17.87,16.46,17.15,760142.55,1678579199999,12955065.46340000,42321,373510.77000000,6362691.73100000,0
2023-03-12,17.15,18.79,16.83,18.72,827976.15,1678665599999,14575191.01150000,45148,409409.45000000,7213497.52270000,0
2023-03-13,18.73,20.21,18.63,19.56,2229383.18,1678751999999,43362818.38570000,127547,1102861.62000000,21455994.17080000,0
2023-03-14,19.57,20.99,19.02,20.22,1407001.91,1678838399999,28130361.74250000,87383,694539.01000000,13875064.95540000,0
2023-03-15,20.2,20.58,17.99,18.4,1512524.85,1678924799999,28914644.94030000,85953,742923.25000000,14220840.86450000,0
2023-03-16,18.4,18.95,18.1,18.73,784529.9,1679011199999,14541648.89340000,47896,402109.78000000,7456733.53470000,0
2023-03-17,18.72,20.32,18.49,20.28,826916.95,1679097599999,16034959.17310000,47368,416462.46000000,8074308.85040000,0
2023-03-18,20.27,22.55,20.14,20.76,2842687.96,1679183999999,61911842.95810000,162169,1434973.89000000,31260959.96330000,0
2023-03-19,20.77,21.74,20.67,21.06,1060987.98,1679270399999,22505926.14860000,70716,520707.92000000,11051256.12010000,0
2023-03-20,21.06,21.29,19.34,19.57,1545026.22,1679356799999,31295815.95170000,99701,754819.32000000,15286084.82250000,0
2023-03-21,19.57,21.25,19.17,20.9,1504837.46,1679443199999,30452413.90800000,80093,786246.84000000,15907079.10180000,0
2023-03-22,20.9,21.06,19.3,20.03,1539917.36,1679529599999,31286108.26200000,92505,767148.03000000,15586598.67730000,0
2023-03-23,20.03,21.35,19.95,20.78,1040426.56,1679615999999,21462998.61010000,57918,497618.43000000,10262773.24870000,0
2023-03-24,20.78,20.89,19.67,20.19,679643.99,1679702399999,13791008.96670000,42662,319639.14000000,6486098.98960000,0
2023-03-25,20.2,20.63,19.52,20.02,744356.1,1679788799999,15027233.52210000,45880,345872.78000000,6988541.99260000,0
2023-03-26,20.01,20.48,19.93,20.33,491466.57,1679875199999,9940444.22560000,29781,228199.25000000,4617521.69160000,0
2023-03-27,20.33,20.37,18.97,19.67,861450.73,1679961599999,16926305.06210000,55107,396410.02000000,7786714.97270000,0
2023-03-28,19.66,20.27,19.53,20.16,767852.15,1680047999999,15315688.45820000,51443,387900.44000000,7741639.84660000,0
2023-03-29,20.16,21.06,20.06,20.67,737891.21,1680134399999,15218472.68330000,47825,370392.22000000,7638784.33370000,0
