timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-03-18,0.23,5.32,0.23,3.12,66158253.0,1710806399999,241523110.19180000,821953,31405547.50000000,115010148.87880000,0
2024-03-19,3.119,3.486,2.81,3.021,36561527.7,1710892799999,114305271.91910000,450627,16961187.20000000,53205040.23020000,0
2024-03-20,3.021,4.39,2.896,4.207,69007806.1,1710979199999,257623250.85030000,735690,35857489.00000000,134032047.65010000,0
2024-03-21,4.209,4.438,3.705,3.815,37832869.9,1711065599999,154378435.87930000,486565,18511985.30000000,75658443.59580000,0
2024-03-22,3.816,4.16,3.508,3.69,26583233.8,1711151999999,100650382.93450000,335012,13069331.30000000,49548284.51560000,0
2024-03-23,3.691,4.38,3.608,4.227,28604105.8,1711238399999,114535799.43820000,425802,14583681.40000000,58445505.60360000,0
2024-03-24,4.227,4.298,3.897,3.979,17887988.3,1711324799999,72072733.52590000,274938,8371824.60000000,33741976.90190000,0
2024-03-25,3.98,4.7,3.958,4.458,35009216.4,1711411199999,153203683.21220000,520060,18258497.40000000,79907467.14090000,0
2024-03-26,4.459,5.555,4.409,5.468,42428235.4,1711497599999,207998158.35550000,647279,22007804.40000000,108016893.78220000,0
2024-03-27,5.468,8.66,5.31,7.92,113955921.5,1711583999999,770158757.36110000,2024262,57877667.70000000,391405260.49490000,0
2024-03-28,7.921,8.054,6.717,7.011,75789954.1,1711670399999,557291513.64870000,1587435,37148692.60000000,273303177.05110000,0
2024-03-29,7.01,7.31,6.545,6.677,33448862.7,1711756799999,232384012.75770000,697663,16341879.10000000,113587073.10090000,0
2024-03-30,6.676,7.2,6.3,6.418,25311214.2,1711843199999,169449723.63380000,469930,12392443.50000000,83122053.92870000,0
2024-03-31,6.421,6.9,6.373,6.532,21514308.8,1711929599999,142817617.42410000,384563,10925259.70000000,72594489.77460000,0
2024-04-01,6.531,6.75,5.466,5.72,38862781.2,1712015999999,230965580.16430000,641047,18551093.80000000,110323233.28360000,0
2024-04-02,5.72,6.117,5.139,5.433,38541958.3,1712102399999,212706531.43530000,625072,18815184.40000000,103954934.89770000,0
2024-04-03,5.434,5.816,4.927,5.078,33346884.7,1712188799999,178893513.89590000,469443,15768963.60000000,84701014.33580000,0
2024-04-04,5.078,5.51,4.765,5.252,28652424.2,1712275199999,148430148.29870000,440494,14113754.20000000,73144959.32590000,0
2024-04-05,5.253,5.498,4.826,5.385,24066698.2,1712361599999,124139536.04940000,365361,12028133.60000000,62096325.13660000,0
2024-04-06,5.386,5.7,5.168,5.431,21612768.1,1712447999999,116938924.84960000,324285,10704525.70000000,57961690.12680000,0
2024-04-07,5.431,5.88,5.346,5.726,19411265.3,1712534399999,109584879.98290000,325761,9668699.20000000,54631512.36810000,0
2024-04-08,5.727,6.595,5.539,6.401,24268277.4,1712620799999,143895464.58130000,432675,12309950.20000000,73136042.06760000,0
2024-04-09,6.401,6.73,5.45,5.533,30754162.1,1712707199999,188381372.61690000,535903,14474972.50000000,88730149.90480000,0
2024-04-10,5.532,6.102,5.229,5.739,28595126.0,1712793599999,161834851.84550000,528232,14296424.40000000,80970892.02730000,0
2024-04-11,5.741,5.742,5.182,5.221,16753156.2,1712879999999,91643836.63060000,272421,7817147.20000000,42794191.84030000,0
2024-04-12,5.221,5.407,3.7,4.356,30600243.8,1712966399999,142659508.88790000,498015,14794653.50000000,68989725.69480000,0
2024-04-13,4.357,4.668,3.24,4.078,32378713.0,1713052799999,131355855.14630000,594125,15983014.30000000,64929089.75510000,0
2024-04-14,4.078,4.29,3.637,4.226,25784224.2,1713139199999,100677157.82940000,446115,12752651.80000000,49789543.64470000,0
2024-04-15,4.225,4.374,3.682,3.868,21085864.8,1713225599999,85289198.02320000,352120,10319629.00000000,41772176.40360000,0
2024-04-16,3.868,3.993,3.589,3.819,18439128.8,1713311999999,69968368.66810000,268149,9082593.90000000,34471867.76510000,0
2024-04-17,3.82,3.895,3.35,3.538,21092518.7,1713398399999,75664077.04210000,260443,10082968.80000000,36129157.47300000,0
2024-04-18,3.538,3.651,3.327,3.559,11952520.9,1713484799999,42034977.89610000,170736,6056199.50000000,21324315.94840000,0
2024-04-19,3.559,3.727,3.243,3.601,17465961.7,1713571199999,61970501.22540000,232855,8516380.40000000,30255408.12280000,0
2024-04-20,3.599,4.214,3.53,4.115,12604526.1,1713657599999,48977998.10420000,209908,6330164.40000000,24593114.47490000,0
2024-04-21,4.114,4.165,3.905,3.996,8089025.4,1713743999999,32854393.86530000,148080,3882007.60000000,15781018.52490000,0
2024-04-22,3.995,4.197,3.927,4.074,10118904.5,1713830399999,41288221.96450000,156974,4994436.60000000,20393922.07600000,0
2024-04-23,4.074,4.167,3.766,3.826,11204276.4,1713916799999,44110528.61330000,149158,5226267.50000000,20597172.27110000,0
2024-04-24,3.826,3.958,3.634,3.763,13382246.6,1714003199999,50814129.47510000,167736,6320312.80000000,24006119.35310000,0
2024-04-25,3.763,3.833,3.527,3.633,11446865.0,1714089599999,41900908.93960000,159926,5478795.60000000,20060912.04790000,0
2024-04-26,3.632,3.647,3.417,3.436,7479517.3,1714175999999,26346793.83370000,105727,3576439.80000000,12607239.17240000,0
2024-04-27,3.438,3.786,3.281,3.749,11676946.2,1714262399999,41152640.98360000,148143,5950120.80000000,21003448.00750000,0
2024-04-28,3.75,4.82,3.732,4.365,56020702.6,1714348799999,244863833.60720000,708078,28236914.00000000,123396661.45260000,0
2024-04-29,4.366,4.844,4.081,4.492,48853439.8,1714435199999,217307079.14070000,689002,24086161.70000000,107231387.57710000,0
2024-04-30,4.492,4.637,3.803,3.907,37852479.2,1714521599999,152611408.41970000,442315,18204964.50000000,73405433.28540000,0
2024-05-01,3.906,3.929,3.468,3.791,30136154.7,1714607999999,110353905.61200000,366785,14728186.40000000,53982352.56990000,0
2024-05-02,3.792,3.946,3.592,3.775,20883638.1,1714694399999,78850496.45130000,258972,10493358.40000000,39621017.02710000,0
2024-05-03,3.775,4.063,3.651,3.963,17196887.2,1714780799999,66157413.22350000,186871,8508401.20000000,32746409.91670000,0
2024-05-04,3.964,4.169,3.896,4.025,15116090.0,1714867199999,60738015.80990000,181518,7451978.20000000,29960719.22040000,0
