timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-28,1.12,1.2005,1.1083,1.1107,5055595.0,1724889599999,5651678.36715000,40363,1925204.10000000,2152964.11046000,0
2024-08-29,1.1107,1.1125,1.1044,1.1068,6456573.2,1724975999999,7150447.52329000,41894,3244489.00000000,3592874.39191000,0
2024-08-30,1.1067,1.1093,1.1037,1.1042,12692577.2,1725062399999,14043456.74791000,28784,6111979.60000000,6762101.97795000,0
2024-08-31,1.1042,1.1064,1.1039,1.1055,3306525.5,1725148799999,3654251.76691000,41619,1601169.30000000,1769549.53429000,0
2024-09-01,1.1056,1.1056,1.0989,1.1034,1716613.1,1725235199999,1894582.89534000,19593,821429.60000000,906540.29465000,0
2024-09-02,1.1034,1.1078,1.1031,1.1061,7466363.6,1725321599999,8257534.47651000,24000,3624796.60000000,4008722.91847000,0
2024-09-03,1.106,1.1064,1.1024,1.1046,54784753.1,1725407999999,60492819.50816000,51603,26908861.00000000,29711798.30347000,0
2024-09-04,1.1046,1.11,1.1036,1.1073,81735595.0,1725494399999,90351945.56291000,36730,39988362.40000000,44202534.48031000,0
2024-09-05,1.1073,1.1117,1.1067,1.111,91064895.0,1725580799999,101000846.58193000,42362,45090696.80000000,50007685.36406000,0
2024-09-06,1.1109,1.1159,1.103,1.1035,126679760.4,1725667199999,140575169.15542000,77559,63114187.80000000,70036430.48177000,0
2024-09-07,1.1036,1.1072,1.0952,1.1048,2033023.6,1725753599999,2246580.88530000,23404,822693.70000000,909289.10711000,0
2024-09-08,1.1048,1.1058,1.1047,1.1056,135761.6,1725839999999,150058.23328000,744,93355.00000000,103188.32654000,0
