timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.0602,0.0638,0.0569,0.0634,16698188.0,1668470399999,1001037.56660000,8128,8615329.00000000,517054.21360000,0
2022-11-15,0.0633,0.0646,0.061,0.0625,12576851.0,1668556799999,788498.97260000,5581,5942991.00000000,372745.24870000,0
2022-11-16,0.0626,0.0642,0.0596,0.0608,8452289.0,1668643199999,521814.04860000,4350,3822651.00000000,235732.04800000,0
2022-11-17,0.0607,0.0615,0.0593,0.0603,5310811.0,1668729599999,320622.40540000,2808,2588142.00000000,156385.94040000,0
2022-11-18,0.0601,0.0618,0.0594,0.06,8782934.0,1668815999999,528949.06960000,3278,5409467.00000000,325387.04530000,0
2022-11-19,0.06,0.0607,0.0592,0.0599,8713345.0,1668902399999,521162.99360000,2286,5716021.00000000,342172.56530000,0
2022-11-20,0.0598,0.0625,0.0567,0.0571,17054734.0,1668988799999,1019551.45570000,6771,8157448.00000000,488333.75380000,0
2022-11-21,0.057,0.0571,0.054,0.0547,17452783.0,1669075199999,969010.25310000,6579,8901152.00000000,494606.12290000,0
2022-11-22,0.0547,0.0569,0.0527,0.0569,17918656.0,1669161599999,982742.50020000,6366,9034087.00000000,495991.99220000,0
2022-11-23,0.0569,0.0777,0.0563,0.0641,156575234.0,1669247999999,10654802.38400000,65915,75817285.00000000,5187364.97980000,0
2022-11-24,0.064,0.07,0.0605,0.0629,69447673.0,1669334399999,4449684.56180000,25314,31644211.00000000,2029753.13200000,0
2022-11-25,0.0629,0.0637,0.0594,0.0621,33301670.0,1669420799999,2056603.79420000,12328,14929788.00000000,922060.89770000,0
2022-11-26,0.0621,0.0645,0.0604,0.0609,22416125.0,1669507199999,1396137.74340000,7793,10254678.00000000,638911.87340000,0
2022-11-27,0.0611,0.0667,0.0608,0.0621,33657218.0,1669593599999,2127827.16000000,12063,16166657.00000000,1023877.81150000,0
2022-11-28,0.0618,0.0638,0.0585,0.0612,27704941.0,1669679999999,1691130.55480000,10579,13270996.00000000,810746.58430000,0
2022-11-29,0.0612,0.0639,0.0607,0.0622,22084447.0,1669766399999,1377305.12040000,7683,9603073.00000000,599761.77190000,0
2022-11-30,0.0622,0.0642,0.0616,0.0632,21787861.0,1669852799999,1372384.49910000,7876,10283307.00000000,648436.49870000,0
2022-12-01,0.0634,0.0645,0.0617,0.0621,16031612.0,1669939199999,1010153.41910000,6121,7307308.00000000,460752.30330000,0
2022-12-02,0.0621,0.0644,0.0615,0.0637,14154269.0,1670025599999,894286.69380000,4909,6367041.00000000,402678.70980000,0
2022-12-03,0.0637,0.064,0.062,0.0627,10450282.0,1670111999999,658489.97350000,3286,5768971.00000000,363980.22760000,0
2022-12-04,0.0628,0.0659,0.0623,0.0633,16658955.0,1670198399999,1057020.47780000,6159,7443702.00000000,473369.81600000,0
2022-12-05,0.0632,0.075,0.0631,0.0682,170060261.0,1670284799999,11692993.56910000,49484,86634905.00000000,5970436.38310000,0
2022-12-06,0.0683,0.0793,0.0673,0.0699,111062825.0,1670371199999,8092895.77240000,47200,54661921.00000000,3991326.08510000,0
2022-12-07,0.07,0.084,0.065,0.0826,134086727.0,1670457599999,10085308.75030000,57828,69949917.00000000,5276546.25460000,0
2022-12-08,0.0826,0.0993,0.0739,0.0887,282310446.0,1670543999999,24767082.48950000,122658,142205690.00000000,12511026.07620000,0
2022-12-09,0.0889,0.1313,0.0887,0.1202,518207141.0,1670630399999,57725035.04360000,263571,269439056.00000000,30034853.64300000,0
2022-12-10,0.1202,0.128,0.0927,0.0931,183841142.0,1670716799999,19846757.65820000,102919,84996816.00000000,9223443.95510000,0
2022-12-11,0.093,0.1139,0.0923,0.104,144969471.0,1670803199999,15097835.10650000,82146,72668481.00000000,7574670.53740000,0
2022-12-12,0.104,0.1096,0.0939,0.0952,82528512.0,1670889599999,8387659.38350000,50781,39301321.00000000,4004515.53260000,0
2022-12-13,0.0953,0.0988,0.0885,0.0911,55059843.0,1670975999999,5080797.84870000,27721,25776501.00000000,2381741.88030000,0
2022-12-14,0.091,0.1138,0.0904,0.0997,141255542.0,1671062399999,14723429.56630000,81473,71069705.00000000,7416088.26370000,0
2022-12-15,0.0996,0.1056,0.0956,0.1028,70075823.0,1671148799999,7004159.71240000,38659,32708437.00000000,3272895.67760000,0
2022-12-16,0.1028,0.1071,0.0896,0.0908,84247974.0,1671235199999,8366765.34570000,45566,39448684.00000000,3926097.72500000,0
