timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.424,0.54,0.4,0.46,6323670.18,1668470399999,2914947.25110000,24608,3038944.60000000,1408509.04722000,0
2022-11-15,0.46,0.482,0.442,0.454,2898771.84,1668556799999,1340673.72865000,10362,1288199.22000000,597250.66374000,0
2022-11-16,0.455,0.471,0.428,0.442,1987872.87,1668643199999,883300.61410000,7504,869674.82000000,387584.98079000,0
2022-11-17,0.443,0.478,0.434,0.457,2170287.03,1668729599999,985042.77703000,8694,1065673.14000000,483755.68925000,0
2022-11-18,0.457,0.492,0.455,0.475,1938338.94,1668815999999,909370.80060000,7671,926874.40000000,435941.32589000,0
2022-11-19,0.475,0.477,0.457,0.46,852741.92,1668902399999,395999.75692000,4105,467566.17000000,217511.94766000,0
2022-11-20,0.459,0.488,0.433,0.436,2077753.44,1668988799999,953393.40328000,8748,1069681.94000000,492059.86970000,0
2022-11-21,0.437,0.476,0.418,0.434,2065123.43,1669075199999,916070.30863000,8282,920671.61000000,410063.48831000,0
2022-11-22,0.435,0.449,0.418,0.443,1060665.67,1669161599999,460163.79320000,4848,500149.12000000,217653.71073000,0
2022-11-23,0.443,0.47,0.435,0.459,1560192.13,1669247999999,706553.25485000,6077,813022.76000000,368949.56032000,0
2022-11-24,0.458,0.459,0.443,0.453,920288.79,1669334399999,417381.38633000,3491,476493.31000000,216483.95509000,0
2022-11-25,0.453,0.454,0.438,0.444,542616.49,1669420799999,240808.90264000,2787,258159.97000000,114660.34476000,0
2022-11-26,0.445,0.462,0.442,0.451,867704.67,1669507199999,391704.17939000,4753,437792.79000000,198016.66521000,0
2022-11-27,0.452,0.787,0.451,0.52,32133023.35,1669593599999,19838360.55079000,125866,16133479.25000000,9958241.80601000,0
2022-11-28,0.519,0.58,0.5,0.513,11826072.35,1669679999999,6351191.78184000,46645,6016076.91000000,3242130.86968000,0
2022-11-29,0.513,0.546,0.51,0.524,2432121.81,1669766399999,1279902.92542000,11084,1164921.31000000,613140.01155000,0
2022-11-30,0.524,0.57,0.518,0.556,2182539.24,1669852799999,1181313.17957000,10232,1131192.98000000,612611.12912000,0
2022-12-01,0.556,0.599,0.535,0.557,3611491.59,1669939199999,2038172.34997000,16466,1663559.82000000,940296.34175000,0
2022-12-02,0.557,0.562,0.533,0.544,2439593.87,1670025599999,1330266.71117000,8959,1214911.19000000,663042.06928000,0
2022-12-03,0.543,0.547,0.527,0.533,892274.61,1670111999999,478984.63995000,4341,452622.66000000,243232.92268000,0
2022-12-04,0.532,0.605,0.529,0.558,4288760.31,1670198399999,2431831.99233000,17118,2148010.90000000,1218973.70220000,0
2022-12-05,0.559,0.566,0.533,0.538,1292180.5,1670284799999,709141.63718000,5272,559483.67000000,306891.08978000,0
2022-12-06,0.538,0.545,0.523,0.534,997757.72,1670371199999,530598.19853000,4135,489332.79000000,260453.23345000,0
2022-12-07,0.533,0.535,0.504,0.52,1015129.06,1670457599999,521614.13977000,4790,448681.30000000,230900.81989000,0
2022-12-08,0.519,0.542,0.508,0.529,1118080.37,1670543999999,585439.20567000,5302,508899.75000000,266891.95345000,0
2022-12-09,0.53,0.533,0.511,0.514,936535.75,1670630399999,490393.99728000,3943,435706.50000000,228555.10475000,0
2022-12-10,0.513,0.521,0.505,0.51,1213906.49,1670716799999,621910.64898000,5271,574279.77000000,294544.81976000,0
2022-12-11,0.51,0.535,0.509,0.513,1022097.48,1670803199999,529904.20668000,4937,542181.83000000,281554.18106000,0
2022-12-12,0.514,0.514,0.48,0.493,1521552.45,1670889599999,747555.87525000,5810,684037.75000000,336063.48792000,0
2022-12-13,0.494,0.525,0.47,0.502,2463781.28,1670975999999,1225743.29552000,7723,1122518.74000000,559697.62474000,0
2022-12-14,0.502,0.509,0.49,0.496,1314520.9,1671062399999,654434.59948000,5027,617070.71000000,307684.72143000,0
2022-12-15,0.495,0.495,0.471,0.473,677801.09,1671148799999,326614.20720000,2436,281598.55000000,135732.33506000,0
2022-12-16,0.473,0.493,0.43,0.436,1105195.38,1671235199999,513490.83398000,4202,481874.60000000,225169.83567000,0
2022-12-17,0.436,0.513,0.422,0.47,6589539.43,1671321599999,3168790.85766000,21513,3280552.13000000,1578724.59435000,0
2022-12-18,0.469,0.478,0.441,0.455,1310126.36,1671407999999,602415.73669000,4632,557700.81000000,256871.27522000,0
2022-12-19,0.456,0.46,0.422,0.432,934642.21,1671494399999,412791.75582000,3765,444845.27000000,197336.93898000,0
2022-12-20,0.433,0.461,0.431,0.452,1241628.44,1671580799999,556418.98202000,3996,576646.37000000,258828.10288000,0
2022-12-21,0.451,0.456,0.435,0.443,505175.1,1671667199999,223943.08807000,2263,243443.37000000,108110.44552000,0
2022-12-22,0.444,0.454,0.438,0.447,745982.6,1671753599999,332708.56443000,3125,351297.24000000,157041.61418000,0
2022-12-23,0.448,0.476,0.445,0.456,1623790.61,1671839999999,745009.23903000,6511,850426.55000000,390493.06818000,0
2022-12-24,0.456,0.467,0.454,0.457,594218.7,1671926399999,272674.65642000,2522,272674.55000000,125401.14700000,0
2022-12-25,0.457,0.481,0.455,0.463,1278133.51,1672012799999,594371.09468000,5813,581671.46000000,271037.27234000,0
2022-12-26,0.463,0.473,0.457,0.464,643445.27,1672099199999,298663.27221000,2698,288189.69000000,134054.84762000,0
2022-12-27,0.463,0.475,0.459,0.461,932332.43,1672185599999,434516.84619000,3503,446852.78000000,208670.27528000,0
2022-12-28,0.46,0.463,0.437,0.444,788383.19,1672271999999,354215.12190000,3819,343095.99000000,154219.25847000,0
2022-12-29,0.445,0.506,0.442,0.468,3030690.16,1672358399999,1436771.40915000,14137,1612870.92000000,765745.73357000,0
2022-12-30,0.467,0.497,0.457,0.466,1758914.28,1672444799999,829013.01516000,8946,812554.70000000,383879.80252000,0
2022-12-31,0.467,0.471,0.462,0.464,421733.58,1672531199999,196517.35698000,1960,205519.87000000,95863.61344000,0
2023-01-01,0.464,0.523,0.462,0.496,3463229.42,1672617599999,1716532.31090000,13152,1791233.42000000,888005.93742000,0
2023-01-02,0.496,0.518,0.493,0.506,1914343.68,1672703999999,962922.49415000,7722,905874.13000000,455917.25420000,0
2023-01-03,0.505,0.509,0.484,0.495,949343.91,1672790399999,471954.28100000,3418,452089.28000000,225076.40143000,0
2023-01-04,0.495,0.525,0.494,0.51,1578202.75,1672876799999,801859.42347000,5630,857439.32000000,436568.42732000,0
2023-01-05,0.511,0.523,0.501,0.508,1020914.46,1672963199999,520681.53467000,4269,462830.21000000,236226.35683000,0
2023-01-06,0.508,0.513,0.486,0.509,1473061.82,1673049599999,733255.80230000,4700,698504.34000000,347959.90986000,0
2023-01-07,0.51,0.511,0.49,0.497,981351.42,1673135999999,490019.15189000,3657,412978.22000000,206442.71308000,0
2023-01-08,0.497,0.51,0.491,0.509,704133.03,1673222399999,353184.16601000,2858,351206.27000000,176271.63348000,0
2023-01-09,0.509,0.549,0.508,0.525,2293989.06,1673308799999,1213870.19307000,10927,1065242.58000000,564034.25404000,0
2023-01-10,0.525,0.545,0.514,0.537,1657335.12,1673395199999,876341.58366000,8259,773332.70000000,409486.34947000,0
2023-01-11,0.537,0.547,0.509,0.534,1744993.55,1673481599999,916150.86202000,8195,818668.25000000,430514.67418000,0
2023-01-12,0.534,0.547,0.52,0.539,2040531.05,1673567999999,1088075.38985000,8561,956994.35000000,511059.18675000,0
2023-01-13,0.54,0.597,0.533,0.575,4284906.3,1673654399999,2439790.05319000,14828,2194179.06000000,1250261.40917000,0
2023-01-14,0.575,0.613,0.545,0.586,5443044.83,1673740799999,3178326.74375000,20033,2909256.18000000,1702542.39590000,0
2023-01-15,0.585,0.599,0.56,0.59,2134232.54,1673827199999,1240898.58578000,9025,1009348.18000000,588441.30093000,0
2023-01-16,0.589,0.699,0.583,0.649,8150179.31,1673913599999,5328494.05111000,32763,4068908.38000000,2660720.73265000,0
2023-01-17,0.648,0.66,0.618,0.629,3144834.75,1673999999999,2002537.37956000,11291,1692167.84000000,1076621.79785000,0
2023-01-18,0.628,0.655,0.553,0.577,4469852.66,1674086399999,2714445.81296000,19748,2070312.66000000,1257051.63138000,0
2023-01-19,0.575,0.68,0.574,0.654,4609653.88,1674172799999,2918432.82091000,18754,2322654.64000000,1474574.96139000,0
2023-01-20,0.656,0.685,0.626,0.677,3297848.53,1674259199999,2149168.26774000,14169,1614413.75000000,1053894.54424000,0
