timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.1805,0.1859,0.1688,0.1816,91236336.0,1668470399999,16186709.75290000,92724,44917565.00000000,7968801.36080000,0
2022-11-15,0.1816,0.1951,0.1796,0.1878,101398473.0,1668556799999,19121861.52040000,92357,47778207.00000000,9014958.90370000,0
2022-11-16,0.1878,0.2005,0.1788,0.1817,108164902.0,1668643199999,20555010.39530000,87078,55845737.00000000,10626973.66560000,0
2022-11-17,0.1817,0.1839,0.1753,0.1779,52795101.0,1668729599999,9487593.08320000,46416,23321712.00000000,4192506.30170000,0
2022-11-18,0.1779,0.1828,0.1764,0.181,42688948.0,1668815999999,7675698.85380000,36339,20794823.00000000,3740666.57220000,0
2022-11-19,0.1809,0.1844,0.176,0.1839,32036304.0,1668902399999,5788840.42550000,26900,16438568.00000000,2971983.44630000,0
2022-11-20,0.184,0.1879,0.1701,0.1717,46929490.0,1668988799999,8420251.28330000,40401,20374472.00000000,3654600.42300000,0
2022-11-21,0.1717,0.175,0.1645,0.1691,63798846.0,1669075199999,10840737.02600000,59473,30853168.00000000,5242003.22190000,0
2022-11-22,0.1692,0.1776,0.1642,0.1771,50698612.0,1669161599999,8667556.40150000,41779,24480244.00000000,4188124.29140000,0
2022-11-23,0.1772,0.1852,0.1761,0.1844,57371657.0,1669247999999,10386490.59530000,44526,26439350.00000000,4790014.88640000,0
2022-11-24,0.1845,0.1898,0.1811,0.1844,50558274.0,1669334399999,9350870.15670000,39379,24456722.00000000,4523984.78320000,0
2022-11-25,0.1843,0.1866,0.1778,0.186,51439533.0,1669420799999,9348112.90730000,36076,23532211.00000000,4280482.62980000,0
2022-11-26,0.186,0.1955,0.1835,0.1856,47465686.0,1669507199999,9029174.55530000,40252,22920638.00000000,4364276.44130000,0
2022-11-27,0.1856,0.1945,0.1839,0.1857,47812489.0,1669593599999,9064289.39630000,33630,22274556.00000000,4225709.53220000,0
2022-11-28,0.1857,0.208,0.1772,0.2047,164769166.0,1669679999999,32153635.88440000,120305,80649424.00000000,15749932.42580000,0
2022-11-29,0.2048,0.2226,0.1998,0.2176,169914134.0,1669766399999,36246363.26980000,128198,85960993.00000000,18335560.18220000,0
2022-11-30,0.2174,0.255,0.2174,0.2443,272093255.0,1669852799999,64993110.99410000,191813,129068047.00000000,30835607.76470000,0
2022-12-01,0.2443,0.2614,0.2325,0.2547,205759778.0,1669939199999,51027295.73270000,161023,95005340.00000000,23521843.53600000,0
2022-12-02,0.2546,0.2553,0.2393,0.2455,122734898.0,1670025599999,30203386.38720000,88079,59300973.00000000,14598081.27450000,0
2022-12-03,0.2456,0.258,0.2364,0.2368,117578334.0,1670111999999,29110062.28020000,79802,57851783.00000000,14344554.22530000,0
2022-12-04,0.2367,0.2446,0.2353,0.2416,71251360.0,1670198399999,17136621.17150000,51596,33854686.00000000,8144724.68990000,0
2022-12-05,0.2417,0.2596,0.2404,0.2519,156286782.0,1670284799999,39199045.85570000,104681,77727484.00000000,19505658.73940000,0
