timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.1517,0.1525,0.1394,0.151,4045511.0,1668470399999,590989.28630000,6275,2237958.00000000,326557.88620000,0
2022-11-15,0.1508,0.158,0.1499,0.1514,3183856.0,1668556799999,490878.99990000,5318,1323691.00000000,203944.84130000,0
2022-11-16,0.1514,0.1529,0.1482,0.1527,1267126.0,1668643199999,190974.79030000,2888,615138.00000000,92809.58190000,0
2022-11-17,0.1527,0.1546,0.1497,0.1534,1745874.0,1668729599999,265741.22930000,2899,807025.00000000,122966.61080000,0
2022-11-18,0.1534,0.155,0.1504,0.1509,982136.0,1668815999999,150235.46450000,1963,351172.00000000,53813.10490000,0
2022-11-19,0.1507,0.1514,0.1484,0.1496,787005.0,1668902399999,118076.86720000,1719,347055.00000000,52105.67300000,0
2022-11-20,0.1496,0.1589,0.1482,0.1489,4029122.0,1668988799999,620609.41360000,6898,1947559.00000000,300483.45820000,0
2022-11-21,0.1489,0.1552,0.1451,0.1502,4017330.0,1669075199999,602593.11070000,6609,2025520.00000000,304726.30500000,0
2022-11-22,0.1502,0.1645,0.1501,0.161,5643078.0,1669161599999,889579.39160000,9624,2778446.00000000,438627.42300000,0
2022-11-23,0.161,0.1645,0.1587,0.1643,3557519.0,1669247999999,573965.54690000,6707,1512699.00000000,244277.95400000,0
2022-11-24,0.1644,0.1685,0.16,0.1611,2100382.0,1669334399999,342650.68130000,4551,990945.00000000,162014.07120000,0
2022-11-25,0.1612,0.1613,0.1563,0.1594,1466197.0,1669420799999,232502.57890000,2616,730317.00000000,115846.83840000,0
2022-11-26,0.1592,0.1633,0.1568,0.1598,1973595.0,1669507199999,315412.38450000,3720,1040740.00000000,166515.61540000,0
2022-11-27,0.1599,0.1695,0.1596,0.1615,4177254.0,1669593599999,689270.70100000,6363,1779491.00000000,294206.55410000,0
2022-11-28,0.1614,0.1831,0.1543,0.1608,8722424.0,1669679999999,1448916.96940000,10846,4148301.00000000,693656.00150000,0
2022-11-29,0.1607,0.1654,0.1598,0.1637,1488431.0,1669766399999,243134.44160000,3678,664339.00000000,108655.28800000,0
2022-11-30,0.1638,0.1754,0.1627,0.1723,4350176.0,1669852799999,737153.01340000,6081,2254578.00000000,381836.49030000,0
2022-12-01,0.1723,0.1749,0.1692,0.171,2164270.0,1669939199999,371645.79590000,4009,818053.00000000,140600.02190000,0
2022-12-02,0.1708,0.1721,0.1615,0.168,2973486.0,1670025599999,493415.92040000,4179,1520642.00000000,251895.20900000,0
2022-12-03,0.1679,0.174,0.1653,0.168,2997171.0,1670111999999,507269.02620000,5292,1496491.00000000,253725.02020000,0
2022-12-04,0.168,0.1789,0.1679,0.1707,4295758.0,1670198399999,739032.41890000,6225,2103728.00000000,363675.72870000,0
2022-12-05,0.1707,0.1732,0.1649,0.1664,1813459.0,1670284799999,308383.26810000,3095,733607.00000000,124799.73210000,0
2022-12-06,0.1665,0.1696,0.1629,0.1647,1620436.0,1670371199999,267743.23280000,2564,881286.00000000,145542.77680000,0
2022-12-07,0.1646,0.1674,0.158,0.1595,1988306.0,1670457599999,322356.50280000,3023,901306.00000000,146662.07050000,0
2022-12-08,0.1592,0.1644,0.1579,0.1627,1022356.0,1670543999999,164366.90460000,1934,447535.00000000,71982.99510000,0
2022-12-09,0.1628,0.1712,0.1622,0.1667,3373970.0,1670630399999,564820.09990000,5703,1732551.00000000,290224.28740000,0
2022-12-10,0.1668,0.1875,0.164,0.1651,8804178.0,1670716799999,1509610.27060000,9995,4490677.00000000,776406.90860000,0
2022-12-11,0.1651,0.1676,0.1621,0.1626,1181191.0,1670803199999,194959.14690000,1756,473743.00000000,78394.53640000,0
2022-12-12,0.1627,0.163,0.159,0.1616,1234935.0,1670889599999,198478.39840000,2516,565403.00000000,91035.31420000,0
2022-12-13,0.1617,0.1617,0.1486,0.159,2448855.0,1670975999999,382562.05250000,4281,1022492.00000000,160387.87180000,0
2022-12-14,0.159,0.1622,0.1568,0.1583,1183817.0,1671062399999,189114.71850000,2582,496873.00000000,79402.98260000,0
2022-12-15,0.1583,0.1584,0.1536,0.1545,830114.0,1671148799999,129357.70310000,1515,387003.00000000,60406.19260000,0
2022-12-16,0.1544,0.1563,0.1413,0.1418,1388157.0,1671235199999,207799.90610000,2766,666106.00000000,99918.76740000,0
2022-12-17,0.1418,0.145,0.1381,0.1449,1233026.0,1671321599999,175431.46610000,2678,546556.00000000,77868.54580000,0
2022-12-18,0.1449,0.1465,0.1434,0.1449,745607.0,1671407999999,108082.14520000,1936,305383.00000000,44348.39110000,0
2022-12-19,0.1448,0.1458,0.1362,0.1372,868969.0,1671494399999,123019.96500000,2036,411463.00000000,58244.83060000,0
2022-12-20,0.1372,0.1578,0.1368,0.1434,10931988.0,1671580799999,1633156.25030000,11953,5692481.00000000,851853.97780000,0
2022-12-21,0.1437,0.1439,0.1392,0.1413,1268925.0,1671667199999,180410.73310000,1999,411919.00000000,58722.65680000,0
2022-12-22,0.1415,0.1421,0.1374,0.1402,1034164.0,1671753599999,144229.48620000,1548,390281.00000000,54373.03830000,0
2022-12-23,0.1405,0.1413,0.1398,0.1412,553480.0,1671839999999,77811.42870000,1018,216864.00000000,30495.35480000,0
2022-12-24,0.1414,0.1517,0.1413,0.1458,6821948.0,1671926399999,1000178.09280000,8657,3788911.00000000,556575.26760000,0
2022-12-25,0.1459,0.1517,0.1435,0.1446,3456721.0,1672012799999,510886.37160000,5497,1598902.00000000,237300.30100000,0
2022-12-26,0.1446,0.149,0.144,0.1476,1794379.0,1672099199999,262869.66360000,3130,998428.00000000,146540.14850000,0
2022-12-27,0.1476,0.1486,0.1417,0.1431,1442391.0,1672185599999,209127.43480000,2526,545063.00000000,79386.48290000,0
2022-12-28,0.143,0.1435,0.1401,0.1408,1187817.0,1672271999999,168323.44980000,2172,535469.00000000,75967.08220000,0
2022-12-29,0.1408,0.1466,0.1391,0.1417,5879614.0,1672358399999,840501.02340000,6319,3881827.00000000,555669.28460000,0
2022-12-30,0.1417,0.1419,0.1382,0.1394,636606.0,1672444799999,89324.23000000,1137,180687.00000000,25301.19750000,0
