timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,3.942,4.095,3.664,3.935,2735573.24,1668470399999,10656559.38571000,59215,1316118.90000000,5126752.37186000,0
2022-11-15,3.935,4.124,3.887,3.977,1823827.96,1668556799999,7303395.15721000,48085,942918.94000000,3778253.93256000,0
2022-11-16,3.978,4.036,3.812,3.875,1173365.36,1668643199999,4612193.65587000,34252,568650.93000000,2235754.09005000,0
2022-11-17,3.874,3.935,3.732,3.757,1385845.48,1668729599999,5295914.14985000,32130,611861.00000000,2341689.48414000,0
2022-11-18,3.757,3.88,3.738,3.835,1151604.15,1668815999999,4403410.71348000,26183,596566.52000000,2280694.14007000,0
2022-11-19,3.834,4.021,3.76,3.965,1387911.78,1668902399999,5357112.87839000,39967,690300.17000000,2664821.36249000,0
2022-11-20,3.965,4.066,3.585,3.606,2634224.47,1668988799999,10113886.66815000,64657,1122160.29000000,4322689.15617000,0
2022-11-21,3.606,3.729,3.51,3.627,2151899.34,1669075199999,7790539.91539000,60809,1045055.64000000,3784891.04100000,0
2022-11-22,3.624,3.748,3.513,3.722,1828469.14,1669161599999,6674956.55648000,47964,871700.32000000,3180168.39372000,0
2022-11-23,3.723,3.954,3.704,3.92,1333084.21,1669247999999,5104749.57205000,42841,680545.52000000,2603232.48133000,0
2022-11-24,3.919,3.986,3.821,3.882,1016221.59,1669334399999,3948010.64708000,33905,501518.37000000,1948317.49474000,0
2022-11-25,3.881,3.925,3.77,3.922,829752.53,1669420799999,3188629.85619000,28409,398375.37000000,1531115.92898000,0
2022-11-26,3.923,4.05,3.872,3.891,1576528.99,1669507199999,6242196.18538000,50412,797265.62000000,3158532.75498000,0
2022-11-27,3.89,4.124,3.885,3.898,1260137.76,1669593599999,5031632.48203000,47626,623708.83000000,2491188.57961000,0
2022-11-28,3.898,3.97,3.756,3.851,1510952.92,1669679999999,5842682.95872000,53521,778567.35000000,3011500.65829000,0
2022-11-29,3.851,3.978,3.812,3.965,1302967.04,1669766399999,5106749.17443000,40721,648940.50000000,2543513.39405000,0
2022-11-30,3.965,4.16,3.959,4.1,1598261.13,1669852799999,6482837.77989000,55427,827301.82000000,3356097.01418000,0
2022-12-01,4.1,4.265,4.014,4.119,1666255.77,1669939199999,6870855.26313000,63720,826334.12000000,3409802.85168000,0
2022-12-02,4.118,4.357,4.003,4.282,2307871.73,1670025599999,9699279.52543000,66048,1206120.63000000,5079843.15906000,0
2022-12-03,4.283,4.36,4.118,4.138,2463719.83,1670111999999,10500459.33700000,54333,1207650.57000000,5153251.02490000,0
2022-12-04,4.139,4.382,4.132,4.347,1796685.7,1670198399999,7656389.75915000,55669,905109.42000000,3859576.74336000,0
2022-12-05,4.346,4.615,4.333,4.43,2244937.0,1670284799999,10024386.66556000,74037,1166918.67000000,5214499.34159000,0
2022-12-06,4.429,4.489,4.32,4.38,926331.19,1670371199999,4073761.50350000,32309,459181.85000000,2019454.66857000,0
2022-12-07,4.381,4.439,4.125,4.177,1369706.88,1670457599999,5837011.72496000,46128,654755.15000000,2787680.67772000,0
2022-12-08,4.178,4.337,4.06,4.279,1031989.67,1670543999999,4350966.45402000,38787,524165.72000000,2212949.09010000,0
2022-12-09,4.279,4.484,4.249,4.372,1814937.12,1670630399999,7958472.66817000,58142,890566.24000000,3906448.42557000,0
2022-12-10,4.372,4.432,4.303,4.404,631517.35,1670716799999,2759927.45387000,28263,314948.83000000,1376896.55882000,0
2022-12-11,4.405,4.465,4.203,4.221,740958.72,1670803199999,3240057.80431000,28872,313983.51000000,1374086.10184000,0
2022-12-12,4.22,4.233,4.072,4.175,1003346.7,1670889599999,4170537.20403000,36113,485906.22000000,2020269.04089000,0
2022-12-13,4.176,4.3,3.95,4.172,1521475.13,1670975999999,6285810.82274000,51068,710838.95000000,2942165.53814000,0
2022-12-14,4.171,4.215,3.974,3.993,1149983.78,1671062399999,4719571.87719000,33784,562867.00000000,2310883.10704000,0
2022-12-15,3.994,4.045,3.857,3.927,860567.51,1671148799999,3413679.45021000,25551,400034.01000000,1588174.52689000,0
2022-12-16,3.928,3.984,3.5,3.559,1573544.6,1671235199999,5901142.24399000,40554,656235.27000000,2467028.19588000,0
2022-12-17,3.559,3.75,3.42,3.688,2598914.79,1671321599999,9374928.08818000,51856,1118045.48000000,4024608.22111000,0
2022-12-18,3.688,3.742,3.605,3.68,533311.32,1671407999999,1964161.62624000,15923,232233.47000000,854949.03370000,0
2022-12-19,3.684,3.743,3.357,3.497,1140137.87,1671494399999,4094369.70305000,32916,510538.06000000,1834164.16009000,0
2022-12-20,3.496,3.751,3.453,3.714,1045049.07,1671580799999,3812779.10215000,27035,542843.84000000,1979440.65201000,0
2022-12-21,3.714,3.745,3.583,3.72,733304.86,1671667199999,2685241.71240000,21181,371144.03000000,1359283.42561000,0
