timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,1.81,1.831,1.62,1.759,4496787.6,1668470399999,7729054.82680000,36408,2275186.70000000,3919253.47810000,0
2022-11-15,1.758,1.937,1.714,1.795,2898359.5,1668556799999,5205103.70400000,23346,1312187.80000000,2355315.44590000,0
2022-11-16,1.796,1.886,1.707,1.748,2845302.0,1668643199999,5049853.18760000,23224,1227496.20000000,2182626.60070000,0
2022-11-17,1.745,1.762,1.683,1.714,1516092.3,1668729599999,2608374.06100000,11845,746220.40000000,1285151.05450000,0
2022-11-18,1.715,1.759,1.692,1.737,2410553.7,1668815999999,4176582.43170000,18094,1210909.60000000,2099285.40060000,0
2022-11-19,1.74,1.742,1.663,1.708,1077002.2,1668902399999,1827314.31770000,8585,528077.10000000,895884.63580000,0
2022-11-20,1.708,1.745,1.567,1.572,1294720.6,1668988799999,2173725.48900000,12484,563345.00000000,947063.51420000,0
2022-11-21,1.572,1.619,1.493,1.568,1997169.3,1669075199999,3136330.41280000,16282,948457.30000000,1491768.62680000,0
2022-11-22,1.567,1.601,1.46,1.601,2521767.7,1669161599999,3855210.98030000,15621,1232985.50000000,1883124.31040000,0
2022-11-23,1.6,1.86,1.593,1.7,5509199.6,1669247999999,9514391.05290000,43457,2728984.70000000,4713480.08290000,0
2022-11-24,1.7,1.735,1.617,1.665,2188291.1,1669334399999,3653410.62540000,14630,1072568.10000000,1793985.55050000,0
2022-11-25,1.667,1.668,1.545,1.609,1459966.0,1669420799999,2330520.11500000,11124,689024.50000000,1099764.34150000,0
2022-11-26,1.611,1.655,1.589,1.605,1031692.9,1669507199999,1677829.41490000,8831,502002.30000000,816994.78310000,0
2022-11-27,1.605,1.638,1.559,1.579,2360572.9,1669593599999,3764496.82120000,13564,889204.10000000,1418534.19990000,0
2022-11-28,1.579,1.589,1.484,1.535,1442959.4,1669679999999,2201784.72670000,11886,718112.90000000,1095986.41480000,0
2022-11-29,1.535,1.707,1.509,1.601,4785848.3,1669766399999,7833502.26020000,34623,2348541.70000000,3848231.58480000,0
2022-11-30,1.602,1.82,1.601,1.761,8278251.9,1669852799999,14347410.25690000,56335,4054859.30000000,7030170.27770000,0
2022-12-01,1.759,1.786,1.653,1.689,3659621.6,1669939199999,6248771.99030000,22598,1546107.60000000,2645022.76890000,0
2022-12-02,1.69,1.704,1.6,1.685,2275263.0,1670025599999,3771214.05630000,14836,1015125.20000000,1685861.49000000,0
2022-12-03,1.685,1.688,1.583,1.602,1289421.2,1670111999999,2114613.75210000,8720,593362.90000000,973903.71930000,0
2022-12-04,1.603,1.72,1.6,1.631,2258534.2,1670198399999,3690349.16190000,14379,1101162.80000000,1802912.45110000,0
2022-12-05,1.631,1.687,1.602,1.643,2236333.4,1670284799999,3693925.39130000,12460,1098944.40000000,1815366.16330000,0
2022-12-06,1.643,1.676,1.615,1.653,1287713.5,1670371199999,2117866.04290000,9313,647360.30000000,1065399.61880000,0
2022-12-07,1.654,1.662,1.566,1.588,1407510.1,1670457599999,2261238.11050000,8790,642824.50000000,1033664.57000000,0
2022-12-08,1.589,1.644,1.556,1.629,1071155.6,1670543999999,1717071.96820000,7682,491524.70000000,787302.52850000,0
2022-12-09,1.63,1.662,1.621,1.642,1290662.0,1670630399999,2117507.85240000,8207,661631.00000000,1087148.10390000,0
2022-12-10,1.643,1.681,1.634,1.665,1049407.6,1670716799999,1743930.75110000,6328,457122.20000000,759776.82230000,0
2022-12-11,1.666,1.691,1.619,1.62,835363.4,1670803199999,1390829.90780000,5561,365534.90000000,609143.21090000,0
2022-12-12,1.62,1.691,1.569,1.661,1936311.0,1670889599999,3156357.95730000,12667,1033193.30000000,1685835.61710000,0
2022-12-13,1.662,1.703,1.585,1.641,2691543.4,1670975999999,4407466.69820000,16684,1174567.10000000,1928772.05810000,0
2022-12-14,1.641,1.685,1.591,1.615,1309201.9,1671062399999,2141988.79220000,9568,639282.00000000,1046295.04350000,0
2022-12-15,1.615,1.636,1.567,1.573,1160575.4,1671148799999,1865704.43930000,7472,537411.40000000,865216.52190000,0
2022-12-16,1.575,1.605,1.382,1.408,1712317.4,1671235199999,2580518.91250000,13975,772330.70000000,1165665.65090000,0
2022-12-17,1.408,1.456,1.38,1.439,2336393.9,1671321599999,3314248.33220000,12789,1237645.40000000,1757442.11300000,0
2022-12-18,1.439,1.446,1.391,1.409,921787.2,1671407999999,1306225.81020000,6957,445135.20000000,631533.29940000,0
2022-12-19,1.41,1.434,1.289,1.304,1450261.1,1671494399999,1984043.30290000,7956,600349.80000000,819795.94040000,0
2022-12-20,1.305,1.399,1.304,1.37,915283.9,1671580799999,1252777.71970000,7508,458974.60000000,627482.63370000,0
2022-12-21,1.37,1.384,1.311,1.327,847760.4,1671667199999,1133483.97590000,6185,416372.50000000,556565.83710000,0
2022-12-22,1.328,1.346,1.289,1.331,719307.0,1671753599999,949707.04690000,4944,318424.50000000,419810.97450000,0
2022-12-23,1.331,1.348,1.311,1.318,483807.9,1671839999999,640914.99750000,3460,234566.60000000,310800.82140000,0
2022-12-24,1.318,1.338,1.315,1.316,314987.0,1671926399999,417548.86410000,2052,132712.70000000,175972.55130000,0
2022-12-25,1.317,1.322,1.292,1.311,311200.1,1672012799999,406286.53800000,1952,123400.20000000,161228.95170000,0
2022-12-26,1.311,1.328,1.294,1.315,419160.2,1672099199999,547455.04210000,2631,222246.90000000,290030.61500000,0
2022-12-27,1.316,1.325,1.256,1.272,1027639.7,1672185599999,1317804.55500000,5116,523811.50000000,670263.07460000,0
2022-12-28,1.272,1.278,1.223,1.254,1161395.6,1672271999999,1457134.94420000,5974,546059.00000000,684867.68540000,0
2022-12-29,1.255,1.299,1.24,1.288,974325.7,1672358399999,1243714.83910000,6156,530518.50000000,677751.53250000,0
2022-12-30,1.288,1.292,1.25,1.277,682455.4,1672444799999,867497.24510000,4554,303822.80000000,386681.19930000,0
2022-12-31,1.278,1.288,1.267,1.275,336818.3,1672531199999,430130.04300000,2162,167201.30000000,213588.65720000,0
2023-01-01,1.275,1.275,1.253,1.274,389543.0,1672617599999,491903.68250000,2055,206964.60000000,261628.29360000,0
2023-01-02,1.275,1.308,1.25,1.299,814287.9,1672703999999,1046500.85200000,4262,359880.80000000,462464.46910000,0
2023-01-03,1.3,1.32,1.282,1.305,814003.5,1672790399999,1058053.36830000,4290,329577.30000000,428768.31030000,0
2023-01-04,1.305,1.37,1.305,1.356,1145413.2,1672876799999,1541866.25260000,7757,556920.40000000,749999.47730000,0
2023-01-05,1.357,1.382,1.342,1.357,955090.5,1672963199999,1300989.89040000,6458,446031.60000000,607935.81920000,0
2023-01-06,1.356,1.373,1.311,1.372,829013.9,1673049599999,1111350.91930000,5477,334101.00000000,447946.80140000,0
2023-01-07,1.372,1.396,1.362,1.372,452787.3,1673135999999,621495.35070000,3592,231013.70000000,317036.38560000,0
2023-01-08,1.373,1.422,1.361,1.415,935989.6,1673222399999,1296693.86290000,6120,395870.20000000,548521.25570000,0
2023-01-09,1.415,1.48,1.411,1.421,2347142.7,1673308799999,3404137.60140000,13133,1065637.50000000,1546944.81870000,0
2023-01-10,1.42,1.458,1.4,1.442,1375399.5,1673395199999,1964653.90700000,9998,672470.50000000,960989.12010000,0
2023-01-11,1.442,1.454,1.378,1.451,1451864.0,1673481599999,2057568.60830000,9779,719243.00000000,1018955.29010000,0
2023-01-12,1.452,1.579,1.407,1.527,3507109.2,1673567999999,5219469.56940000,26458,1774701.90000000,2643673.02200000,0
2023-01-13,1.527,1.571,1.497,1.558,3188442.9,1673654399999,4876844.16000000,22011,1444360.90000000,2210203.28400000,0
2023-01-14,1.558,1.747,1.52,1.61,5693464.3,1673740799999,9240480.00440000,36776,2863184.50000000,4649053.89240000,0
2023-01-15,1.611,1.68,1.564,1.653,3369558.9,1673827199999,5456693.11330000,21186,1532948.90000000,2482023.86880000,0
2023-01-16,1.653,1.729,1.58,1.641,3976236.8,1673913599999,6567552.59240000,24375,2031513.00000000,3354850.14000000,0
2023-01-17,1.64,1.674,1.591,1.597,2010278.2,1673999999999,3292829.57400000,15565,921345.70000000,1510189.67090000,0
2023-01-18,1.598,1.683,1.467,1.48,5138602.9,1674086399999,8148990.58450000,35960,2452798.10000000,3895319.37970000,0
2023-01-19,1.479,1.58,1.459,1.535,3392043.0,1674172799999,5136528.68060000,20116,1780585.70000000,2699630.07000000,0
2023-01-20,1.537,1.648,1.513,1.641,2782909.4,1674259199999,4358843.97640000,18060,1342889.50000000,2103372.26610000,0
