timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-11,0.06,5.88,0.06,4.169,113784930.3,1718150399999,440644923.49059000,1633240,57393559.57000000,223000565.33105000,0
2024-06-12,4.169,6.5,3.529,5.682,135477514.89,1718236799999,686820363.00404000,2018088,69730578.30000000,354758743.59614000,0
2024-06-13,5.682,6.4,4.643,4.955,94052003.8,1718323199999,512436422.45378000,1346361,46423208.82000000,252971190.43242000,0
2024-06-14,4.952,5.457,4.444,5.128,59262125.78,1718409599999,299864751.37931000,878388,29282237.25000000,148294364.93680000,0
2024-06-15,5.128,5.573,4.909,5.268,34467720.63,1718495999999,181040412.80297000,506051,17183231.44000000,90345470.53222000,0
2024-06-16,5.268,5.841,5.21,5.33,32185201.73,1718582399999,176621747.41437000,467827,16283676.25000000,89408070.82463000,0
2024-06-17,5.33,5.395,4.182,4.258,41588408.1,1718668799999,193197231.13743000,584626,19277444.39000000,89193218.24542000,0
2024-06-18,4.257,4.295,3.59,3.813,37564356.19,1718755199999,145877650.31167000,470632,18391276.35000000,71407184.06584000,0
2024-06-19,3.813,4.116,3.694,3.84,27106247.21,1718841599999,105872809.26298000,307392,13227914.01000000,51691444.87979000,0
2024-06-20,3.84,4.356,3.788,3.989,31407887.79,1718927999999,128021897.90745000,345604,15525068.60000000,63318612.86364000,0
2024-06-21,3.989,4.154,3.6,3.705,19875217.59,1719014399999,75806080.48066000,244383,9575555.55000000,36568346.48345000,0
2024-06-22,3.706,3.856,3.558,3.714,9963938.55,1719100799999,37179683.31048000,129062,4659001.51000000,17395062.36882000,0
2024-06-23,3.714,3.804,3.3,3.388,12386159.13,1719187199999,44351954.85914000,153053,5552323.85000000,19913842.47327000,0
2024-06-24,3.388,3.411,3.07,3.319,16101894.88,1719273599999,52343392.72125000,196842,7856616.82000000,25565131.76572000,0
2024-06-25,3.32,3.734,3.259,3.564,15418299.35,1719359999999,52985575.36070000,188034,7801747.96000000,26857523.63457000,0
2024-06-26,3.564,3.679,3.428,3.503,12248217.17,1719446399999,43542383.57543000,146021,6016480.37000000,21407826.85730000,0
2024-06-27,3.502,3.715,3.382,3.636,12410254.33,1719532799999,44166018.40361000,153784,6144447.90000000,21897787.39939000,0
2024-06-28,3.636,3.845,3.211,3.219,12649754.77,1719619199999,43926488.96355000,173814,5743627.97000000,20025009.73550000,0
2024-06-29,3.218,3.359,3.134,3.149,6013197.68,1719705599999,19600682.29210000,81724,2978908.05000000,9714113.12734000,0
2024-06-30,3.148,3.421,3.1,3.355,7722831.95,1719791999999,25250361.17210000,115376,3859673.15000000,12632308.97106000,0
2024-07-01,3.355,3.39,2.941,3.046,14049066.81,1719878399999,43953851.36996000,176482,6534529.79000000,20440844.24136000,0
2024-07-02,3.045,3.072,2.908,2.945,9436181.8,1719964799999,28137279.95319000,128087,4367833.45000000,13035105.98750000,0
2024-07-03,2.946,3.015,2.621,2.698,12823186.5,1720051199999,35895530.89544000,152744,6048962.14000000,16916083.66877000,0
2024-07-04,2.699,2.706,2.233,2.286,14711461.07,1720137599999,36827557.60728000,157340,6426971.94000000,16136803.74776000,0
2024-07-05,2.285,2.3,1.95,2.069,25214225.57,1720223999999,53099949.67035000,226980,12152454.42000000,25604127.12386000,0
2024-07-06,2.068,2.577,1.976,2.516,27247407.57,1720310399999,60098388.67066000,235975,14376351.97000000,31720794.24334000,0
2024-07-07,2.515,2.516,2.102,2.118,22915803.73,1720396799999,52368509.10221000,197987,10579777.02000000,24163963.95883000,0
2024-07-08,2.118,2.299,1.991,2.125,30269757.48,1720483199999,64624841.97750000,221028,15101619.70000000,32304444.59965000,0
2024-07-09,2.123,2.43,2.102,2.306,25854972.42,1720569599999,58956814.69953000,221344,13316868.25000000,30348707.49208000,0
