timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.003717,0.00395,0.003521,0.003839,3213625034.8,1668470399999,12046213.14558530,64427,1542211558.00000000,5791205.45522510,0
2022-11-15,0.003839,0.004174,0.003817,0.003902,2749139767.0,1668556799999,10957155.57204670,65261,1282199638.90000000,5113420.81530210,0
2022-11-16,0.003902,0.004,0.003764,0.003932,1601783834.6,1668643199999,6229765.00076540,38307,784693798.70000000,3053498.49403610,0
2022-11-17,0.003932,0.004435,0.003893,0.004097,5460346295.5,1668729599999,22893674.11230510,129947,2708928618.90000000,11367042.73951220,0
2022-11-18,0.004097,0.004146,0.003941,0.004063,2343242120.9,1668815999999,9435442.87214670,52937,1104320966.20000000,4448766.36704890,0
2022-11-19,0.004062,0.004109,0.003925,0.004043,1579650282.9,1668902399999,6367536.98366660,39414,778933720.00000000,3141598.97895250,0
2022-11-20,0.004042,0.004135,0.003723,0.003795,2255087724.9,1668988799999,8933784.47461090,53135,1072316922.50000000,4249130.94832710,0
2022-11-21,0.003794,0.003936,0.00358,0.003708,2222903149.9,1669075199999,8326220.16048160,46841,1065929021.80000000,3993247.68908130,0
2022-11-22,0.003706,0.003849,0.003554,0.003802,2292373921.9,1669161599999,8465122.48512900,48075,1102989388.30000000,4071378.00488400,0
2022-11-23,0.003804,0.00397,0.003767,0.00393,2036879907.2,1669247999999,7931212.54961790,44751,979604819.90000000,3814983.43287950,0
2022-11-24,0.003931,0.004005,0.003822,0.003913,1827833199.5,1669334399999,7140720.67526040,36656,928133476.20000000,3627642.45319190,0
2022-11-25,0.003911,0.003924,0.003761,0.003825,1284475568.1,1669420799999,4911420.77818720,25702,591952801.10000000,2263402.36837810,0
2022-11-26,0.00383,0.003937,0.003754,0.003779,2258070410.1,1669507199999,8711666.20582420,37475,1037571666.50000000,4003898.42173440,0
2022-11-27,0.003779,0.003959,0.003779,0.003844,2034317178.7,1669593599999,7891240.01827670,38414,1021078809.90000000,3960545.02433020,0
2022-11-28,0.003844,0.004031,0.003602,0.003945,3416305979.4,1669679999999,12862519.36711060,76978,1768040887.80000000,6660497.96238530,0
2022-11-29,0.003946,0.004285,0.003883,0.003989,4710923922.1,1669766399999,19173228.79288040,96421,2235141968.40000000,9107652.14898390,0
2022-11-30,0.003989,0.00426,0.003963,0.004194,4468826310.7,1669852799999,18205970.06162220,78552,2155009650.80000000,8789474.73003210,0
2022-12-01,0.004194,0.004674,0.004039,0.00465,7084455146.2,1669939199999,30750294.47523520,141126,3538956697.00000000,15390444.76938410,0
2022-12-02,0.004651,0.004731,0.0042,0.004307,5702582866.6,1670025599999,25394249.47632880,107229,2562444417.60000000,11436037.47201900,0
2022-12-03,0.004307,0.004401,0.004055,0.004103,3306368224.5,1670111999999,14081549.38688290,55990,1489114448.40000000,6346550.25534690,0
2022-12-04,0.004104,0.004243,0.004084,0.004165,2411121691.5,1670198399999,10003574.66094150,36183,1121417711.40000000,4655848.28705950,0
2022-12-05,0.004164,0.004281,0.003957,0.004005,2260180130.0,1670284799999,9379156.33137380,39187,1024228442.60000000,4252035.09314110,0
2022-12-06,0.004005,0.00404,0.003919,0.004005,1538926334.7,1670371199999,6141142.31490300,26350,718102665.20000000,2866713.38819170,0
2022-12-07,0.004005,0.004031,0.003708,0.003781,2589999630.3,1670457599999,9913067.11428190,35110,1256380841.40000000,4809068.48581180,0
2022-12-08,0.003786,0.003855,0.003673,0.003846,1691157752.9,1670543999999,6410704.76991440,27196,821402152.30000000,3116517.28716740,0
2022-12-09,0.003847,0.003863,0.003738,0.003777,1855951434.5,1670630399999,7051968.02522320,24233,878470112.10000000,3338306.93352230,0
2022-12-10,0.003777,0.003849,0.003765,0.003824,1273165068.8,1670716799999,4863104.70474290,18949,624581543.70000000,2387011.02540680,0
2022-12-11,0.003825,0.003894,0.003719,0.003739,1146507479.2,1670803199999,4384527.25918020,19035,545964660.80000000,2088431.55349070,0
2022-12-12,0.003739,0.003755,0.00353,0.003689,1918008694.9,1670889599999,6981768.25482060,27267,967867897.20000000,3518886.59952510,0
2022-12-13,0.003689,0.003785,0.003523,0.003774,1629286318.1,1670975999999,5991084.23935860,29570,757230587.60000000,2786493.77419370,0
2022-12-14,0.003773,0.003834,0.003644,0.0037,1401076923.3,1671062399999,5250343.73420450,23553,635137761.10000000,2381187.27194720,0
2022-12-15,0.003702,0.003739,0.003623,0.00364,889619409.7,1671148799999,3282009.80031700,15816,421035271.80000000,1553670.85854720,0
2022-12-16,0.003642,0.003732,0.002926,0.003081,2394717676.0,1671235199999,8014292.67294830,43110,1109922233.30000000,3722129.19552940,0
2022-12-17,0.003082,0.003275,0.002995,0.003194,1985040311.5,1671321599999,6186204.28788580,33629,968815016.20000000,3021521.57460280,0
2022-12-18,0.003194,0.003203,0.003076,0.003125,913619097.6,1671407999999,2870288.08639530,17295,415241095.60000000,1304956.88449050,0
2022-12-19,0.003128,0.003211,0.002921,0.002999,1434664385.3,1671494399999,4452997.61248170,28002,657736925.50000000,2042237.13960470,0
2022-12-20,0.002999,0.00322,0.00298,0.00319,949500402.8,1671580799999,2976206.03572190,18265,495050608.80000000,1551429.22462550,0
2022-12-21,0.003189,0.003242,0.003071,0.00312,1112004002.1,1671667199999,3472439.15173220,17587,460673407.00000000,1439611.51190750,0
2022-12-22,0.003121,0.003154,0.003031,0.003148,1011168351.4,1671753599999,3135491.19912200,15613,449590612.90000000,1393597.42315900,0
2022-12-23,0.003148,0.003169,0.003094,0.003141,569783062.9,1671839999999,1783375.92914220,10262,247737769.00000000,775656.98170900,0
2022-12-24,0.003142,0.003158,0.003094,0.003134,536786817.4,1671926399999,1674871.70337360,8068,238684929.30000000,745020.61734500,0
2022-12-25,0.003133,0.003135,0.003049,0.003096,546659569.2,1672012799999,1692185.17477950,8619,213197081.90000000,659895.94904980,0
2022-12-26,0.003096,0.003124,0.003049,0.003107,903903841.4,1672099199999,2783314.13239170,11380,358539759.10000000,1104828.01743410,0
2022-12-27,0.003106,0.00312,0.002977,0.003027,1499060061.1,1672185599999,4541764.31280760,18346,629838195.50000000,1907005.01976510,0
2022-12-28,0.003027,0.003028,0.002808,0.002849,2207610903.7,1672271999999,6345427.13972620,25952,949206542.20000000,2725644.80763770,0
2022-12-29,0.002849,0.002896,0.002726,0.002801,1454516212.0,1672358399999,4116824.21596020,18241,648296995.60000000,1833444.45690290,0
2022-12-30,0.002801,0.002964,0.002763,0.00295,3019035841.4,1672444799999,8611775.82756160,32131,1586510073.40000000,4526658.12580030,0
2022-12-31,0.002948,0.00313,0.002894,0.002944,2818574796.3,1672531199999,8405799.95535430,39394,1287407879.70000000,3840596.33477910,0
2023-01-01,0.002945,0.003475,0.002903,0.003301,4592887238.8,1672617599999,14494693.52141320,71305,2251686499.10000000,7103437.77528950,0
2023-01-02,0.003301,0.003776,0.003171,0.003518,6681299344.1,1672703999999,23363814.85620170,117202,3105811604.40000000,10872021.41428290,0
2023-01-03,0.003518,0.003895,0.003506,0.003654,7035428710.2,1672790399999,26170737.06624090,122835,3486070159.30000000,12976297.43300660,0
2023-01-04,0.003655,0.003783,0.003547,0.003606,3150947703.8,1672876799999,11539878.69162500,53491,1436975596.80000000,5265352.40480100,0
2023-01-05,0.003605,0.003702,0.003482,0.003499,2010297302.1,1672963199999,7188582.84594090,30976,923603891.40000000,3305557.07122800,0
2023-01-06,0.003498,0.0038,0.003412,0.00376,2808046277.0,1673049599999,10155726.84293820,41697,1363221569.40000000,4932409.33410300,0
2023-01-07,0.003761,0.003924,0.003589,0.003636,3433547077.2,1673135999999,12808987.25359450,47192,1505823058.00000000,5620451.18785680,0
2023-01-08,0.003637,0.003779,0.003565,0.003753,2573648090.5,1673222399999,9377850.52674810,37918,1214116429.10000000,4426970.89438170,0
2023-01-09,0.003752,0.004215,0.003734,0.003882,4803027942.8,1673308799999,18775520.88915970,74597,2298903218.70000000,8993595.86418100,0
2023-01-10,0.003883,0.004106,0.003767,0.004032,2934223815.2,1673395199999,11485211.87073690,50442,1414154223.80000000,5534704.79200250,0
2023-01-11,0.004033,0.004034,0.003737,0.003942,2271026618.7,1673481599999,8801049.81897800,36701,1081312908.20000000,4190745.62479420,0
2023-01-12,0.003944,0.00442,0.0038,0.004329,5225518316.6,1673567999999,21273076.67194550,87191,2572362238.10000000,10478610.87983880,0
2023-01-13,0.004328,0.004661,0.004173,0.004546,4456341832.2,1673654399999,19324136.59232310,84321,2137616306.20000000,9275605.24291750,0
2023-01-14,0.004547,0.005309,0.004436,0.005098,6079523912.1,1673740799999,29030460.62751600,125323,3003477061.90000000,14360088.75778250,0
2023-01-15,0.005097,0.005384,0.0049,0.005093,4976462895.3,1673827199999,25506238.62418530,122860,2358708786.30000000,12097028.19101000,0
2023-01-16,0.005094,0.0056,0.004952,0.005117,3543027583.3,1673913599999,18607556.11911960,87432,1668405698.40000000,8768065.75066180,0
2023-01-17,0.005118,0.005334,0.004971,0.004984,2388630051.3,1673999999999,12342865.00562380,62504,1121259438.50000000,5794585.11293060,0
2023-01-18,0.004988,0.00511,0.004437,0.00459,3758704206.6,1674086399999,18136679.79834790,77242,1795990861.20000000,8673290.23139940,0
2023-01-19,0.004591,0.00477,0.0045,0.004637,1695356753.5,1674172799999,7843139.94148280,39774,800391960.90000000,3703471.73014850,0
2023-01-20,0.004638,0.005153,0.00451,0.005077,2014192608.5,1674259199999,9642642.96667460,46348,1036502014.80000000,4958609.52925190,0
2023-01-21,0.005076,0.005418,0.005012,0.005136,2830342283.4,1674345599999,14652276.69367380,65859,1413074712.10000000,7320157.01884500,0
2023-01-22,0.005135,0.005447,0.005045,0.005191,2011838662.9,1674431999999,10512198.70155460,50589,979330890.30000000,5120170.28833130,0
2023-01-23,0.005189,0.005742,0.005188,0.005542,3145331662.6,1674518399999,17235267.95125980,77774,1605676744.40000000,8800842.50380520,0
2023-01-24,0.005543,0.005846,0.0051,0.005193,2554825831.4,1674604799999,14056298.23603680,59611,1243476908.90000000,6852625.29117410,0
2023-01-25,0.005194,0.005401,0.004922,0.005242,2066283710.4,1674691199999,10602578.90096840,45153,1039386791.70000000,5335583.10855570,0
2023-01-26,0.00525,0.005442,0.005185,0.005266,1606908288.5,1674777599999,8505502.72381710,40019,794513352.60000000,4207164.34006890,0
2023-01-27,0.005272,0.005431,0.005075,0.005371,1521452129.0,1674863999999,7982794.08267380,37947,752216286.00000000,3947706.91530350,0
2023-01-28,0.005369,0.00547,0.005144,0.0053,1356777294.7,1674950399999,7194242.72938090,39659,647592000.00000000,3436420.03389930,0
2023-01-29,0.005298,0.005664,0.005241,0.005502,1994778691.6,1675036799999,10922428.29505820,54361,960635658.40000000,5262364.32107870,0
2023-01-30,0.005499,0.005558,0.004974,0.005084,1797526556.7,1675123199999,9445161.10875800,46327,846026608.60000000,4451055.37436670,0
2023-01-31,0.005084,0.005208,0.005007,0.005122,1677823911.9,1675209599999,8556196.99339690,42095,900964836.90000000,4594132.46271870,0
2023-02-01,0.005124,0.005658,0.004876,0.005517,2192069748.5,1675295999999,11421187.95979650,56748,1065299385.80000000,5561098.14239880,0
2023-02-02,0.005517,0.005932,0.005448,0.005515,2755459860.1,1675382399999,15640546.60704190,69319,1354949460.20000000,7693693.41146710,0
2023-02-03,0.005515,0.005675,0.005423,0.005672,1546981850.4,1675468799999,8581505.72899460,41571,773940394.20000000,4293792.58332660,0
2023-02-04,0.005676,0.005731,0.00549,0.005518,1198291219.9,1675555199999,6748955.62633620,33489,588896091.40000000,3317410.96837850,0
2023-02-05,0.005522,0.007558,0.00544,0.007298,15639123822.6,1675641599999,106171520.98082510,330522,7823559613.70000000,52991038.34752930,0
2023-02-06,0.007299,0.007405,0.006502,0.006708,7577257713.5,1675727999999,52163056.54723060,180261,3683692881.90000000,25369492.35159020,0
2023-02-07,0.006707,0.008325,0.006608,0.007975,9847631053.0,1675814399999,72959200.70188800,244004,5032271274.00000000,37261526.60013110,0
2023-02-08,0.007972,0.008364,0.007242,0.007553,4832664834.8,1675900799999,37571938.80582720,134803,2415715374.10000000,18798956.69945240,0
2023-02-09,0.007558,0.007845,0.006149,0.006243,4057184288.4,1675987199999,28535444.02821520,118907,2007520199.70000000,14154471.34828780,0
2023-02-10,0.006245,0.006504,0.00602,0.006118,3377463463.3,1676073599999,21032071.11747470,93675,1718333408.20000000,10710053.57089870,0
2023-02-11,0.006116,0.006932,0.00602,0.006724,3551030825.0,1676159999999,23153697.85179940,104622,1796132990.40000000,11712038.75667370,0
2023-02-12,0.006725,0.00687,0.006317,0.006421,1986845092.2,1676246399999,13254681.40489720,59732,979126897.80000000,6541220.59522120,0
2023-02-13,0.006421,0.006496,0.005825,0.006081,2337627860.9,1676332799999,14279365.41638650,68024,1205115388.10000000,7367158.70078450,0
2023-02-14,0.006084,0.006751,0.0059,0.006603,2585503481.5,1676419199999,16341975.05192750,75227,1298275733.90000000,8207812.87629370,0
2023-02-15,0.006602,0.007185,0.006488,0.007133,2435046231.4,1676505599999,16498396.77909700,74979,1231286461.40000000,8345366.86904590,0
2023-02-16,0.007134,0.007274,0.006478,0.006524,2516963186.8,1676591999999,17700768.34263750,81445,1213516647.80000000,8544338.04798960,0
2023-02-17,0.006526,0.00766,0.006522,0.007193,3685290105.1,1676678399999,26631975.46568740,121128,1930764748.90000000,13950078.94758750,0
2023-02-18,0.00719,0.007374,0.006968,0.007005,1402712636.3,1676764799999,10039100.98485550,52794,700517367.40000000,5014498.26867890,0
2023-02-19,0.007006,0.007537,0.006979,0.007223,2571044934.0,1676851199999,18717711.85572370,76062,1294068460.40000000,9424343.80713540,0
2023-02-20,0.007232,0.007616,0.00703,0.007484,2632423832.2,1676937599999,19609175.60309670,74697,1337770773.00000000,9968793.08741430,0
2023-02-21,0.007484,0.007522,0.006685,0.006869,2313111085.4,1677023999999,16405942.74034270,78389,1150544214.70000000,8154989.73454370,0
2023-02-22,0.006867,0.006938,0.00647,0.0067,2041037282.2,1677110399999,13583426.92226050,62052,1036592939.70000000,6902141.03519260,0
2023-02-23,0.006699,0.006903,0.006536,0.006654,1698732524.4,1677196799999,11414088.34859690,51531,823433087.10000000,5533583.38949400,0
2023-02-24,0.006654,0.00676,0.006069,0.006192,1649187628.6,1677283199999,10584868.75315870,52464,803197799.30000000,5161534.48668590,0
2023-02-25,0.00619,0.006244,0.005717,0.006044,1292368832.4,1677369599999,7749927.41452560,38370,684678785.90000000,4104600.01335840,0
2023-02-26,0.006044,0.006364,0.006011,0.006266,1030307063.5,1677455999999,6384356.97811660,31816,536328939.20000000,3324734.57997480,0
2023-02-27,0.006265,0.006358,0.005991,0.006141,1157512384.0,1677542399999,7146428.15078110,39170,553677721.40000000,3418943.59477960,0
2023-02-28,0.006142,0.006167,0.005671,0.005677,1356383113.9,1677628799999,8082067.18830570,37710,635523502.40000000,3786136.16105110,0
2023-03-01,0.005677,0.006095,0.005648,0.006074,1482537088.0,1677715199999,8812121.22259750,42270,755590154.10000000,4491489.44552650,0
2023-03-02,0.006072,0.006095,0.005757,0.005913,1246594571.4,1677801599999,7346934.70091580,38861,575499305.50000000,3395509.98482480,0
2023-03-03,0.005911,0.005938,0.005086,0.005497,1553373314.8,1677887999999,8435564.79541550,44092,783702404.10000000,4250172.83778440,0
2023-03-04,0.005503,0.005597,0.005111,0.005249,1309410118.1,1677974399999,6995298.82729290,34673,706310718.80000000,3774121.47706420,0
2023-03-05,0.005248,0.005494,0.005198,0.005352,1428517034.0,1678060799999,7682387.70457700,39299,708195978.50000000,3809066.34057070,0
2023-03-06,0.005351,0.005533,0.005185,0.005502,1012323438.3,1678147199999,5457219.07896160,31690,498714290.80000000,2687416.64393690,0
2023-03-07,0.005504,0.005583,0.005133,0.005325,1095295046.6,1678233599999,5865719.20850740,34446,512057431.20000000,2743095.61300100,0
2023-03-08,0.005325,0.00538,0.00502,0.005114,1360968752.4,1678319999999,7137464.19714710,43970,663378975.50000000,3479354.01274190,0
2023-03-09,0.005112,0.005349,0.004677,0.004785,2044404874.3,1678406399999,10278756.04369940,51981,1011736414.90000000,5086482.19171490,0
2023-03-10,0.004783,0.004996,0.004466,0.004928,2088025266.6,1678492799999,9902869.44352820,57192,1047824909.00000000,4974329.50247710,0
2023-03-11,0.004928,0.00501,0.004588,0.004829,1325200226.4,1678579199999,6324561.94551530,35798,673427323.00000000,3213201.77285940,0
2023-03-12,0.004829,0.00527,0.004702,0.005246,1198475331.1,1678665599999,5907010.88540400,31602,626404608.00000000,3090449.76340160,0
2023-03-13,0.005247,0.00583,0.0051,0.0057,2597033414.8,1678751999999,14071475.31154440,68242,1288825525.70000000,6983175.83293560,0
2023-03-14,0.005701,0.005854,0.005161,0.005333,4225865350.3,1678838399999,23222567.01804980,102698,2002480515.30000000,11009909.09893050,0
2023-03-15,0.005329,0.005462,0.004689,0.004762,3556966075.2,1678924799999,18157951.34000030,91329,1761596662.60000000,8992169.92887930,0
2023-03-16,0.004763,0.004872,0.004676,0.004787,1979032827.6,1679011199999,9466926.32034530,54090,1009100868.00000000,4828221.89694290,0
2023-03-17,0.004788,0.005243,0.004706,0.005229,2695759022.9,1679097599999,13423110.42517310,60782,1292081776.00000000,6429194.95400180,0
2023-03-18,0.005229,0.005499,0.004829,0.004925,3704743211.8,1679183999999,19266765.49768240,71114,1847080358.70000000,9611410.86764960,0
2023-03-19,0.004927,0.005162,0.00487,0.005021,2283641049.1,1679270399999,11470935.21008790,51939,1125357549.80000000,5650326.42243880,0
2023-03-20,0.005023,0.0051,0.00463,0.004756,2370458588.6,1679356799999,11585252.52289080,56717,1198311152.10000000,5855460.62924030,0
2023-03-21,0.00475,0.005089,0.004561,0.004991,2015707903.7,1679443199999,9763782.08120400,51301,1020879669.60000000,4942773.06156470,0
2023-03-22,0.004991,0.00501,0.004555,0.004679,1969466235.5,1679529599999,9500551.16252610,50844,969140704.90000000,4676094.08421570,0
2023-03-23,0.004681,0.004941,0.00458,0.004873,1503913675.1,1679615999999,7178375.99901030,34111,748467549.10000000,3572504.04595480,0
2023-03-24,0.004873,0.004923,0.004595,0.004697,1302673794.9,1679702399999,6210700.36370550,30942,637764682.70000000,3041472.67425640,0
2023-03-25,0.004698,0.004745,0.004513,0.004591,1016703414.4,1679788799999,4693968.87204220,28297,486557401.20000000,2246545.10130290,0
2023-03-26,0.004591,0.004679,0.004559,0.004641,820414700.0,1679875199999,3795397.84078410,20779,411817405.50000000,1904999.56303510,0
2023-03-27,0.00464,0.004651,0.004301,0.004398,1524807046.0,1679961599999,6812199.62144980,35854,662793272.70000000,2955637.18727770,0
2023-03-28,0.004399,0.00459,0.004313,0.004531,1079285826.2,1680047999999,4786715.61226430,26707,534960999.50000000,2372049.80350440,0
2023-03-29,0.004534,0.005109,0.004519,0.004993,3232861739.3,1680134399999,15696211.91519890,71724,1643577170.70000000,7978877.62421030,0
2023-03-30,0.004992,0.005119,0.004772,0.004858,1984923606.4,1680220799999,9744404.53171410,45926,929739380.90000000,4568861.58079680,0
2023-03-31,0.004857,0.005314,0.004792,0.00523,2580147139.7,1680307199999,13099543.85788990,64837,1287651535.50000000,6535392.63235030,0
2023-04-01,0.00523,0.0053,0.004995,0.005141,2162173391.5,1680393599999,11116591.32649740,51587,1045271081.90000000,5374509.70683330,0
2023-04-02,0.005142,0.005283,0.004841,0.00494,1415690774.8,1680479999999,7146748.66107360,33774,672278139.80000000,3396058.97899010,0
2023-04-03,0.004942,0.005,0.00472,0.004909,1342136142.5,1680566399999,6575488.99348400,33687,664553368.00000000,3257911.23177420,0
