timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-12-07,0.15,4.94,0.15,2.3936,126427052.7,1701993599999,283120328.39651000,894061,60597501.60000000,136118613.15584000,0
2023-12-08,2.3935,3.77,2.3722,3.5794,218161446.6,1702079999999,683017405.14999000,2231105,110635637.20000000,346574068.47915000,0
2023-12-09,3.5794,4.45,3.2275,3.3499,142849533.3,1702166399999,549316410.80182000,1722337,71310181.10000000,274486006.05881000,0
2023-12-10,3.3499,3.74,3.17,3.455,67453495.0,1702252799999,231618606.40877000,758607,33664647.70000000,115676872.05491000,0
2023-12-11,3.4553,3.47,2.5412,3.0028,67623014.6,1702339199999,203747917.70177000,615098,32638080.10000000,98376656.95122000,0
2023-12-12,3.0032,3.3555,2.792,2.9607,54414281.4,1702425599999,166471430.33282000,504084,26323829.40000000,80582118.85682000,0
2023-12-13,2.9606,2.985,2.6,2.836,39287095.2,1702511999999,108019403.21602000,344459,19188873.00000000,52834486.98631000,0
2023-12-14,2.8349,3.46,2.715,3.4552,61268666.1,1702598399999,186346504.99544000,655491,30611065.30000000,93349780.69863000,0
2023-12-15,3.4576,3.6277,2.8,2.8381,72838328.8,1702684799999,236762050.66566000,947985,35771152.20000000,116417735.04371000,0
2023-12-16,2.8386,3.2,2.7964,2.9249,34650006.4,1702771199999,103048855.23035000,409401,16836336.50000000,50130903.06327000,0
2023-12-17,2.9241,2.9665,2.689,2.7041,25773740.0,1702857599999,72221302.98530000,290627,12288769.60000000,34438478.61158000,0
2023-12-18,2.7049,2.7426,2.2232,2.5054,40083686.2,1702943999999,98434646.00391000,406108,19009715.00000000,46633493.46688000,0
2023-12-19,2.5062,2.6551,2.3331,2.3739,30475352.9,1703030399999,75893303.32287000,300573,14340414.10000000,35760953.10992000,0
2023-12-20,2.3742,2.8262,2.3294,2.657,43017609.0,1703116799999,112177662.59844000,419562,21446978.40000000,55985321.97628000,0
2023-12-21,2.6557,2.8951,2.551,2.8213,38344796.0,1703203199999,105161911.93240000,414227,19062102.20000000,52319094.77150000,0
2023-12-22,2.8221,2.942,2.45,2.6008,34051743.9,1703289599999,90849432.54872000,349777,16544317.80000000,44161311.09889000,0
2023-12-23,2.6008,2.6612,2.4851,2.6296,17315524.3,1703375999999,44397150.71910000,176992,8286005.20000000,21265881.30699000,0
2023-12-24,2.6297,2.723,2.3521,2.4482,24584505.5,1703462399999,63424550.81419000,237924,11754411.70000000,30346130.83322000,0
2023-12-25,2.4484,2.9074,2.4196,2.7486,31208354.3,1703548799999,82384825.53033000,305024,15981904.60000000,42308422.67950000,0
2023-12-26,2.7486,2.8649,2.3,2.5193,26791330.4,1703635199999,69832305.35990000,307787,12143437.20000000,31740461.70572000,0
2023-12-27,2.5193,2.5359,2.411,2.4497,17511614.3,1703721599999,43287026.42625000,196798,8243436.00000000,20380897.56729000,0
2023-12-28,2.4485,2.5085,2.2439,2.3176,15572965.5,1703807999999,36911529.20991000,183489,7287939.90000000,17283868.86251000,0
2023-12-29,2.321,2.3341,2.105,2.2416,15925678.0,1703894399999,35490277.07956000,170727,7469511.00000000,16645912.16958000,0
2023-12-30,2.2424,2.3006,2.1354,2.2071,9401420.3,1703980799999,20836508.35838000,102103,4366945.40000000,9689000.20742000,0
2023-12-31,2.2072,2.2815,1.5912,1.8841,17270575.5,1704067199999,35494279.76953000,187274,8095101.60000000,16626333.42890000,0
2024-01-01,1.8847,2.0504,1.8081,2.0068,24700863.5,1704153599999,46638218.83168000,285016,11815963.50000000,22325879.29062000,0
2024-01-02,2.0062,2.0568,1.8666,1.93,19007964.1,1704239999999,37277978.15974000,190419,8408233.20000000,16490268.28439000,0
2024-01-03,1.9307,1.962,1.323,1.5494,29349727.8,1704326399999,47810406.80183000,255531,13286236.70000000,21581270.11327000,0
2024-01-04,1.5493,1.6597,1.5019,1.6213,15240031.6,1704412799999,24241050.38051000,133254,7374996.60000000,11747605.52290000,0
2024-01-05,1.621,1.6399,1.45,1.5818,17185711.2,1704499199999,26586088.21304000,149910,8343659.00000000,12912848.64044000,0
2024-01-06,1.5812,1.93,1.469,1.7394,58610259.4,1704585599999,102406177.44545000,533158,28655536.30000000,50023622.16509000,0
2024-01-07,1.7393,1.8426,1.5352,1.5566,31487149.9,1704671999999,53263135.47483000,252856,15015365.60000000,25412230.48208000,0
2024-01-08,1.5573,1.7379,1.4159,1.6874,28968870.8,1704758399999,45521973.33036000,245823,14098085.00000000,22162714.97825000,0
2024-01-09,1.6874,1.768,1.4617,1.5763,21874324.8,1704844799999,35400718.60871000,167477,10462534.90000000,16917456.23704000,0
2024-01-10,1.5743,2.1,1.5209,1.9535,32755802.5,1704931199999,57075990.80249000,275410,16144548.60000000,28164647.14658000,0
2024-01-11,1.9534,2.2,1.7901,2.1133,42274398.6,1705017599999,84265633.06286000,349623,21062485.20000000,42037014.93096000,0
2024-01-12,2.1133,2.2781,1.8633,1.9682,34382535.0,1705103999999,71959707.26492000,334610,16853538.20000000,35320119.57428000,0
2024-01-13,1.9692,2.5492,1.9489,2.4727,38184574.4,1705190399999,85749708.99890000,400229,19934114.10000000,44802011.30220000,0
2024-01-14,2.4723,2.7878,2.3921,2.5257,45852749.1,1705276799999,119493365.73936000,503810,22597306.20000000,58900335.66618000,0
2024-01-15,2.5267,2.6415,2.33,2.3935,21784017.1,1705363199999,54137900.64262000,228863,10219027.50000000,25444056.54412000,0
2024-01-16,2.3929,2.7467,2.3035,2.5892,28726788.7,1705449599999,71980063.07609000,284667,14197564.30000000,35616372.63977000,0
2024-01-17,2.5898,2.7738,2.5329,2.5632,26139802.5,1705535999999,69247158.99632000,263452,13078016.30000000,34666584.98757000,0
2024-01-18,2.5633,2.5889,2.1407,2.1571,21718805.8,1705622399999,50901281.36005000,220998,9622454.50000000,22492963.43680000,0
2024-01-19,2.1572,2.38,2.01,2.2536,30203975.6,1705708799999,65762253.93876000,312435,14931956.40000000,32554229.77516000,0
2024-01-20,2.2538,2.3133,2.1182,2.1908,11033193.0,1705795199999,24414470.54029000,113720,5516727.70000000,12214176.56381000,0
2024-01-21,2.1908,2.2253,2.0913,2.1096,7256700.6,1705881599999,15714839.66845000,68251,3448561.80000000,7473873.24952000,0
2024-01-22,2.1096,2.1815,1.9719,2.0065,12505727.0,1705967999999,25848583.44170000,120818,6086365.80000000,12583219.43102000,0
2024-01-23,2.0064,2.08,1.7745,1.9534,15410030.4,1706054399999,29284682.11446000,130050,7423405.50000000,14150874.52682000,0
2024-01-24,1.9532,1.9839,1.8756,1.96,9552519.2,1706140799999,18421183.01216000,84995,4899375.60000000,9451427.10496000,0
