timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,6.077,6.438,5.69,6.291,12214030.16,1668470399999,74288053.37186000,264243,5629853.19000000,34247073.30603000,0
2022-11-15,6.291,6.672,6.207,6.421,9028489.34,1668556799999,58364458.60071000,162347,4496031.02000000,29075790.64564000,0
2022-11-16,6.421,6.564,6.077,6.179,6291977.07,1668643199999,39562816.09355000,122221,2871753.73000000,18075889.77238000,0
2022-11-17,6.18,6.342,6.029,6.225,4888412.25,1668729599999,30263489.00306000,100903,2410301.52000000,14930365.31250000,0
2022-11-18,6.224,6.44,6.069,6.183,5216596.13,1668815999999,32627018.46391000,87798,2489228.53000000,15560647.20524000,0
2022-11-19,6.184,6.22,5.99,6.146,2913602.05,1668902399999,17818230.55664000,55789,1426472.72000000,8726948.72497000,0
2022-11-20,6.146,6.252,5.709,5.768,4952741.6,1668988799999,29792054.05031000,89931,2380574.00000000,14339974.87827000,0
2022-11-21,5.767,5.896,5.528,5.876,7858097.01,1669075199999,45079333.64236000,142035,4038486.35000000,23171799.80561000,0
2022-11-22,5.874,6.485,5.837,6.422,11891787.33,1669161599999,73312569.08168000,206660,6159877.44000000,37999087.24869000,0
2022-11-23,6.423,6.809,6.343,6.707,9877403.25,1669247999999,64504866.00591000,174060,4905410.35000000,32052145.61022000,0
2022-11-24,6.708,6.978,6.586,6.831,6713104.24,1669334399999,45421620.88419000,137507,3487081.95000000,23586414.27711000,0
2022-11-25,6.83,6.993,6.661,6.848,5761022.33,1669420799999,39209013.52817000,113315,2813200.02000000,19149681.65128000,0
2022-11-26,6.848,7.299,6.824,7.156,8067345.14,1669507199999,57109526.62374000,134550,4154986.63000000,29432482.80417000,0
2022-11-27,7.157,7.278,6.858,6.902,4986550.69,1669593599999,35387622.00056000,90351,2375009.80000000,16869047.40439000,0
2022-11-28,6.904,7.347,6.53,7.194,13592230.54,1669679999999,93251021.80269000,244302,6726981.84000000,46214163.94018000,0
