timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,57.37,59.31,53.24,56.7,1455419.171,1668470399999,82185719.11058000,262578,731676.42800000,41439822.31286000,0
2022-11-15,56.7,59.54,56.48,58.01,785891.462,1668556799999,45705108.59897000,149537,399412.71600000,23224459.20703000,0
2022-11-16,58.0,60.19,56.72,57.49,708710.343,1668643199999,41244956.97154000,122411,348959.17200000,20314250.23122000,0
2022-11-17,57.49,63.34,57.01,62.59,1125276.943,1668729599999,67453513.35738000,204123,578331.83800000,34673950.19823000,0
2022-11-18,62.59,64.0,61.58,62.62,820500.727,1668815999999,51452758.05586000,149341,409490.99200000,25679252.55128000,0
2022-11-19,62.63,64.61,61.33,63.98,585835.654,1668902399999,37005933.74984000,113779,289985.73800000,18324841.25128000,0
2022-11-20,63.98,64.86,60.37,62.12,738121.307,1668988799999,46027037.98962000,140289,367232.23000000,22885196.86994000,0
2022-11-21,62.12,63.91,59.25,61.31,1219683.801,1669075199999,74706968.95695000,245028,601081.11500000,36843031.73427000,0
2022-11-22,61.34,71.32,61.07,70.66,2212093.045,1669161599999,147647329.05305000,391299,1161784.35200000,77510012.94340000,0
2022-11-23,70.65,83.66,69.61,79.02,3062621.766,1669247999999,239395906.97567000,670619,1550029.40800000,121255290.00602000,0
2022-11-24,79.01,79.52,75.11,78.66,1698054.062,1669334399999,131745920.20286000,357887,839935.94700000,65226639.17660000,0
2022-11-25,78.68,79.9,73.13,74.1,1546973.408,1669420799999,117160282.05969000,300419,719915.68000000,54550994.34848000,0
2022-11-26,74.1,79.65,73.89,76.47,1274051.02,1669507199999,97978807.04717000,245820,641616.74900000,49344077.80417000,0
2022-11-27,76.48,79.32,74.15,74.92,994997.591,1669593599999,76520279.26534000,198235,469692.22000000,36135628.05901000,0
2022-11-28,74.92,75.34,70.53,73.97,1474228.831,1669679999999,107099579.65837000,288065,691105.97800000,50184854.23901000,0
2022-11-29,73.96,77.98,73.4,75.8,1214848.559,1669766399999,92539919.10222000,242197,588986.85400000,44876453.98281000,0
2022-11-30,75.81,80.88,75.42,79.16,1108600.292,1669852799999,86824139.27326000,223902,512880.66400000,40185723.78329000,0
2022-12-01,79.15,80.66,76.27,77.57,968244.356,1669939199999,75078194.92180000,192022,457557.26000000,35496415.40821000,0
2022-12-02,77.57,78.09,75.34,77.94,582041.35,1670025599999,44535496.33869000,116810,283582.82000000,21700331.04489000,0
2022-12-03,77.93,78.13,75.44,76.47,432581.631,1670111999999,33184179.42764000,83212,214576.19900000,16462259.99097000,0
2022-12-04,76.44,77.51,75.79,77.07,390998.288,1670198399999,29941348.39070000,79156,190693.42900000,14608093.60585000,0
2022-12-05,77.07,85.0,76.82,80.19,1698312.839,1670284799999,138967234.88258000,311756,843245.39100000,69007286.09063000,0
2022-12-06,80.19,81.77,77.67,79.88,802781.092,1670371199999,63974100.72864000,160764,409829.04400000,32655588.57223000,0
2022-12-07,79.9,80.4,75.5,76.89,864677.814,1670457599999,66937673.33037000,168406,395784.85100000,30662842.72130000,0
2022-12-08,76.9,78.75,74.5,78.27,911785.771,1670543999999,69325421.15784000,168785,429376.22200000,32687022.84552000,0
2022-12-09,78.26,78.85,75.84,76.31,621921.168,1670630399999,48170407.45153000,138918,284205.24400000,22019654.20605000,0
2022-12-10,76.31,77.46,75.64,76.36,301184.283,1670716799999,23040682.95376000,66263,154605.03600000,11827570.97756000,0
2022-12-11,76.36,78.42,76.28,76.5,348230.246,1670803199999,26945682.59966000,71753,183076.69600000,14171823.39958000,0
2022-12-12,76.51,76.71,73.49,76.23,656093.652,1670889599999,49149470.16730000,132644,327774.26900000,24563424.22202000,0
2022-12-13,76.22,79.84,73.96,77.39,1018153.938,1670975999999,78425946.99692000,178035,500833.62700000,38593049.44201000,0
2022-12-14,77.4,79.11,74.2,75.3,911912.129,1671062399999,70476912.24804000,155344,440506.92700000,34038005.51155000,0
2022-12-15,75.29,75.47,71.7,72.42,598856.974,1671148799999,44307204.12750000,112407,276057.41400000,20436000.95252000,0
2022-12-16,72.43,73.56,65.0,66.25,1160661.942,1671235199999,79989922.68757000,211507,553128.05100000,38123399.91951000,0
2022-12-17,66.24,67.7,62.51,64.89,1344619.107,1671321599999,87139779.83289000,218779,647675.38800000,41974717.09437000,0
2022-12-18,64.89,65.96,63.03,64.37,639108.584,1671407999999,41159074.26006000,112020,296767.43400000,19116192.80858000,0
2022-12-19,64.39,65.02,61.04,63.37,866072.922,1671494399999,54533366.64635000,148472,382451.32000000,24086312.47264000,0
2022-12-20,63.36,66.35,63.08,65.55,850764.015,1671580799999,55306034.40385000,134341,417705.87800000,27151576.15996000,0
2022-12-21,65.56,66.84,64.61,65.4,573283.433,1671667199999,37620986.70303000,108182,263950.50100000,17323533.01866000,0
2022-12-22,65.4,66.7,64.24,66.21,505782.811,1671753599999,33144792.66329000,92641,237328.35500000,15559921.45312000,0
2022-12-23,66.21,66.72,64.91,65.75,387146.613,1671839999999,25491817.35804000,78038,184970.65600000,12182785.79764000,0
2022-12-24,65.75,66.05,65.06,65.76,218820.376,1671926399999,14353903.70536000,48053,106932.63600000,7016640.95861000,0
2022-12-25,65.77,69.72,65.3,69.15,563485.616,1672012799999,37959432.03772000,96070,291180.30500000,19610773.34778000,0
2022-12-26,69.15,71.83,68.58,70.78,724746.003,1672099199999,50669109.87661000,130049,354005.41100000,24751388.19174000,0
2022-12-27,70.77,71.14,67.77,68.67,688534.199,1672185599999,47966765.82708000,121144,309027.14400000,21543870.23921000,0
2022-12-28,68.68,69.48,65.69,66.32,693169.686,1672271999999,46844615.70904000,138152,325901.73000000,22031680.46939000,0
2022-12-29,66.32,67.3,65.57,66.66,498307.656,1672358399999,33115669.52030000,103768,230927.88100000,15350328.40541000,0
2022-12-30,66.66,68.72,66.04,67.94,476504.755,1672444799999,32039487.78496000,89092,238929.04300000,16069524.77141000,0
2022-12-31,67.94,71.12,67.62,70.14,563994.497,1672531199999,39258671.39328000,84663,299969.42300000,20887953.85207000,0
2023-01-01,70.14,71.55,68.91,70.91,497824.424,1672617599999,34983776.58672000,74736,239887.89400000,16864060.42420000,0
2023-01-02,70.92,77.96,70.0,74.74,1056995.281,1672703999999,78667160.09725000,170663,521898.05100000,38836867.09164000,0
2023-01-03,74.75,76.52,73.62,75.57,725798.101,1672790399999,54611772.60720000,117530,344967.22100000,25968996.62443000,0
2023-01-04,75.57,77.99,74.32,75.46,773197.793,1672876799999,58937795.05310000,130545,371277.35500000,28308161.10734000,0
2023-01-05,75.46,76.27,73.53,74.25,562086.168,1672963199999,42067341.26815000,99765,264903.47000000,19827882.18441000,0
2023-01-06,74.25,76.58,72.42,75.91,797819.975,1673049599999,59370879.08393000,128339,383615.44200000,28565908.48567000,0
2023-01-07,75.91,76.87,75.47,76.4,388687.641,1673135999999,29573435.91014000,69364,199675.48600000,15197709.02947000,0
2023-01-08,76.4,78.98,75.08,78.68,626879.182,1673222399999,47850440.77735000,102902,332329.20900000,25382888.79677000,0
2023-01-09,78.67,83.61,78.09,81.62,1179300.917,1673308799999,96491268.51370000,217855,582309.71600000,47640112.42217000,0
2023-01-10,81.61,82.85,79.43,80.83,847925.336,1673395199999,68674215.86966000,130174,422436.11500000,34206117.04567000,0
2023-01-11,80.82,85.0,79.88,84.08,968676.069,1673481599999,79560173.96492000,175538,487744.25800000,40070346.72416000,0
