timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,2.93,3.191,2.626,3.016,16234117.7,1668470399999,46915914.87400000,146318,7649728.80000000,22137781.97340000,0
2022-11-15,3.016,3.2,2.891,2.989,7669452.0,1668556799999,23116229.40630000,82967,3756056.10000000,11326170.58410000,0
2022-11-16,2.99,3.447,2.932,3.214,13539490.7,1668643199999,43481187.36760000,150848,6656097.10000000,21382559.01600000,0
2022-11-17,3.213,3.584,3.112,3.19,10615840.8,1668729599999,34946115.25030000,112234,5166696.80000000,17044048.56710000,0
2022-11-18,3.191,3.319,2.978,3.074,5947039.1,1668815999999,18803682.46210000,54096,2860043.30000000,9053394.17470000,0
2022-11-19,3.075,3.093,2.863,2.916,4597928.8,1668902399999,13627053.14280000,40710,2007531.40000000,5951950.76940000,0
2022-11-20,2.916,3.055,2.361,2.427,11068753.2,1668988799999,30260265.13780000,96837,5115614.50000000,14034787.64840000,0
2022-11-21,2.426,2.63,2.353,2.508,9540383.9,1669075199999,23804902.65730000,84586,4496270.10000000,11221286.06060000,0
2022-11-22,2.507,2.717,2.323,2.624,9119776.6,1669161599999,22858001.00130000,72586,4484484.30000000,11232312.22460000,0
2022-11-23,2.626,2.9,2.547,2.665,9961887.4,1669247999999,26892143.13370000,76805,4693149.40000000,12686284.43620000,0
2022-11-24,2.665,2.745,2.58,2.67,6184573.9,1669334399999,16445116.92460000,50852,2891226.80000000,7691629.89870000,0
2022-11-25,2.669,3.13,2.494,3.018,16679647.2,1669420799999,47126616.44560000,150345,8486754.20000000,24022119.05420000,0
2022-11-26,3.018,3.227,2.807,2.87,9975815.2,1669507199999,30152752.29230000,90863,4630167.40000000,14022005.74730000,0
2022-11-27,2.869,3.32,2.829,3.006,12938986.6,1669593599999,39923557.63950000,120252,6649474.70000000,20518155.21960000,0
2022-11-28,3.005,3.08,2.755,2.844,7613364.9,1669679999999,21875090.30340000,70059,3326192.00000000,9561267.22130000,0
2022-11-29,2.847,3.333,2.788,3.171,14393657.4,1669766399999,45118704.27230000,117733,7221829.70000000,22595854.48060000,0
2022-11-30,3.172,4.05,3.141,3.945,14975754.9,1669852799999,52467487.28990000,158374,7616882.00000000,26706023.35920000,0
2022-12-01,3.947,4.409,3.771,3.938,16291694.6,1669939199999,65313714.65920000,184534,7974889.20000000,31991831.80030000,0
2022-12-02,3.938,4.097,3.593,3.872,11439125.1,1670025599999,44017288.70450000,102471,5469092.30000000,21060463.37440000,0
2022-12-03,3.87,4.023,3.612,3.778,10458202.6,1670111999999,39798302.09690000,99659,5214285.80000000,19876837.37810000,0
2022-12-04,3.779,3.958,3.722,3.825,6024139.8,1670198399999,23052760.24170000,63802,2870804.00000000,11005031.49990000,0
2022-12-05,3.825,4.149,3.506,3.663,9415925.0,1670284799999,36166939.45320000,98386,4518811.20000000,17376890.79060000,0
