timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.8894,0.9631,0.8318,0.9177,229867545.8,1668470399999,209006671.94480000,681630,110686823.90000000,100731309.83181000,0
2022-11-15,0.9177,0.9735,0.9067,0.9417,138509381.4,1668556799999,130636205.43733000,413893,72204436.50000000,68106087.47786000,0
2022-11-16,0.9418,0.9565,0.8788,0.8981,101978756.0,1668643199999,92817749.67376000,293974,54382143.00000000,49467317.15508000,0
2022-11-17,0.8981,0.9123,0.8626,0.8743,101835293.2,1668729599999,89998051.19366000,252240,50854505.90000000,44921855.04390000,0
2022-11-18,0.8743,0.8997,0.8682,0.8795,67124443.7,1668815999999,59437822.78536000,166500,34774117.70000000,30785723.57775000,0
2022-11-19,0.8795,0.8834,0.8497,0.8762,48707549.2,1668902399999,42177338.56298000,119656,23296638.90000000,20172706.04648000,0
2022-11-20,0.8761,0.8817,0.799,0.8069,103107522.1,1668988799999,86193444.43571000,228006,48796025.80000000,40799602.01976000,0
2022-11-21,0.8069,0.821,0.764,0.796,160051447.3,1669075199999,127219052.33744000,362044,80051510.70000000,63624958.77086000,0
2022-11-22,0.7961,0.8668,0.7784,0.8513,175588937.2,1669161599999,145661370.73012000,376967,89007306.20000000,73872243.20403000,0
2022-11-23,0.8514,0.8732,0.8363,0.8614,110245680.9,1669247999999,94330703.97270000,244970,55949777.20000000,47867291.41088000,0
2022-11-24,0.8614,0.8914,0.8421,0.8489,83489471.7,1669334399999,71933486.97543000,185013,41191023.40000000,35506441.12264000,0
2022-11-25,0.8489,0.8496,0.8196,0.8442,51619516.3,1669420799999,43218765.79239000,127325,25110932.50000000,21027729.29828000,0
2022-11-26,0.8442,0.8718,0.8385,0.8464,50094639.3,1669507199999,42924500.52187000,125729,25219989.10000000,21612683.63112000,0
2022-11-27,0.8464,0.8662,0.8406,0.844,40179484.6,1669593599999,34378233.13948000,94835,19752324.20000000,16897915.83360000,0
2022-11-28,0.8438,0.8491,0.8042,0.8213,67820385.3,1669679999999,55704715.11197000,158116,32580361.40000000,26757869.24221000,0
2022-11-29,0.8212,0.8469,0.8133,0.8384,46886705.5,1669766399999,39158223.70357000,116164,24432413.90000000,20405483.80741000,0
2022-11-30,0.8385,0.9444,0.837,0.933,105463856.6,1669852799999,93468625.63814000,249032,53600372.40000000,47531877.10047000,0
2022-12-01,0.933,0.9452,0.9057,0.9089,95499520.3,1669939199999,88168489.00160000,234985,47092340.10000000,43486228.32763000,0
2022-12-02,0.9089,0.949,0.8977,0.9488,75021481.8,1670025599999,69007443.53004000,160435,37382284.00000000,34387112.63692000,0
2022-12-03,0.9485,0.9502,0.8997,0.9029,46360672.4,1670111999999,42822462.85727000,103572,21261314.70000000,19635149.18435000,0
2022-12-04,0.9031,0.9233,0.9011,0.9212,32103473.7,1670198399999,29356707.64993000,74187,15832946.90000000,14479358.83520000,0
2022-12-05,0.9211,0.9452,0.8998,0.9116,70042641.7,1670284799999,64542421.86749000,142462,36238029.30000000,33364250.25827000,0
2022-12-06,0.9117,0.9212,0.894,0.9176,50335479.4,1670371199999,45816001.18293000,98233,24824364.80000000,22597984.48574000,0
2022-12-07,0.9178,0.9199,0.8708,0.8973,73597178.6,1670457599999,65421084.69810000,140761,34520323.10000000,30682661.91052000,0
2022-12-08,0.8973,0.9315,0.8874,0.9276,56439864.5,1670543999999,51263906.98583000,117995,28585769.40000000,25968198.67478000,0
2022-12-09,0.9276,0.9347,0.9081,0.9097,46265511.1,1670630399999,42629091.53356000,94917,22719960.00000000,20935596.92191000,0
2022-12-10,0.9098,0.9167,0.9004,0.9082,28182643.9,1670716799999,25564028.28951000,56963,15018897.60000000,13621189.95082000,0
2022-12-11,0.9082,0.915,0.8888,0.8922,25372990.4,1670803199999,22939861.87814000,56067,12029867.80000000,10877602.72118000,0
2022-12-12,0.8921,0.9128,0.87,0.9107,53203041.9,1670889599999,47274002.32296000,107075,26404467.30000000,23473479.05671000,0
2022-12-13,0.9107,0.9419,0.8789,0.9244,102623490.4,1670975999999,93676118.41158000,196244,49341930.40000000,45045948.56841000,0
2022-12-14,0.9244,0.9383,0.8936,0.9026,72757384.5,1671062399999,66826851.56437000,137799,34956138.30000000,32121582.24101000,0
2022-12-15,0.9029,0.9062,0.8721,0.8787,50583863.6,1671148799999,45010226.88415000,98715,23620283.20000000,21005694.09242000,0
2022-12-16,0.8787,0.891,0.7813,0.7953,101403720.7,1671235199999,84944651.10726000,205947,47089450.10000000,39488276.34976000,0
