timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,674.0,710.0,647.0,695.0,5988.1711,1668470399999,4071459.52260000,19367,3129.67070000,2126378.27990000,0
2022-11-15,695.0,724.0,686.0,708.0,2539.9391,1668556799999,1794595.94730000,10786,1000.59860000,706896.89040000,0
2022-11-16,707.0,714.0,651.0,657.0,3853.3275,1668643199999,2608675.67820000,14163,1992.21060000,1347886.06580000,0
2022-11-17,657.0,672.0,646.0,650.0,3898.2633,1668729599999,2574915.42090000,13958,2258.08390000,1492484.79260000,0
2022-11-18,650.0,666.0,647.0,657.0,4134.5543,1668815999999,2710035.04350000,17192,1848.50570000,1212827.12800000,0
2022-11-19,658.0,686.0,646.0,682.0,2611.6939,1668902399999,1738520.22260000,8738,1342.43170000,895100.28440000,0
2022-11-20,683.0,684.0,645.0,657.0,2552.3851,1668988799999,1686643.71030000,10182,1188.98410000,785798.78980000,0
2022-11-21,658.0,658.0,613.0,635.0,3580.4387,1669075199999,2271617.98670000,12807,1632.06140000,1036113.50660000,0
2022-11-22,635.0,671.0,619.0,648.0,2616.4698,1669161599999,1699485.99570000,9562,1350.10740000,877503.30940000,0
2022-11-23,650.0,669.0,645.0,663.0,2785.931,1669247999999,1831939.48080000,9100,1425.65730000,939278.27170000,0
2022-11-24,663.0,676.0,654.0,662.0,1866.864,1669334399999,1238793.84980000,7911,989.15060000,655993.86050000,0
2022-11-25,661.0,661.0,633.0,647.0,2144.0334,1669420799999,1378602.89450000,7122,1248.67760000,802202.72510000,0
2022-11-26,646.0,658.0,636.0,640.0,1731.5183,1669507199999,1122588.26470000,6672,978.55630000,634647.25300000,0
2022-11-27,640.0,658.0,638.0,640.0,1903.1089,1669593599999,1237636.20540000,7343,944.77730000,614051.35810000,0
2022-11-28,639.0,669.0,616.0,646.0,4012.5713,1669679999999,2594263.98920000,11360,2185.90990000,1412773.08630000,0
2022-11-29,646.0,669.0,642.0,646.0,2991.0482,1669766399999,1955667.50450000,9636,1404.21680000,918149.04340000,0
