timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,1.953,2.023,1.8,1.971,17148826.8,1668470399999,32924272.75280000,157890,8610873.50000000,16540050.69410000,0
2022-11-15,1.971,2.046,1.93,1.98,9660614.9,1668556799999,19239238.22500000,89333,4922815.20000000,9803807.40540000,0
2022-11-16,1.981,2.019,1.891,1.922,7793135.6,1668643199999,15207896.79870000,69733,3660946.70000000,7151537.89910000,0
2022-11-17,1.922,1.937,1.816,1.832,11235158.7,1668729599999,20900681.25940000,86924,5478934.80000000,10186031.99490000,0
2022-11-18,1.832,1.87,1.752,1.784,13484028.8,1668815999999,24471852.59022400,94442,6714839.90000000,12185960.12170000,0
2022-11-19,1.784,1.788,1.703,1.747,12681787.6,1668902399999,22059308.52110000,83389,5845328.00000000,10166770.71220000,0
2022-11-20,1.748,1.762,1.552,1.57,16492619.57,1668988799999,27536382.19123000,107394,7623674.90000000,12725182.77720000,0
2022-11-21,1.569,1.584,1.432,1.56,27412640.0,1669075199999,41698390.84457600,170752,13135837.20000000,19981776.54400000,0
2022-11-22,1.56,1.649,1.492,1.627,18626063.2,1669161599999,29325197.41560000,111405,9296218.70000000,14644336.04540000,0
2022-11-23,1.627,1.699,1.585,1.692,14861685.1,1669247999999,24326292.90310000,91453,7452848.10000000,12213387.95690000,0
2022-11-24,1.692,1.733,1.625,1.643,11230409.1,1669334399999,18784316.89230000,74275,5330398.90000000,8912619.95080000,0
2022-11-25,1.644,1.658,1.596,1.646,6694501.7,1669420799999,10877653.55600000,48172,3102861.50000000,5048124.69080000,0
2022-11-26,1.647,1.704,1.588,1.612,8231656.5,1669507199999,13618772.65030000,52658,3889896.10000000,6441593.66000000,0
2022-11-27,1.612,1.677,1.597,1.614,8110576.7,1669593599999,13261311.69090000,51559,3829605.10000000,6260506.98720000,0
2022-11-28,1.615,1.627,1.482,1.591,13147693.0,1669679999999,20258319.13170000,83095,6099185.30000000,9401412.86790000,0
2022-11-29,1.591,1.638,1.561,1.606,8169064.1,1669766399999,13131158.83960000,54074,3836590.20000000,6170316.21190000,0
2022-11-30,1.606,1.753,1.606,1.723,14672588.4,1669852799999,24962591.30720000,84407,7332765.10000000,12475201.92770000,0
2022-12-01,1.723,1.768,1.686,1.742,12344001.2,1669939199999,21273573.91970000,71615,6293449.40000000,10856920.19310000,0
2022-12-02,1.742,1.8,1.711,1.756,11302172.9,1670025599999,19791587.12940000,66775,5614541.40000000,9835310.50880000,0
2022-12-03,1.756,1.756,1.664,1.67,6354284.8,1670111999999,10878604.60050000,37017,2901272.30000000,4970903.62760000,0
2022-12-04,1.669,1.74,1.668,1.723,6672540.0,1670198399999,11327174.21450000,33368,3359307.40000000,5706671.07130000,0
2022-12-05,1.723,1.78,1.682,1.718,11200024.3,1670284799999,19537903.71800000,48820,5547345.40000000,9677501.68980000,0
2022-12-06,1.718,1.79,1.714,1.789,11250335.8,1670371199999,19681945.11960000,49912,5687767.30000000,9951688.04170000,0
2022-12-07,1.79,1.83,1.666,1.691,14024691.3,1670457599999,24394954.63620000,61967,6805115.30000000,11842899.35310000,0
2022-12-08,1.691,1.715,1.638,1.706,8778615.7,1670543999999,14732235.30980000,43658,4226426.40000000,7094610.10800000,0
2022-12-09,1.706,1.738,1.681,1.698,5903614.4,1670630399999,10072404.87210000,28944,2813869.10000000,4803054.31840000,0
2022-12-10,1.697,1.73,1.686,1.705,3028627.4,1670716799999,5172268.55970000,18611,1568726.20000000,2679851.69190000,0
2022-12-11,1.704,1.713,1.622,1.633,4474359.9,1670803199999,7482062.27950000,25431,2040552.80000000,3415151.32270000,0
