timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.1715,0.1748,0.1626,0.1708,2212914.0,1668470399999,374983.71950000,3849,1005828.00000000,170284.48760000,0
2022-11-15,0.1705,0.1789,0.1703,0.1759,1997104.0,1668556799999,349944.86870000,3407,1033916.00000000,181091.71970000,0
2022-11-16,0.1753,0.1776,0.1722,0.1756,1266703.0,1668643199999,222354.92560000,2336,540806.00000000,95089.59700000,0
2022-11-17,0.1762,0.1934,0.1732,0.1771,5631879.0,1668729599999,1028648.39360000,7571,2776813.00000000,508899.24430000,0
2022-11-18,0.1771,0.1806,0.1759,0.1799,1266669.0,1668815999999,225218.07470000,1854,483619.00000000,86098.65030000,0
2022-11-19,0.1799,0.1928,0.1768,0.1781,3885280.0,1668902399999,713969.59360000,5225,1842403.00000000,340177.88970000,0
2022-11-20,0.1779,0.1913,0.1757,0.1772,3932885.0,1668988799999,724260.92550000,5555,1820489.00000000,335969.35230000,0
2022-11-21,0.1771,0.1827,0.1704,0.1731,2490586.0,1669075199999,438008.85260000,4407,1243092.00000000,219453.98970000,0
2022-11-22,0.1733,0.177,0.1695,0.1765,1213167.0,1669161599999,210315.01750000,2613,520627.00000000,90343.48350000,0
2022-11-23,0.1768,0.1837,0.1758,0.1837,1970743.0,1669247999999,355526.53580000,3851,1029646.00000000,185911.97450000,0
2022-11-24,0.1834,0.185,0.179,0.1814,1383447.0,1669334399999,251198.32820000,3030,644914.00000000,117262.95980000,0
2022-11-25,0.1816,0.1817,0.1766,0.1793,996679.0,1669420799999,177675.55930000,1965,522710.00000000,93243.34830000,0
2022-11-26,0.1791,0.1914,0.1778,0.1855,2870913.0,1669507199999,526369.67780000,4582,1388446.00000000,255191.28220000,0
2022-11-27,0.1856,0.1899,0.1819,0.1823,1900801.0,1669593599999,353214.07770000,2793,955550.00000000,178158.17530000,0
2022-11-28,0.183,0.2111,0.1767,0.1886,14824978.0,1669679999999,2826942.65020000,16935,7308173.00000000,1398918.58730000,0
2022-11-29,0.1885,0.1951,0.1854,0.1862,3484047.0,1669766399999,658729.63310000,4979,1339503.00000000,254070.26360000,0
2022-11-30,0.1859,0.194,0.1857,0.1916,1803559.0,1669852799999,342575.23930000,3657,846052.00000000,160868.22850000,0
2022-12-01,0.191,0.195,0.1875,0.1883,1522876.0,1669939199999,291243.08660000,2853,658674.00000000,126169.92170000,0
2022-12-02,0.1885,0.1938,0.1866,0.1914,1190407.0,1670025599999,226309.76040000,2634,584894.00000000,111346.46610000,0
2022-12-03,0.1914,0.2081,0.1911,0.1953,7326598.0,1670111999999,1458993.87810000,10793,3560761.00000000,712747.70620000,0
2022-12-04,0.195,0.2037,0.1898,0.1931,2210999.0,1670198399999,431614.03430000,3380,878682.00000000,172252.42700000,0
2022-12-05,0.1931,0.2096,0.1927,0.1957,7070844.0,1670284799999,1418779.88580000,9936,3553666.00000000,716623.79990000,0
2022-12-06,0.1958,0.1962,0.1914,0.1933,1544076.0,1670371199999,298139.39940000,2774,615290.00000000,118970.75630000,0
2022-12-07,0.1937,0.1938,0.1838,0.187,1133279.0,1670457599999,212946.46280000,2404,410308.00000000,77006.51640000,0
2022-12-08,0.1865,0.1988,0.1848,0.1969,2929707.0,1670543999999,563948.06830000,4542,1608988.00000000,310280.06140000,0
2022-12-09,0.1967,0.28,0.1927,0.2345,90727633.0,1670630399999,21962074.37030000,127007,44679781.00000000,10844562.65530000,0
2022-12-10,0.2345,0.2377,0.2016,0.2034,16097483.0,1670716799999,3456314.37670000,22646,7002576.00000000,1507162.32940000,0
2022-12-11,0.2035,0.228,0.201,0.2186,10957308.0,1670803199999,2343552.98230000,15368,5448586.00000000,1170213.21650000,0
2022-12-12,0.2192,0.2265,0.2041,0.205,6969330.0,1670889599999,1487662.57130000,10364,2842382.00000000,608490.34410000,0
2022-12-13,0.205,0.2155,0.2008,0.2094,4002904.0,1670975999999,829773.86270000,6591,1951519.00000000,405185.00220000,0
2022-12-14,0.2092,0.218,0.2052,0.2141,4652502.0,1671062399999,990757.28070000,6895,2315578.00000000,493912.88940000,0
2022-12-15,0.2142,0.2349,0.2058,0.2076,8999064.0,1671148799999,1971089.78030000,11111,4182007.00000000,920747.27870000,0
2022-12-16,0.2077,0.2148,0.1889,0.1891,3781676.0,1671235199999,768549.79760000,5145,1584133.00000000,322367.19170000,0
