timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-11-07,5.905,14.301,5.905,13.602,12804712.13,1699401599999,154421755.18060000,741171,6407647.05000000,77205726.91596000,0
2023-11-08,13.603,14.65,11.701,12.559,9246576.52,1699487999999,120325228.59117000,431968,4455120.72000000,58051761.97877000,0
2023-11-09,12.571,20.0,12.003,19.243,14788645.61,1699574399999,243954203.69621000,795184,7392568.59000000,122070347.95951000,0
2023-11-10,19.278,22.2,17.236,19.85,10046100.76,1699660799999,200754889.63896000,588652,4908972.11000000,98220326.10932000,0
2023-11-11,19.848,22.8,16.306,18.876,8429384.84,1699747199999,160721812.44886000,394897,4003672.52000000,76606118.07244000,0
2023-11-12,18.868,23.89,17.547,21.751,8563251.94,1699833599999,182685541.09161000,494034,4250697.23000000,90630563.77216000,0
2023-11-13,21.76,24.312,19.656,19.792,5844608.23,1699919999999,127132549.83350000,298282,2755343.00000000,60028456.44036000,0
2023-11-14,19.798,22.812,17.964,21.973,6149689.53,1700006399999,126798827.81404000,319203,3076110.53000000,63560916.14403000,0
2023-11-15,21.979,24.985,21.108,24.688,5255182.78,1700092799999,120441569.14548000,277263,2664632.07000000,61149492.48960000,0
2023-11-16,24.699,27.8,23.221,24.165,6047010.33,1700179199999,155236891.53648000,382023,2949999.47000000,75840315.45782000,0
2023-11-17,24.155,25.97,22.24,25.675,4991018.14,1700265599999,120892152.52532000,269493,2396087.46000000,58119747.12682000,0
2023-11-18,25.667,26.652,23.0,24.08,3890801.51,1700351999999,94896887.54842000,214082,1856525.07000000,45343110.80902000,0
2023-11-19,24.066,24.236,21.346,23.288,3896501.83,1700438399999,87804669.80017000,188462,1903521.40000000,42889454.49892000,0
2023-11-20,23.288,24.056,21.45,21.504,3230751.33,1700524799999,73395661.75531000,162775,1530649.15000000,34797698.33344000,0
2023-11-21,21.502,22.204,18.45,19.08,5047650.63,1700611199999,103025854.25964000,266153,2411132.35000000,49291141.83992000,0
2023-11-22,19.091,22.636,19.029,22.353,3348563.9,1700697599999,70124207.57661000,171463,1678825.91000000,35168584.46733000,0
2023-11-23,22.363,23.848,21.4,21.978,2623848.57,1700783999999,59326013.13525000,152286,1299174.26000000,29396105.35436000,0
2023-11-24,21.974,22.49,20.344,20.957,2785437.09,1700870399999,59728503.23971000,156138,1312385.86000000,28141284.57712000,0
2023-11-25,20.952,22.226,20.534,22.184,1709035.26,1700956799999,36168402.75822000,100929,880182.80000000,18651057.90150000,0
2023-11-26,22.185,22.365,19.3,20.156,2036727.89,1701043199999,42257174.28748000,121083,962544.36000000,19965273.95002000,0
2023-11-27,20.154,20.425,18.5,19.541,3303829.43,1701129599999,64158174.10466000,188527,1576752.32000000,30658325.44997000,0
2023-11-28,19.551,20.8,19.188,20.327,2533903.81,1701215999999,50713579.46389000,154775,1243139.28000000,24886135.69340000,0
2023-11-29,20.33,21.593,19.175,19.527,2495746.89,1701302399999,50643393.77692000,141494,1197326.11000000,24301516.52176000,0
2023-11-30,19.539,20.878,19.166,20.562,1315392.69,1701388799999,26092055.44945000,82415,630667.54000000,12518561.07564000,0
2023-12-01,20.56,21.99,20.2,21.864,2618467.4,1701475199999,55728770.03169000,154276,1270288.40000000,27038698.69473000,0
2023-12-02,21.866,33.33,21.827,31.988,8403968.83,1701561599999,234109271.04909000,570112,4325447.86000000,120689025.90458000,0
2023-12-03,31.962,38.663,30.999,37.762,7536855.96,1701647999999,250575942.81138000,611912,3842349.62000000,127977409.78370000,0
2023-12-04,37.795,54.74,36.661,52.237,10500732.59,1701734399999,456625606.27325000,1008784,5362773.41000000,233738454.72795000,0
2023-12-05,52.264,65.84,46.666,61.234,8376781.95,1701820799999,465568550.03699000,1203113,4207239.14000000,234443702.66813000,0
2023-12-06,61.23,69.8,40.685,53.987,18468895.1,1701907199999,988614673.15259000,2256167,9058768.01000000,486541000.96414000,0
2023-12-07,54.047,58.983,47.353,50.687,10591060.82,1701993599999,570994914.24532000,1286426,5247156.03000000,283472556.55437000,0
2023-12-08,50.69,54.2,46.177,51.118,6188998.0,1702079999999,310661256.52915000,769534,3040230.89000000,152695457.47178000,0
2023-12-09,51.127,56.685,50.5,50.863,5177100.45,1702166399999,276142985.48279000,627206,2773562.24000000,148014761.29764000,0
2023-12-10,50.862,53.5,48.58,51.613,2687022.33,1702252799999,136996787.78226000,340654,1267812.23000000,64708879.84423000,0
2023-12-11,51.624,53.173,44.109,46.669,3931694.07,1702339199999,186762695.28507000,481028,1808588.11000000,85928655.84640000,0
