timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,51.4,52.0,47.6,51.4,10839.465,1668470399999,543144.90000000,4987,4712.38000000,236734.92810000,0
2022-11-15,51.4,59.5,51.3,55.0,22522.133,1668556799999,1238791.81890000,9161,11742.57000000,646577.30010000,0
2022-11-16,55.1,55.1,50.7,52.2,7965.536,1668643199999,419861.16160000,4324,3416.88700000,180331.58500000,0
2022-11-17,52.3,53.7,50.8,52.9,4327.726,1668729599999,226533.12380000,3100,1893.03700000,99267.93460000,0
2022-11-18,53.0,54.1,52.2,53.6,4786.921,1668815999999,254199.50860000,3423,2135.09600000,113738.43820000,0
2022-11-19,53.6,53.7,52.0,53.0,3483.816,1668902399999,183879.16380000,2517,1268.95600000,66985.11660000,0
2022-11-20,53.0,57.0,52.0,52.9,13901.97,1668988799999,754345.82830000,6743,6518.06500000,354918.75890000,0
2022-11-21,52.9,52.9,49.0,50.1,7769.334,1669075199999,396361.42610000,4097,3012.17900000,154186.72910000,0
2022-11-22,50.1,52.0,48.4,51.4,7937.994,1669161599999,398187.76840000,4075,3854.41500000,193638.11650000,0
2022-11-23,51.4,53.3,50.4,51.1,9636.5,1669247999999,497022.47170000,5079,3834.88500000,198026.22520000,0
2022-11-24,51.2,57.0,51.0,53.0,20737.976,1669334399999,1105008.09550000,8505,11228.64400000,601797.09930000,0
2022-11-25,53.1,56.0,51.3,52.7,15998.284,1669420799999,859447.38100000,6403,7587.84500000,409777.72010000,0
2022-11-26,52.8,57.9,52.7,54.2,20033.837,1669507199999,1109510.80730000,7771,9979.54600000,554422.89090000,0
2022-11-27,54.3,57.5,52.0,52.6,18810.087,1669593599999,1042200.46450000,6523,8744.31700000,485332.49700000,0
2022-11-28,52.6,53.6,51.0,53.1,13306.827,1669679999999,694441.89530000,5377,7149.36000000,373789.98690000,0
2022-11-29,53.2,58.6,52.8,56.1,30292.069,1669766399999,1680058.81010000,12356,16011.30800000,888928.66400000,0
2022-11-30,56.1,57.7,54.3,57.6,13999.147,1669852799999,781865.00300000,5781,6385.54800000,358140.68600000,0
2022-12-01,57.5,57.5,53.8,55.6,10053.551,1669939199999,559469.63230000,4139,4488.64600000,249213.72410000,0
2022-12-02,55.6,57.5,54.4,57.2,10384.705,1670025599999,581832.83390000,4186,5040.11500000,282574.66620000,0
2022-12-03,57.1,58.1,55.3,55.8,9073.684,1670111999999,517370.46970000,3158,4352.03500000,248675.88300000,0
2022-12-04,55.7,57.3,53.7,56.4,12783.355,1670198399999,710172.67740000,4950,7207.62400000,400818.34680000,0
2022-12-05,56.3,59.0,54.1,55.3,19051.484,1670284799999,1073806.69030000,5577,10001.26300000,564481.64720000,0
2022-12-06,55.4,57.7,55.1,57.4,7536.034,1670371199999,423298.34290000,3468,3784.30500000,212986.03790000,0
2022-12-07,57.3,57.8,54.5,55.4,4770.482,1670457599999,265605.06770000,2346,1936.47900000,107667.33630000,0
2022-12-08,55.4,56.7,54.4,56.2,4473.029,1670543999999,247797.18150000,2280,2038.10500000,112971.00050000,0
2022-12-09,56.3,57.1,55.5,55.8,4852.761,1670630399999,273490.51060000,1913,1981.18000000,111826.38930000,0
2022-12-10,55.8,57.1,55.0,55.6,7906.574,1670716799999,441242.81560000,2250,4113.88900000,230106.77980000,0
2022-12-11,55.7,56.7,54.2,54.6,8676.738,1670803199999,481639.66330000,2586,3571.14600000,198690.39400000,0
2022-12-12,54.5,54.6,51.8,52.7,8000.082,1670889599999,421960.23790000,2755,4442.54600000,234257.72110000,0
2022-12-13,52.7,53.7,50.7,52.6,5207.597,1670975999999,270857.90510000,2129,2309.81400000,120478.54170000,0
2022-12-14,52.6,53.6,50.0,51.6,7710.518,1671062399999,401623.69590000,2387,3614.51100000,189515.38550000,0
2022-12-15,51.7,52.0,50.4,50.7,2197.911,1671148799999,112395.90990000,968,1153.34900000,59013.04060000,0
2022-12-16,50.8,51.3,45.5,46.6,5071.993,1671235199999,245831.82700000,2079,2599.17900000,125722.47400000,0
2022-12-17,46.8,48.1,45.9,47.8,2836.783,1671321599999,133632.69590000,1302,1275.46900000,60108.60330000,0
2022-12-18,48.0,50.2,47.6,48.7,7116.521,1671407999999,347663.49780000,4177,3951.43500000,193351.89450000,0
2022-12-19,48.8,49.7,45.9,46.2,7431.045,1671494399999,359991.50290000,2861,3929.58500000,190646.22070000,0
2022-12-20,46.2,48.1,45.8,47.9,3039.835,1671580799999,143276.93060000,1176,1383.53700000,65304.65270000,0
2022-12-21,47.8,47.9,46.8,47.2,1582.689,1671667199999,75029.41220000,758,485.85000000,23113.39620000,0
2022-12-22,47.1,47.3,45.9,47.0,1452.705,1671753599999,67889.54400000,732,641.19500000,29965.01230000,0
2022-12-23,46.9,47.6,46.7,47.4,1324.302,1671839999999,62347.40380000,665,546.67100000,25793.15010000,0
2022-12-24,47.6,48.1,47.4,48.0,1240.027,1671926399999,59270.71020000,677,667.47900000,31949.86750000,0
2022-12-25,48.1,48.2,46.8,47.0,1017.906,1672012799999,48260.18270000,546,285.11000000,13527.84580000,0
2022-12-26,47.1,48.0,47.0,47.9,1972.55,1672099199999,93641.08100000,815,889.43500000,42321.16410000,0
2022-12-27,47.9,48.3,46.6,47.1,1268.457,1672185599999,60235.03420000,662,601.83200000,28593.61010000,0
2022-12-28,47.0,47.1,45.6,46.0,1801.29,1672271999999,83457.28770000,898,821.02000000,38056.63530000,0
2022-12-29,46.0,46.3,44.8,45.3,3044.293,1672358399999,139088.25010000,1149,1114.81200000,51101.22290000,0
2022-12-30,45.3,45.3,44.2,44.7,1489.795,1672444799999,66570.07370000,737,781.19900000,34942.35330000,0
2022-12-31,44.7,45.7,44.5,45.3,1994.706,1672531199999,90311.02820000,803,1086.29800000,49179.12440000,0
2023-01-01,45.3,45.6,44.8,45.5,1033.96,1672617599999,46642.22080000,350,440.42800000,19892.03610000,0
2023-01-02,45.5,46.6,44.9,46.1,5117.972,1672703999999,234187.47300000,1187,2691.73700000,123979.07230000,0
