timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-26,7.03,7.03,6.303,6.777,4132651.62,1722038399999,27965733.15090000,113831,2398549.29000000,16262672.71633000,0
2024-07-27,6.773,6.85,6.35,6.465,2902047.18,1722124799999,19267324.82706000,80449,1405761.10000000,9338551.63067000,0
2024-07-28,6.463,6.552,6.154,6.266,1779112.68,1722211199999,11338638.55568000,48139,875366.38000000,5581317.02741000,0
2024-07-29,6.262,6.66,6.114,6.15,2493409.54,1722297599999,15940629.72516000,64030,1251506.98000000,8006578.57318000,0
2024-07-30,6.151,6.302,5.921,6.009,1839028.31,1722383999999,11278332.35840000,49649,897076.04000000,5506175.46456000,0
2024-07-31,6.013,6.18,5.701,5.744,2437149.11,1722470399999,14372333.93761000,70488,1169406.83000000,6899167.82271000,0
2024-08-01,5.742,5.894,5.106,5.604,5505511.87,1722556799999,29967775.30430000,137701,2814880.73000000,15317510.40884000,0
2024-08-02,5.602,5.649,4.83,4.937,3970023.1,1722643199999,20412131.77623000,104378,1866205.45000000,9606009.71242000,0
2024-08-03,4.935,5.335,4.757,4.95,4644617.18,1722729599999,23178228.99913000,106601,2277191.97000000,11372990.62282000,0
2024-08-04,4.948,5.084,4.317,4.531,4763026.42,1722815999999,22353261.21813000,90351,2222022.89000000,10435228.19252000,0
2024-08-05,4.534,4.603,3.41,4.131,13236235.1,1722902399999,52818253.41484000,236059,6209530.29000000,24845012.33860000,0
2024-08-06,4.132,4.9,4.122,4.679,7088799.74,1722988799999,33056754.41751000,164015,3675546.55000000,17146850.24114000,0
2024-08-07,4.676,4.981,4.292,4.374,5349783.11,1723075199999,24905209.98033000,114437,2662141.75000000,12405067.81893000,0
2024-08-08,4.374,5.076,4.272,5.044,5658348.53,1723161599999,26494939.14026000,133673,2942640.40000000,13821196.82385000,0
2024-08-09,5.042,5.128,4.804,4.853,3238950.11,1723247999999,15939271.14521000,70719,1553080.29000000,7641362.55345000,0
2024-08-10,4.851,4.96,4.75,4.899,1544163.13,1723334399999,7485462.05833000,46769,760716.84000000,3692024.17344000,0
2024-08-11,4.903,5.119,4.467,4.481,3162902.27,1723420799999,15109536.25389000,81637,1432866.87000000,6846044.12620000,0
2024-08-12,4.481,4.775,4.425,4.708,2892397.88,1723507199999,13360566.81657000,62240,1468155.65000000,6785709.39392000,0
2024-08-13,4.706,4.879,4.524,4.828,2189383.14,1723593599999,10299526.67221000,54319,1088149.69000000,5120940.03920000,0
2024-08-14,4.829,4.978,4.631,4.701,2450192.37,1723679999999,11787818.96427000,54043,1195206.31000000,5760097.99688000,0
2024-08-15,4.702,4.85,4.461,4.547,2315523.71,1723766399999,10670791.78507000,49590,1063357.75000000,4915017.30726000,0
2024-08-16,4.547,4.622,4.306,4.504,1757213.43,1723852799999,7860166.04090000,42460,883406.01000000,3951489.41185000,0
2024-08-17,4.503,4.57,4.393,4.514,1282696.17,1723939199999,5755637.17825000,30973,664331.01000000,2980181.87177000,0
2024-08-18,4.514,4.636,4.465,4.497,1719603.68,1724025599999,7837707.73995000,37888,852720.11000000,3890483.31425000,0
2024-08-19,4.499,4.616,4.315,4.613,1940561.43,1724111999999,8610874.59257000,58182,995999.22000000,4428889.41611000,0
2024-08-20,4.613,4.716,4.375,4.491,2792032.73,1724198399999,12776942.60556000,60977,1405291.53000000,6437192.82316000,0
2024-08-21,4.492,4.857,4.389,4.784,2348874.72,1724284799999,10853554.73321000,90131,1245723.10000000,5762708.23755000,0
2024-08-22,4.784,5.094,4.706,5.053,3552400.38,1724371199999,17608982.84489000,113273,1886467.96000000,9361416.67479000,0
2024-08-23,5.054,5.771,5.047,5.595,4550259.49,1724457599999,24498836.53292000,137016,2430748.31000000,13043358.15423000,0
2024-08-24,5.596,6.375,5.445,6.192,5134497.3,1724543999999,30864303.11743000,187151,2640961.38000000,15865942.67335000,0
2024-08-25,6.193,6.495,6.1,6.314,5516158.3,1724630399999,34482635.16351000,180240,2774430.91000000,17360911.94089000,0
2024-08-26,6.314,6.428,5.961,6.161,4500823.78,1724716799999,27784399.07903000,164017,2132131.17000000,13170823.38569000,0
2024-08-27,6.16,6.584,5.566,5.716,6982833.88,1724803199999,42306397.49646000,261565,3357282.19000000,20407273.81760000,0
2024-08-28,5.718,6.142,5.45,5.523,7896085.91,1724889599999,45651663.53065000,320937,3879487.28000000,22449875.93229000,0
2024-08-29,5.523,5.878,5.173,5.247,5318530.16,1724975999999,29510816.02699000,153590,2481921.34000000,13812402.98738000,0
2024-08-30,5.248,5.323,4.897,5.239,3507846.31,1725062399999,18087494.77293000,94231,1684219.94000000,8698223.79072000,0
2024-08-31,5.24,5.336,4.952,5.0,1947490.47,1725148799999,9978569.78606000,60939,963024.80000000,4939350.32665000,0
2024-09-01,4.998,5.165,4.801,4.82,3681883.4,1725235199999,18391093.84160000,93453,1902291.70000000,9511937.01966000,0
2024-09-02,4.82,5.154,4.776,5.089,3494916.85,1725321599999,17378740.71043000,127006,1700478.85000000,8458144.50746000,0
2024-09-03,5.089,5.206,4.7,4.709,2834078.26,1725407999999,14000967.36159000,81863,1428999.49000000,7044884.23728000,0
2024-09-04,4.709,5.051,4.53,4.92,3187861.8,1725494399999,15373028.21216000,87309,1569417.91000000,7572236.45689000,0
2024-09-05,4.92,4.959,4.627,4.677,2975989.98,1725580799999,14263220.47423000,78312,1363395.66000000,6543753.90409000,0
2024-09-06,4.678,4.942,4.439,4.68,3966618.79,1725667199999,18683192.39276000,107652,2009226.47000000,9469124.74112000,0
2024-09-07,4.68,4.893,4.676,4.697,1906060.27,1725753599999,9117601.69762000,55632,976554.02000000,4673413.95292000,0
