timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-09,0.04,7.89,0.04,6.5562,177842190.2,1712707199999,1105627020.47586000,2831986,91899316.40000000,569912390.74857000,0
2024-04-10,6.5526,6.735,5.5899,6.126,42382695.6,1712793599999,257259938.86055000,778270,20733222.20000000,125859800.59249000,0
2024-04-11,6.126,6.1283,4.975,5.0988,31534701.5,1712879999999,170909040.53912000,488629,15210647.10000000,82381231.35747000,0
2024-04-12,5.1007,5.33,3.5,4.1012,36457139.8,1712966399999,164299502.40638000,449093,17749016.50000000,80006495.06028000,0
2024-04-13,4.1018,4.3793,3.3218,3.9073,32095131.8,1713052799999,127769457.37504000,365886,16266101.70000000,64768521.78714000,0
2024-04-14,3.9072,4.5828,3.6781,4.4426,29142395.4,1713139199999,120207795.42985000,306241,14651828.50000000,60471903.71598000,0
2024-04-15,4.443,4.4434,3.7826,3.99,15399740.9,1713225599999,63380900.66445000,174081,7734375.30000000,31835404.70947000,0
2024-04-16,3.99,4.34,3.7,4.018,21705591.3,1713311999999,87949931.26990000,229650,10813439.60000000,43833466.59621000,0
2024-04-17,4.018,4.0932,3.32,3.4803,13864997.4,1713398399999,50361455.41424000,201552,6853680.80000000,24861840.09721000,0
2024-04-18,3.4804,3.5088,3.0917,3.3895,13303847.4,1713484799999,44023034.21408000,183667,6430704.80000000,21286763.61018000,0
2024-04-19,3.3895,4.456,3.0338,4.3166,29985244.7,1713571199999,116682674.70787000,448155,15262878.50000000,59426154.70625000,0
2024-04-20,4.3166,4.8855,4.115,4.608,23374076.4,1713657599999,103269930.77738000,350590,12028231.10000000,53180815.13177000,0
2024-04-21,4.609,4.6399,4.2289,4.3129,10715255.2,1713743999999,47229824.89842000,196364,5100080.70000000,22481042.71749000,0
2024-04-22,4.3111,4.52,4.0618,4.1821,10355544.1,1713830399999,44429731.77098000,193526,5112415.30000000,21975452.42452000,0
