timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-15,0.064,0.48,0.064,0.1789,637604071.4,1692143999999,116233132.15686000,409201,312673537.20000000,57139383.62597000,0
2023-08-16,0.1788,0.283,0.1703,0.2148,1320092045.0,1692230399999,295265053.75454000,920634,689787629.90000000,153763371.70179000,0
2023-08-17,0.2146,0.2155,0.155,0.1717,548176176.1,1692316799999,102004547.79238000,356878,268026396.80000000,49870811.52589000,0
2023-08-18,0.1716,0.1769,0.1482,0.1672,395539214.5,1692403199999,63241539.19725000,226491,187161940.20000000,29908025.90456000,0
2023-08-19,0.1671,0.171,0.154,0.1599,155269725.2,1692489599999,24828915.20524000,100316,74931010.40000000,11985598.98399000,0
2023-08-20,0.1598,0.1616,0.146,0.1517,142466447.4,1692575999999,21730682.56642000,95560,67048782.20000000,10223442.45399000,0
2023-08-21,0.1517,0.1555,0.1417,0.1488,105343642.3,1692662399999,15476573.99991000,72295,48173186.50000000,7078584.72195000,0
2023-08-22,0.1489,0.156,0.1438,0.1543,176122793.5,1692748799999,26326993.77708000,120841,85343052.70000000,12770732.62925000,0
2023-08-23,0.1543,0.1561,0.146,0.1525,136186445.0,1692835199999,20582022.68827000,101427,63903596.20000000,9657191.47013000,0
2023-08-24,0.1525,0.1525,0.1455,0.1479,68250466.8,1692921599999,10147263.44240000,46605,29459192.80000000,4387060.42574000,0
2023-08-25,0.1479,0.1483,0.1363,0.1391,91065934.2,1693007999999,12774042.72096000,46729,41840964.10000000,5863056.71369000,0
2023-08-26,0.1391,0.1393,0.129,0.1325,62480373.0,1693094399999,8378759.21255000,41834,28543362.30000000,3828434.24515000,0
2023-08-27,0.1326,0.1355,0.1278,0.1319,66901396.0,1693180799999,8740837.62274000,44729,32031049.20000000,4185412.81859000,0
2023-08-28,0.1319,0.1321,0.1254,0.1285,64676750.0,1693267199999,8286169.07108000,38121,30200278.70000000,3872514.88329000,0
2023-08-29,0.1284,0.1545,0.1184,0.1469,363933289.2,1693353599999,49851035.05382000,246828,176003562.90000000,24124330.29741000,0
2023-08-30,0.1469,0.1719,0.1433,0.1495,601833008.2,1693439999999,93302261.70918000,424346,301113034.50000000,46735796.46601000,0
