timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.004669,0.004815,0.004357,0.004657,107514842.0,1668470399999,496082.77653600,3883,57537528.00000000,266544.85387700,0
2022-11-15,0.004678,0.005214,0.004633,0.004908,303455320.0,1668556799999,1512137.06560600,9061,160337491.00000000,800083.58201400,0
2022-11-16,0.004906,0.005233,0.004846,0.00493,166101585.0,1668643199999,833480.97444200,5504,93050165.00000000,467944.73154100,0
2022-11-17,0.004918,0.00604,0.00487,0.005121,848567042.0,1668729599999,4392191.60204400,19182,412781488.00000000,2130645.41062300,0
2022-11-18,0.005116,0.005171,0.005007,0.005092,99499772.0,1668815999999,505399.99333800,2893,46475710.00000000,236222.54866800,0
2022-11-19,0.005085,0.0055,0.005065,0.005329,259454038.0,1668902399999,1374985.13951900,11187,130260584.00000000,689803.17176800,0
2022-11-20,0.005332,0.006219,0.004883,0.004915,282280912.0,1668988799999,1566908.15995300,12606,131678327.00000000,731075.48913100,0
2022-11-21,0.004925,0.005022,0.004727,0.004856,117447394.0,1669075199999,572938.07866600,4022,54852464.00000000,267839.01052300,0
2022-11-22,0.00484,0.005142,0.004738,0.005125,94534765.0,1669161599999,465935.27328300,3391,48080876.00000000,237191.12490100,0
2022-11-23,0.00513,0.005319,0.005104,0.005268,46859396.0,1669247999999,243827.85644600,2524,22258643.00000000,115889.26021300,0
2022-11-24,0.005282,0.005567,0.005103,0.005314,96210877.0,1669334399999,507373.64490700,3968,45570557.00000000,240966.62731900,0
2022-11-25,0.00532,0.005334,0.0051,0.005198,77692244.0,1669420799999,402549.57985500,3374,35410327.00000000,183693.27182100,0
2022-11-26,0.005192,0.005359,0.005182,0.00526,59758700.0,1669507199999,315114.19393000,2751,24200664.00000000,127943.62728400,0
2022-11-27,0.00525,0.005332,0.00511,0.005125,46714344.0,1669593599999,244970.00149800,2433,18958961.00000000,99372.97474400,0
2022-11-28,0.005123,0.005269,0.004813,0.005005,201172291.0,1669679999999,1004950.91622100,7084,106105309.00000000,529628.90744300,0
2022-11-29,0.005014,0.005397,0.004957,0.005213,257843002.0,1669766399999,1353015.04269400,8587,121932762.00000000,640042.32874600,0
2022-11-30,0.005209,0.005385,0.00518,0.005333,94124456.0,1669852799999,496662.45682500,4111,47648830.00000000,251478.52092400,0
2022-12-01,0.005356,0.005387,0.00521,0.005263,111199390.0,1669939199999,589641.37799200,3311,48278538.00000000,256188.94121600,0
