timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-02-20,0.2,7.71,0.2,1.965,194055514.31,1708473599999,519391694.65927000,1443289,88408749.33000000,237164608.84607000,0
2024-02-21,1.965,2.189,1.673,1.892,188378887.49,1708559999999,354481673.18188000,818168,91637788.64000000,172411188.04093000,0
2024-02-22,1.892,2.043,1.802,1.93,102619065.23,1708646399999,194529014.38561000,421228,51805069.89000000,98379960.51978000,0
2024-02-23,1.929,2.178,1.849,1.927,122304826.77,1708732799999,248219414.33511000,467692,61348010.60000000,124679009.77564000,0
2024-02-24,1.927,1.965,1.86,1.895,36500144.61,1708819199999,69763260.34676000,136587,18613982.20000000,35589321.41116000,0
2024-02-25,1.895,1.957,1.876,1.948,30751708.31,1708905599999,58806546.79055000,134209,14741077.80000000,28228668.81671000,0
2024-02-26,1.948,2.014,1.858,1.971,50584453.76,1708991999999,97625886.55587000,197162,25646494.90000000,49564690.89544000,0
2024-02-27,1.971,2.063,1.871,1.913,64541173.39,1709078399999,127018377.47114000,245134,31578474.36000000,62220082.47800000,0
2024-02-28,1.913,1.975,1.675,1.839,72470624.68,1709164799999,136198609.37593000,288754,34563957.73000000,65040174.68178000,0
2024-02-29,1.839,1.919,1.7,1.747,53330216.45,1709251199999,97490951.15331000,211878,26144081.65000000,47843473.96479000,0
2024-03-01,1.748,1.843,1.747,1.816,36189920.14,1709337599999,64995920.04139000,138511,17833381.91000000,32046613.62461000,0
2024-03-02,1.816,1.85,1.79,1.842,29897302.96,1709423999999,54387983.62832000,99889,14477481.30000000,26347315.52509000,0
2024-03-03,1.842,1.94,1.707,1.843,50953441.98,1709510399999,95219733.15460000,165356,25374835.15000000,47480441.28780000,0
2024-03-04,1.844,1.874,1.741,1.795,43415480.26,1709596799999,78319491.46534000,145944,20523055.21000000,37059643.02015000,0
2024-03-05,1.795,2.358,1.743,2.252,244567758.35,1709683199999,521842547.25685000,1004498,126508774.07000000,270215523.09399000,0
2024-03-06,2.252,2.566,2.18,2.548,154395955.47,1709769599999,367296908.14550000,659997,78700865.75000000,187457182.55625000,0
2024-03-07,2.548,2.579,2.307,2.423,60781330.14,1709855999999,145406858.39771000,291126,28929275.78000000,69242070.08139000,0
2024-03-08,2.423,2.488,2.18,2.293,66477607.65,1709942399999,153341000.55537000,249953,31811991.91000000,73374086.60138000,0
2024-03-09,2.293,2.5,2.267,2.41,69172349.77,1710028799999,164740875.85751000,290818,34854188.92000000,83123755.63549000,0
2024-03-10,2.409,2.527,2.3,2.426,61896978.64,1710115199999,148909106.50968000,273339,30533039.47000000,73543917.37609000,0
2024-03-11,2.427,2.597,2.3,2.591,88292300.53,1710201599999,217484748.36164000,397381,45902106.92000000,113212413.81625000,0
2024-03-12,2.591,2.673,2.3,2.48,68570102.66,1710287999999,169233722.00698000,307080,33999394.69000000,84025019.50446000,0
2024-03-13,2.481,2.67,2.366,2.629,70082046.39,1710374399999,176885173.85944000,277697,35045646.52000000,88589804.43603000,0
2024-03-14,2.629,2.654,2.252,2.389,74923259.39,1710460799999,182012495.10875000,280062,34776244.80000000,84497737.16427000,0
2024-03-15,2.389,2.425,2.002,2.197,74761654.3,1710547199999,162774951.05449000,281219,35139608.52000000,76462661.02674000,0
2024-03-16,2.197,2.26,1.984,2.039,52799169.69,1710633599999,113146286.87338000,202941,24823877.30000000,53305015.04518000,0
2024-03-17,2.039,2.146,1.916,2.116,41273862.49,1710719999999,84354516.01208000,152296,20930314.01000000,42866595.20145000,0
2024-03-18,2.116,2.121,1.906,1.935,38850176.61,1710806399999,77668316.97399000,136342,17767674.48000000,35539203.27885000,0
2024-03-19,1.936,2.082,1.75,1.916,73394777.74,1710892799999,140233365.88095000,271645,35802167.32000000,68566309.56654000,0
2024-03-20,1.916,2.153,1.859,2.137,48955798.31,1710979199999,98476157.53596000,170125,25485391.13000000,51358134.85003000,0
2024-03-21,2.136,2.183,2.05,2.089,29142854.03,1711065599999,61901826.77733000,106303,13897530.72000000,29548365.47031000,0
2024-03-22,2.088,2.169,1.973,2.036,28199662.78,1711151999999,58338347.37419000,110450,13466186.86000000,27907118.67803000,0
2024-03-23,2.035,2.119,1.998,2.07,15884697.26,1711238399999,32796877.54148000,57150,8361140.13000000,17275115.40475000,0
2024-03-24,2.069,2.194,2.034,2.188,20020134.76,1711324799999,42463218.32670000,65987,10320240.48000000,21917727.77290000,0
2024-03-25,2.188,2.33,2.13,2.281,30329453.35,1711411199999,67460220.18220000,117270,15674382.86000000,34877901.63078000,0
2024-03-26,2.281,2.397,2.214,2.306,27836440.42,1711497599999,64338126.38485000,103561,13499659.70000000,31226083.44266000,0
2024-03-27,2.306,2.404,2.192,2.236,32472762.71,1711583999999,74132593.26954000,122463,15437263.19000000,35282780.24094000,0
2024-03-28,2.235,2.369,2.207,2.277,25599858.38,1711670399999,58683617.25841000,95563,12540118.05000000,28769843.23083000,0
2024-03-29,2.278,2.284,2.145,2.181,20192065.73,1711756799999,44360268.40117000,76728,8776001.08000000,19279287.08930000,0
2024-03-30,2.181,2.201,2.1,2.135,17021034.19,1711843199999,36749056.62021000,66537,7618037.60000000,16465652.58816000,0
2024-03-31,2.135,2.191,2.121,2.179,12247024.96,1711929599999,26486052.69836000,49642,5747625.32000000,12437233.60232000,0
2024-04-01,2.179,2.184,1.971,2.04,27638819.6,1712015999999,56708677.41049000,105082,12392950.42000000,25397272.94021000,0
2024-04-02,2.04,2.046,1.876,1.917,28583658.77,1712102399999,55131092.69131000,131002,13319443.63000000,25703392.10939000,0
2024-04-03,1.917,1.97,1.85,1.894,20359657.45,1712188799999,39022750.69788000,99119,8987641.15000000,17251518.75122000,0
2024-04-04,1.893,1.986,1.841,1.923,18739573.58,1712275199999,35957279.55690000,88072,9347494.51000000,17963934.04123000,0
2024-04-05,1.923,1.928,1.802,1.886,17605890.47,1712361599999,32834352.70566000,83590,8134169.63000000,15183003.82935000,0
2024-04-06,1.886,1.955,1.878,1.931,7884420.78,1712447999999,15094763.64844000,37591,3878306.78000000,7426377.22896000,0
2024-04-07,1.931,1.976,1.917,1.975,10978673.68,1712534399999,21364631.49029000,47531,5626347.27000000,10950179.76824000,0
2024-04-08,1.975,2.079,1.92,2.054,20586427.84,1712620799999,41529537.09339000,83586,10416249.81000000,21019225.96606000,0
2024-04-09,2.055,2.069,1.866,1.878,26365061.73,1712707199999,51482939.72677000,98893,12139686.96000000,23712381.53897000,0
2024-04-10,1.877,1.896,1.77,1.861,26536810.82,1712793599999,48803223.90514000,102868,12530505.80000000,23059339.33679000,0
2024-04-11,1.862,1.919,1.815,1.826,16514611.37,1712879999999,30703010.00859000,71586,8028748.30000000,14935819.02808000,0
2024-04-12,1.826,1.857,1.305,1.521,48351220.16,1712966399999,77134320.69982000,203755,21790855.51000000,34713577.67717000,0
2024-04-13,1.522,1.522,1.122,1.422,75324524.43,1713052799999,103284660.75411000,343887,36709962.18000000,50402900.12594000,0
2024-04-14,1.421,1.51,1.339,1.485,45412060.33,1713139199999,65052945.68999000,230759,22715030.39000000,32541599.42536000,0
2024-04-15,1.484,1.511,1.283,1.346,51616603.75,1713225599999,71651482.48096000,164411,25759874.27000000,35702023.95122000,0
2024-04-16,1.346,1.357,1.227,1.272,33827722.14,1713311999999,43513524.42808000,122439,16186412.53000000,20814178.56081000,0
2024-04-17,1.273,1.306,1.183,1.231,26196823.86,1713398399999,32494126.12396000,100042,12814553.35000000,15907275.99799000,0
2024-04-18,1.23,1.271,1.189,1.251,14171490.71,1713484799999,17496030.03543000,82455,7230297.78000000,8931232.36522000,0
2024-04-19,1.251,1.275,1.148,1.207,21127063.62,1713571199999,25997248.81021000,101485,10455518.50000000,12885649.19092000,0
2024-04-20,1.207,1.352,1.185,1.352,17969512.27,1713657599999,22719490.09993000,75443,9167564.19000000,11598371.95314000,0
2024-04-21,1.352,1.373,1.287,1.312,14268905.98,1713743999999,18908318.83538000,51136,6886180.65000000,9131321.54293000,0
2024-04-22,1.313,1.375,1.306,1.337,15631148.6,1713830399999,20901115.68553000,53051,7814923.28000000,10452508.60600000,0
2024-04-23,1.337,1.353,1.29,1.316,13754804.08,1713916799999,18174238.72054000,43755,6511765.84000000,8604389.05568000,0
2024-04-24,1.317,1.397,1.19,1.202,22474815.84,1714003199999,29196602.18773000,90109,11120488.92000000,14453409.97117000,0
2024-04-25,1.202,1.221,1.138,1.193,29979428.56,1714089599999,35313496.27599000,101507,15169967.43000000,17881331.96352000,0
2024-04-26,1.193,1.206,1.15,1.162,19623621.27,1714175999999,23100348.72828000,80714,9557369.78000000,11252381.50335000,0
2024-04-27,1.162,1.268,1.1,1.256,27783097.05,1714262399999,32923150.93620000,106192,14779154.44000000,17565534.15289000,0
2024-04-28,1.256,1.337,1.253,1.26,27116329.35,1714348799999,35047893.44926000,82159,13476705.53000000,17430287.20518000,0
2024-04-29,1.26,1.284,1.172,1.213,27144863.43,1714435199999,32755500.70370000,99328,13408725.39000000,16174702.33068000,0
2024-04-30,1.213,1.24,1.106,1.226,30199812.89,1714521599999,35354185.51524000,99408,15231244.02000000,17850208.06849000,0
2024-05-01,1.225,1.292,1.15,1.272,51699164.62,1714607999999,63174036.53335000,162842,26151162.95000000,31974846.39064000,0
2024-05-02,1.272,1.334,1.209,1.28,20820254.45,1714694399999,26596684.55302000,78273,10411696.18000000,13302456.42624000,0
2024-05-03,1.281,1.369,1.272,1.358,17732396.02,1714780799999,23316957.16350000,54908,8791830.72000000,11571473.69546000,0
2024-05-04,1.359,1.391,1.337,1.345,11513380.95,1714867199999,15630142.59934000,35483,4996612.39000000,6788287.13436000,0
2024-05-05,1.346,1.372,1.308,1.364,12107283.44,1714953599999,16234612.18527000,40775,5478484.83000000,7349905.56373000,0
2024-05-06,1.364,1.429,1.305,1.316,23867052.69,1715039999999,32451066.30448000,74454,12110803.39000000,16476485.21935000,0
2024-05-07,1.317,1.328,1.231,1.234,18265827.25,1715126399999,23489770.76317000,66722,8620403.77000000,11071493.63812000,0
2024-05-08,1.233,1.285,1.21,1.232,13751271.08,1715212799999,17144150.85984000,49821,6827216.99000000,8508045.63494000,0
2024-05-09,1.232,1.276,1.211,1.263,10247209.16,1715299199999,12725406.92907000,35212,4998775.92000000,6210851.17160000,0
2024-05-10,1.263,1.288,1.19,1.206,11471160.0,1715385599999,14161356.97636000,37437,5544257.83000000,6848384.19008000,0
2024-05-11,1.206,1.247,1.196,1.222,6932805.93,1715471999999,8475593.71506000,25263,3584158.69000000,4384450.21328000,0
2024-05-12,1.222,1.232,1.193,1.198,5422661.9,1715558399999,6583348.55700000,22156,2403939.14000000,2921356.35185000,0
2024-05-13,1.198,1.218,1.123,1.181,13240968.52,1715644799999,15642501.83540000,62161,6464130.40000000,7632987.19444000,0
2024-05-14,1.181,1.189,1.134,1.152,17420175.15,1715731199999,20094471.93887000,75289,9152618.77000000,10558302.54805000,0
2024-05-15,1.152,1.19,1.128,1.188,23352518.0,1715817599999,27053600.21769000,95785,12437716.90000000,14412527.81266000,0
2024-05-16,1.188,1.198,1.072,1.104,28798170.06,1715903999999,32602678.99956000,104311,13947193.19000000,15788295.47641000,0
2024-05-17,1.104,1.175,1.084,1.153,20519859.76,1715990399999,23321713.51630000,75070,9403126.45000000,10683138.07573000,0
2024-05-18,1.154,1.176,1.126,1.154,14555500.48,1716076799999,16730390.16042000,54373,6769072.39000000,7781453.49602000,0
2024-05-19,1.155,1.164,1.039,1.056,20767828.68,1716163199999,22716019.68170000,73138,9892193.72000000,10811259.61046000,0
2024-05-20,1.056,1.219,1.02,1.209,39924226.6,1716249599999,44522228.55836000,131753,20799913.98000000,23223846.25214000,0
2024-05-21,1.209,1.281,1.188,1.26,42899665.01,1716335999999,52848317.72367000,146213,21117077.92000000,26031945.27503000,0
2024-05-22,1.259,1.279,1.175,1.213,30312976.6,1716422399999,36846896.60062000,110293,14798440.37000000,17991163.54037000,0
2024-05-23,1.213,1.292,1.15,1.233,50240207.16,1716508799999,61957583.10303000,177569,24971607.36000000,30809914.02344000,0
2024-05-24,1.233,1.292,1.188,1.219,26841749.55,1716595199999,32978777.38783000,82715,14316833.51000000,17596584.45410000,0
2024-05-25,1.219,1.282,1.205,1.25,16597424.75,1716681599999,20704197.93449000,50809,8557522.56000000,10679864.14634000,0
2024-05-26,1.251,1.285,1.23,1.257,19083187.9,1716767999999,23933597.03729000,61984,9359282.26000000,11740581.96785000,0
2024-05-27,1.258,1.334,1.252,1.311,27085665.34,1716854399999,35443769.50406000,84077,14043283.41000000,18381334.37374000,0
2024-05-28,1.311,1.311,1.219,1.248,26795851.06,1716940799999,33711395.37600000,90825,12839472.92000000,16148536.02676000,0
2024-05-29,1.249,1.27,1.201,1.215,22109712.57,1717027199999,27222122.26276000,77183,10575080.61000000,13020937.30133000,0
2024-05-30,1.216,1.236,1.172,1.186,20002922.89,1717113599999,24132629.41079000,57530,8898230.02000000,10747383.27944000,0
2024-05-31,1.187,1.207,1.156,1.176,16516463.98,1717199999999,19557566.42668000,45521,7543413.29000000,8936266.89679000,0
2024-06-01,1.177,1.183,1.157,1.172,9227756.15,1717286399999,10806327.42367000,25620,4383922.39000000,5136472.65525000,0
2024-06-02,1.172,1.245,1.171,1.219,23966476.63,1717372799999,29006877.42481000,55006,11666504.88000000,14111154.16382000,0
2024-06-03,1.219,1.254,1.191,1.2,18413778.75,1717459199999,22577682.65900000,50109,8687599.67000000,10659813.98014000,0
2024-06-04,1.201,1.369,1.191,1.293,57776412.93,1717545599999,75006605.85345000,155889,27779663.28000000,36048747.20520000,0
2024-06-05,1.295,1.399,1.284,1.332,43218448.3,1717631999999,58347322.97861000,127802,22370497.69000000,30210991.10755000,0
2024-06-06,1.332,1.336,1.262,1.29,24459426.29,1717718399999,31922303.68506000,63011,11059131.48000000,14435890.52021000,0
2024-06-07,1.29,1.351,1.057,1.205,51663714.02,1717804799999,63652136.32286000,142174,25190523.64000000,30955851.12372000,0
2024-06-08,1.206,1.212,1.113,1.13,27012802.2,1717891199999,31252951.95119000,64930,13411174.52000000,15490498.14822000,0
2024-06-09,1.129,1.191,1.114,1.168,14758063.53,1717977599999,17036356.33977000,35949,7479189.38000000,8631394.24507000,0
2024-06-10,1.169,1.173,1.107,1.119,18110227.18,1718063999999,20496923.57755000,50649,8465734.53000000,9580293.53132000,0
2024-06-11,1.118,1.124,1.03,1.035,29173011.55,1718150399999,31290163.19181000,91799,13654033.67000000,14637868.70845000,0
2024-06-12,1.036,1.108,0.99,1.071,25223960.64,1718236799999,26810405.31846000,72117,12455270.78000000,13249009.35207000,0
2024-06-13,1.072,1.072,0.976,0.987,19973275.44,1718323199999,20252377.23400000,59123,9333489.88000000,9466195.47753000,0
2024-06-14,0.988,1.01,0.901,0.943,23978379.77,1718409599999,23067284.81701000,63160,12253915.11000000,11785694.89517000,0
2024-06-15,0.944,0.977,0.923,0.934,12986070.2,1718495999999,12358559.31124000,36734,6839623.08000000,6510201.21071000,0
2024-06-16,0.934,0.949,0.911,0.935,11258172.82,1718582399999,10508282.56890000,28817,5622828.83000000,5249287.18280000,0
2024-06-17,0.936,0.943,0.787,0.795,45444695.36,1718668799999,38437268.72217000,88331,22121073.41000000,18748522.80016000,0
2024-06-18,0.795,0.803,0.664,0.736,51288767.35,1718755199999,37567795.89845000,111487,25503488.86000000,18678005.21960000,0
2024-06-19,0.736,0.756,0.7,0.732,31923571.3,1718841599999,23290578.40500000,74529,15658746.55000000,11431236.96751000,0
2024-06-20,0.732,0.758,0.695,0.725,28157973.33,1718927999999,20628926.20095000,56806,13575416.64000000,9953814.69552000,0
2024-06-21,0.724,0.744,0.702,0.719,21597313.62,1719014399999,15663217.56434000,51638,10442760.98000000,7572411.96921000,0
2024-06-22,0.719,0.737,0.704,0.719,10250022.48,1719100799999,7332755.99334000,25317,4605050.90000000,3297424.21459000,0
2024-06-23,0.72,0.75,0.686,0.697,12308381.31,1719187199999,8885215.83140000,26868,5607522.61000000,4055084.70977000,0
2024-06-24,0.697,0.735,0.632,0.73,27470556.62,1719273599999,18876417.36817000,67192,12882839.46000000,8868432.32720000,0
