timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.218,0.222,0.199,0.22,2030387.1,1668470399999,428913.72920000,3633,962150.70000000,203876.85100000,0
2022-11-15,0.22,0.335,0.215,0.242,22643951.8,1668556799999,6243065.13440000,35125,11188906.60000000,3087737.55930000,0
2022-11-16,0.242,0.279,0.23,0.237,11693136.4,1668643199999,2918911.14620000,15676,5746362.50000000,1438012.33830000,0
2022-11-17,0.237,0.237,0.222,0.229,2269126.8,1668729599999,521268.80460000,3220,1040905.00000000,239580.98150000,0
2022-11-18,0.23,0.269,0.23,0.241,6815868.9,1668815999999,1661110.23570000,10354,3444527.30000000,841948.97100000,0
2022-11-19,0.243,0.243,0.232,0.236,1303681.0,1668902399999,306742.30120000,2546,714790.90000000,168434.98170000,0
2022-11-20,0.236,0.242,0.21,0.221,3094858.2,1668988799999,717555.52540000,4552,1491845.60000000,347553.03870000,0
2022-11-21,0.222,0.234,0.208,0.217,2966155.8,1669075199999,652738.17250000,4501,1608362.30000000,354219.97230000,0
2022-11-22,0.216,0.225,0.21,0.224,2052841.7,1669161599999,447671.30930000,2559,975686.40000000,212861.19980000,0
2022-11-23,0.225,0.234,0.223,0.233,2191453.7,1669247999999,500332.39310000,3019,1163701.30000000,265862.65600000,0
2022-11-24,0.233,0.237,0.225,0.231,1392046.6,1669334399999,321656.04620000,2486,712687.90000000,164599.28860000,0
2022-11-25,0.232,0.255,0.23,0.237,6368932.4,1669420799999,1525117.58270000,9417,3312148.10000000,793538.82140000,0
2022-11-26,0.238,0.24,0.232,0.235,2624528.7,1669507199999,621099.95810000,3419,1409047.50000000,333599.57920000,0
2022-11-27,0.234,0.251,0.234,0.238,4014936.5,1669593599999,970089.11260000,6058,2091938.80000000,506067.76960000,0
2022-11-28,0.238,0.359,0.232,0.251,35531352.1,1669679999999,10039499.71920000,49316,17931686.40000000,5077097.75250000,0
2022-11-29,0.251,0.27,0.241,0.25,9280880.8,1669766399999,2357068.41000000,12219,4930866.10000000,1253632.09320000,0
2022-11-30,0.249,0.257,0.246,0.255,2956892.0,1669852799999,744446.69530000,5027,1397601.50000000,352770.07410000,0
2022-12-01,0.255,0.255,0.246,0.248,1830303.3,1669939199999,457657.73210000,4088,936574.70000000,234353.35960000,0
2022-12-02,0.248,0.25,0.238,0.247,2829303.4,1670025599999,692511.47150000,4965,1289168.40000000,316110.64330000,0
2022-12-03,0.247,0.256,0.244,0.247,2880296.0,1670111999999,722074.19790000,4993,1556894.40000000,390772.73680000,0
2022-12-04,0.247,0.249,0.244,0.249,1622158.1,1670198399999,399839.16580000,3887,878322.90000000,216769.17630000,0
2022-12-05,0.249,0.263,0.247,0.259,7545798.9,1670284799999,1919528.97590000,9398,3666611.40000000,932209.47100000,0
2022-12-06,0.259,0.267,0.252,0.26,4682155.1,1670371199999,1211944.96160000,8045,2604720.20000000,675342.18950000,0
2022-12-07,0.26,0.262,0.241,0.251,5778265.2,1670457599999,1447364.70070000,7227,2695560.70000000,675384.64680000,0
2022-12-08,0.251,0.274,0.246,0.262,7964277.0,1670543999999,2068562.92740000,9949,3908084.00000000,1017528.94980000,0
2022-12-09,0.262,0.275,0.259,0.266,4292909.2,1670630399999,1149018.24500000,5559,2192184.30000000,587318.51870000,0
2022-12-10,0.265,0.38,0.263,0.271,40440910.4,1670716799999,12582408.03290000,64800,19846205.00000000,6202727.49800000,0
2022-12-11,0.271,0.314,0.268,0.283,15273606.5,1670803199999,4428012.82160000,22614,7742697.70000000,2244206.06790000,0
2022-12-12,0.283,0.312,0.278,0.307,11613422.9,1670889599999,3465486.56910000,20563,6090072.50000000,1818975.53480000,0
2022-12-13,0.307,0.322,0.291,0.301,9741276.5,1670975999999,2979072.35010000,15057,4546423.60000000,1394735.19130000,0
2022-12-14,0.3,0.303,0.263,0.276,8617266.9,1671062399999,2453281.82360000,14967,4020867.80000000,1146675.17860000,0
2022-12-15,0.276,0.278,0.262,0.266,3369149.4,1671148799999,898053.36660000,6867,1618428.70000000,431224.53220000,0
2022-12-16,0.267,0.278,0.233,0.242,5460845.6,1671235199999,1423757.41020000,8682,2603181.60000000,679654.84000000,0
2022-12-17,0.241,0.244,0.222,0.239,3388922.2,1671321599999,790488.08680000,5613,1806503.10000000,421594.52720000,0
2022-12-18,0.238,0.239,0.23,0.235,1349942.5,1671407999999,315969.46950000,2661,646347.20000000,151393.70890000,0
2022-12-19,0.236,0.236,0.217,0.221,2742580.1,1671494399999,626020.35170000,3855,1407721.10000000,321605.38690000,0
2022-12-20,0.22,0.237,0.219,0.231,3343192.0,1671580799999,766706.77000000,3922,1666844.60000000,382462.12970000,0
2022-12-21,0.23,0.232,0.224,0.227,1470942.8,1671667199999,334126.00700000,2199,717442.90000000,163032.85460000,0
2022-12-22,0.228,0.232,0.222,0.229,1737872.1,1671753599999,395103.80020000,2535,879061.80000000,199849.17130000,0
2022-12-23,0.229,0.231,0.227,0.228,822276.3,1671839999999,187935.01730000,1574,449230.80000000,102811.46000000,0
2022-12-24,0.228,0.266,0.228,0.237,14864932.3,1671926399999,3635936.66840000,20473,7604915.60000000,1860645.38240000,0
2022-12-25,0.237,0.237,0.225,0.229,2993450.3,1672012799999,691263.03780000,3380,1454230.80000000,335923.31370000,0
2022-12-26,0.229,0.229,0.224,0.226,1562866.1,1672099199999,353229.86230000,2598,687801.20000000,155660.15040000,0
2022-12-27,0.227,0.228,0.22,0.222,1503691.5,1672185599999,335658.39250000,2779,813965.90000000,181803.05530000,0
2022-12-28,0.223,0.223,0.209,0.211,2430285.4,1672271999999,520151.67760000,3598,1162560.60000000,248710.55060000,0
2022-12-29,0.21,0.212,0.204,0.207,2400371.1,1672358399999,499059.18080000,3065,1158366.30000000,241268.04310000,0
2022-12-30,0.207,0.225,0.205,0.215,5404346.8,1672444799999,1152513.58820000,7083,2718546.00000000,579821.77560000,0
2022-12-31,0.216,0.221,0.206,0.209,3839152.7,1672531199999,817526.99550000,4728,1996442.60000000,426283.02180000,0
2023-01-01,0.209,0.213,0.207,0.213,1330174.7,1672617599999,278895.18620000,1795,763092.80000000,160172.50430000,0
2023-01-02,0.213,0.219,0.21,0.216,1400464.1,1672703999999,301000.65970000,2025,737634.20000000,158772.06770000,0
2023-01-03,0.217,0.219,0.213,0.216,1272591.5,1672790399999,274826.11460000,1891,653598.60000000,141263.78100000,0
2023-01-04,0.215,0.223,0.214,0.22,3364992.8,1672876799999,735432.09650000,3747,1811504.70000000,396613.91780000,0
2023-01-05,0.221,0.225,0.216,0.217,1429640.3,1672963199999,312874.38570000,2231,688193.20000000,150809.40110000,0
2023-01-06,0.216,0.219,0.211,0.218,4728189.3,1673049599999,1018413.27890000,4769,2282184.30000000,492350.55130000,0
2023-01-07,0.219,0.222,0.217,0.219,3194091.6,1673135999999,700254.81810000,3537,1773466.80000000,389405.36040000,0
2023-01-08,0.22,0.228,0.217,0.227,3464419.0,1673222399999,764286.02400000,3349,1499009.90000000,329938.56480000,0
2023-01-09,0.227,0.24,0.225,0.23,4929376.9,1673308799999,1141623.52200000,6481,2418576.10000000,561045.02640000,0
2023-01-10,0.23,0.243,0.227,0.236,6804019.2,1673395199999,1602776.29860000,7701,3244173.10000000,764484.22260000,0
2023-01-11,0.236,0.239,0.229,0.238,4723458.8,1673481599999,1099708.04680000,4580,2625638.10000000,611786.01120000,0
2023-01-12,0.239,0.248,0.233,0.247,6625215.7,1673567999999,1596961.87840000,7476,3438757.10000000,829674.98600000,0
2023-01-13,0.246,0.257,0.241,0.255,4871347.5,1673654399999,1207163.38260000,6240,2608813.30000000,647289.75800000,0
2023-01-14,0.254,0.275,0.247,0.267,8327433.5,1673740799999,2178655.52200000,10003,4429989.00000000,1161301.94010000,0
2023-01-15,0.267,0.285,0.26,0.272,6912034.3,1673827199999,1867514.60510000,9847,3435278.30000000,929479.46200000,0
2023-01-16,0.271,0.282,0.262,0.276,5954341.0,1673913599999,1627688.45160000,8575,3139494.70000000,859528.49650000,0
2023-01-17,0.276,0.277,0.266,0.27,3287956.8,1673999999999,891194.11690000,5046,1742887.50000000,472860.35200000,0
2023-01-18,0.27,0.275,0.239,0.249,4967274.7,1674086399999,1290807.22870000,7215,2098395.70000000,547154.87580000,0
2023-01-19,0.25,0.263,0.249,0.26,3336834.3,1674172799999,854621.03590000,4314,1677497.90000000,430038.45820000,0
2023-01-20,0.26,0.277,0.251,0.276,3910255.8,1674259199999,1034048.24020000,5605,1920768.10000000,508409.99210000,0
2023-01-21,0.276,0.279,0.269,0.271,3194445.7,1674345599999,877894.62040000,5512,1503619.60000000,413538.12850000,0
2023-01-22,0.272,0.284,0.27,0.277,3452348.6,1674431999999,951702.16840000,5556,1645539.00000000,453620.69790000,0
2023-01-23,0.278,0.297,0.278,0.288,5798867.2,1674518399999,1655497.67090000,8614,2842079.40000000,811576.08500000,0
2023-01-24,0.289,0.312,0.269,0.275,7072290.9,1674604799999,2073314.80870000,10869,3420659.20000000,1005164.77890000,0
2023-01-25,0.276,0.287,0.266,0.282,4118119.5,1674691199999,1133909.83770000,6716,1914262.20000000,528435.66270000,0
2023-01-26,0.283,0.287,0.276,0.282,3941599.8,1674777599999,1108950.43050000,5839,1627643.00000000,459043.35060000,0
2023-01-27,0.282,0.303,0.273,0.293,5457616.0,1674863999999,1565460.00880000,7615,2682881.80000000,770708.85240000,0
2023-01-28,0.294,0.296,0.281,0.288,3361521.5,1674950399999,971282.66600000,4366,1722381.30000000,498500.94220000,0
2023-01-29,0.287,0.295,0.285,0.294,2108162.2,1675036799999,610279.71600000,3350,885561.20000000,256950.49000000,0
2023-01-30,0.294,0.297,0.264,0.269,3817260.1,1675123199999,1059884.16890000,6126,1634483.10000000,454152.07430000,0
2023-01-31,0.268,0.298,0.262,0.276,11640624.0,1675209599999,3227173.18180000,16897,5486795.00000000,1522182.69990000,0
2023-02-01,0.276,0.29,0.266,0.285,7372639.0,1675295999999,2037554.66100000,9843,4076598.10000000,1131076.59280000,0
2023-02-02,0.285,0.299,0.282,0.283,6739596.9,1675382399999,1963323.99730000,10573,3365738.50000000,981865.77840000,0
2023-02-03,0.284,0.309,0.283,0.302,8280712.7,1675468799999,2470492.57060000,12288,4073818.30000000,1215909.20370000,0
2023-02-04,0.303,0.309,0.297,0.305,4173431.5,1675555199999,1267016.99980000,6204,2109808.10000000,641225.77880000,0
2023-02-05,0.306,0.312,0.286,0.298,6261866.6,1675641599999,1871621.04860000,8644,2800771.10000000,838249.75440000,0
2023-02-06,0.298,0.31,0.291,0.294,4500692.9,1675727999999,1341496.85440000,6686,2040638.80000000,609386.13370000,0
2023-02-07,0.294,0.314,0.294,0.311,6734986.7,1675814399999,2032691.95760000,8949,3090295.20000000,934151.97220000,0
2023-02-08,0.312,0.33,0.296,0.314,11166377.8,1675900799999,3532887.39400000,13528,5322160.10000000,1682473.22220000,0
2023-02-09,0.314,0.315,0.282,0.284,7002041.7,1675987199999,2086642.76170000,8213,3732457.80000000,1112003.06130000,0
2023-02-10,0.284,0.287,0.277,0.284,3361271.8,1676073599999,949261.79470000,4902,1669672.60000000,472091.76110000,0
2023-02-11,0.283,0.293,0.28,0.292,2423440.5,1676159999999,692422.43020000,3608,1227224.40000000,351164.29960000,0
2023-02-12,0.292,0.339,0.284,0.296,16360714.3,1676246399999,5103971.94660000,25381,7787003.80000000,2432485.51660000,0
2023-02-13,0.295,0.333,0.283,0.2966,26103500.8,1676332799999,7911715.69167000,32432,12399247.90000000,3765463.56963000,0
2023-02-14,0.2966,0.312,0.285,0.3051,11281721.0,1676419199999,3359618.54790000,14007,5545978.10000000,1650119.22010000,0
2023-02-15,0.305,0.36,0.2993,0.3411,30403270.1,1676505599999,9995251.90601000,43817,14817221.80000000,4878930.25152000,0
2023-02-16,0.3419,0.365,0.313,0.3197,18394881.0,1676591999999,6251338.21270000,27918,9289859.00000000,3163135.48332000,0
2023-02-17,0.3207,0.335,0.3,0.3324,8690599.5,1676678399999,2821065.26349000,11444,4305532.60000000,1399491.58067000,0
2023-02-18,0.3318,0.3991,0.3307,0.3823,21521187.8,1676764799999,7702313.94248000,36668,9365734.60000000,3360149.31983000,0
2023-02-19,0.3819,0.702,0.3699,0.656,104280234.3,1676851199999,51422807.95298000,212762,49007235.70000000,24469794.32919000,0
2023-02-20,0.6558,0.8447,0.5503,0.615,161837934.5,1676937599999,103921096.95291000,363996,74890336.40000000,48206755.30611000,0
2023-02-21,0.6148,0.8,0.5865,0.6509,103587857.9,1677023999999,70327883.14957000,210245,51263288.30000000,34913298.12774000,0
