timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-03,3.48e-06,0.000143,3.48e-06,4.828e-05,27047125.5,1683158399999,1309.08405675,61168,11221545.40000000,532.47233231,0
2023-05-04,4.833e-05,5.168e-05,4.447e-05,4.608e-05,8746295.6,1683244799999,417.20762257,22031,4664436.50000000,221.94878894,0
2023-05-05,4.622e-05,4.746e-05,4.314e-05,4.428e-05,5201166.4,1683331199999,234.19120724,17412,2931456.10000000,132.24054756,0
2023-05-06,4.432e-05,4.728e-05,4.377e-05,4.61e-05,4629731.1,1683417599999,210.72373502,17111,2517915.40000000,114.75268824,0
2023-05-07,4.608e-05,4.668e-05,4.291e-05,4.371e-05,2167834.2,1683503999999,97.38973601,8106,989659.40000000,44.41026450,0
2023-05-08,4.371e-05,4.373e-05,3.5e-05,4.107e-05,7411392.0,1683590399999,300.30004621,26176,3948034.80000000,159.89879135,0
2023-05-09,4.1e-05,4.4e-05,3.987e-05,4.285e-05,4777136.4,1683676799999,198.65641872,17900,2463559.70000000,102.45766290,0
2023-05-10,4.279e-05,4.431e-05,4.041e-05,4.281e-05,8947819.9,1683763199999,379.69554141,28839,4238736.60000000,179.93834859,0
2023-05-11,4.272e-05,4.282e-05,3.855e-05,3.98e-05,4108886.8,1683849599999,164.66352691,15655,2367255.10000000,94.59500702,0
2023-05-12,3.98e-05,4.193e-05,3.843e-05,4.162e-05,3232750.7,1683935999999,129.26297052,13235,1447316.70000000,57.91422752,0
2023-05-13,4.161e-05,4.248e-05,4.054e-05,4.106e-05,1579118.7,1684022399999,65.02036671,6981,837983.30000000,34.50649300,0
2023-05-14,4.1e-05,4.45e-05,4.001e-05,4.306e-05,2341530.7,1684108799999,100.00521397,8813,1129666.60000000,48.22150053,0
2023-05-15,4.299e-05,4.575e-05,4.202e-05,4.394e-05,3488902.1,1684195199999,155.41819441,15835,1637694.50000000,72.94499853,0
2023-05-16,4.396e-05,4.431e-05,4.23e-05,4.304e-05,1890829.7,1684281599999,81.98809110,8937,871318.40000000,37.77459150,0
2023-05-17,4.313e-05,4.437e-05,4.164e-05,4.419e-05,2557369.0,1684367999999,110.72241258,10784,1241894.70000000,53.82105102,0
2023-05-18,4.424e-05,4.471e-05,4.231e-05,4.253e-05,2317277.8,1684454399999,100.17988750,9460,1193668.10000000,51.66100181,0
2023-05-19,4.253e-05,4.277e-05,4.172e-05,4.205e-05,985742.2,1684540799999,41.62308275,5452,540530.90000000,22.83070526,0
2023-05-20,4.207e-05,4.211e-05,4.131e-05,4.147e-05,751650.3,1684627199999,31.31415122,4206,437160.20000000,18.21173623,0
2023-05-21,4.149e-05,4.253e-05,3.927e-05,4.01e-05,2374236.8,1684713599999,97.10730519,10371,1073861.10000000,43.78274551,0
2023-05-22,4.01e-05,4.024e-05,3.883e-05,3.91e-05,2282124.3,1684799999999,89.69277229,9412,1427772.50000000,56.09291283,0
2023-05-23,3.912e-05,4.011e-05,3.766e-05,3.871e-05,1896466.4,1684886399999,73.96464427,9175,1234870.80000000,48.16055396,0
2023-05-24,3.867e-05,3.867e-05,3.598e-05,3.721e-05,4111567.0,1684972799999,151.96329462,18287,2288435.10000000,84.53260782,0
2023-05-25,3.721e-05,3.821e-05,3.624e-05,3.71e-05,2299794.8,1685059199999,85.76632659,10508,1083963.30000000,40.44640269,0
2023-05-26,3.71e-05,3.773e-05,3.656e-05,3.711e-05,1879146.6,1685145599999,70.06028271,7060,729299.10000000,27.13267391,0
2023-05-27,3.712e-05,3.8e-05,3.689e-05,3.717e-05,1076779.5,1685231999999,40.19957707,4917,596696.30000000,22.28019020,0
2023-05-28,3.716e-05,3.855e-05,3.679e-05,3.783e-05,1859714.7,1685318399999,69.90059520,9194,924552.90000000,34.71942364,0
2023-05-29,3.783e-05,3.937e-05,3.671e-05,3.748e-05,4038624.7,1685404799999,154.03826713,17359,1958301.70000000,74.69499383,0
2023-05-30,3.75e-05,3.808e-05,3.583e-05,3.618e-05,2239967.8,1685491199999,82.60514391,9842,1285295.10000000,47.38014118,0
2023-05-31,3.615e-05,3.637e-05,3.502e-05,3.579e-05,1159866.2,1685577599999,41.41525103,6170,633892.50000000,22.63635496,0
2023-06-01,3.58e-05,3.636e-05,3.51e-05,3.528e-05,933904.9,1685663999999,33.35603428,5676,470052.40000000,16.79236644,0
2023-06-02,3.525e-05,3.547e-05,3.386e-05,3.456e-05,1918290.3,1685750399999,66.50477789,10093,946305.90000000,32.83105204,0
2023-06-03,3.454e-05,3.519e-05,3.341e-05,3.45e-05,2080629.8,1685836799999,71.08001577,9373,1482597.40000000,50.50847701,0
