timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,11.71,11.98,10.76,11.74,179328.0,1668470399999,2058366.51250000,11040,81350.88000000,935246.05310000,0
2022-11-15,11.72,12.18,11.58,11.77,97581.74,1668556799999,1163303.05470000,6058,45112.43000000,538918.18370000,0
2022-11-16,11.76,12.07,11.2,11.36,76331.92,1668643199999,888017.31200000,5290,38833.84000000,452103.87520000,0
2022-11-17,11.38,11.73,11.23,11.5,43539.27,1668729599999,501585.00420000,3577,19777.34000000,227865.12920000,0
2022-11-18,11.5,11.76,11.23,11.35,58282.1,1668815999999,671373.98110000,4450,28170.23000000,324170.19070000,0
2022-11-19,11.35,11.5,10.95,11.41,34658.28,1668902399999,389480.58140000,3230,17654.74000000,198661.57660000,0
2022-11-20,11.44,11.99,10.68,10.78,120177.63,1668988799999,1380406.99170000,8826,57589.70000000,663030.14670000,0
2022-11-21,10.78,11.04,10.1,10.47,139287.63,1669075199999,1484092.78700000,8586,68356.10000000,732081.52600000,0
2022-11-22,10.48,10.74,10.03,10.72,83310.99,1669161599999,868715.29060000,5145,44706.61000000,465832.64700000,0
2022-11-23,10.74,11.58,10.62,11.32,89642.58,1669247999999,1003865.02190000,6042,46270.96000000,518194.21310000,0
2022-11-24,11.32,11.63,11.09,11.43,128319.52,1669334399999,1457440.36170000,8884,67149.44000000,765947.51570000,0
2022-11-25,11.42,12.36,11.12,11.6,196604.37,1669420799999,2307587.30230000,13229,100872.78000000,1184320.27150000,0
2022-11-26,11.61,12.29,11.6,12.13,127761.76,1669507199999,1532098.28910000,8090,69204.32000000,830759.49910000,0
2022-11-27,12.11,12.73,11.97,12.38,142749.55,1669593599999,1772932.56370000,7903,77347.67000000,962292.55910000,0
2022-11-28,12.38,16.59,11.73,15.4,876600.5,1669679999999,12743672.40680000,59818,455968.38000000,6620636.16180000,0
2022-11-29,15.42,30.67,14.5,14.59,1416402.17,1669766399999,23360902.08010000,92180,694280.33000000,11618219.59460000,0
2022-11-30,14.6,15.34,14.05,14.44,236044.45,1669852799999,3482763.60550000,15226,100451.57000000,1483336.78450000,0
2022-12-01,14.47,15.2,13.79,14.04,272430.73,1669939199999,3940182.93170000,18718,132286.17000000,1913907.58990000,0
2022-12-02,14.03,14.39,13.49,13.97,162583.64,1670025599999,2279714.90710000,10141,82915.09000000,1163272.62520000,0
2022-12-03,14.0,14.08,13.01,13.35,108313.62,1670111999999,1472692.47180000,8686,45983.22000000,624832.33040000,0
2022-12-04,13.34,13.73,13.29,13.57,75927.54,1670198399999,1024638.43180000,6009,38269.92000000,516646.94550000,0
2022-12-05,13.57,13.99,13.16,13.86,121978.11,1670284799999,1664717.18720000,8610,59060.98000000,806644.38880000,0
2022-12-06,13.89,14.34,13.32,13.7,108009.74,1670371199999,1494103.42180000,9435,49996.33000000,692848.06400000,0
2022-12-07,13.71,13.97,12.5,13.3,123163.64,1670457599999,1619518.24240000,9322,53623.91000000,704595.74350000,0
2022-12-08,13.3,14.1,13.02,13.6,211125.27,1670543999999,2864029.80080000,13178,93348.44000000,1268865.26510000,0
2022-12-09,13.62,13.75,13.34,13.65,64476.22,1670630399999,873595.64040000,4912,26395.58000000,357778.07320000,0
2022-12-10,13.65,14.11,13.56,13.76,75947.1,1670716799999,1054618.86580000,5813,39494.26000000,549316.65300000,0
2022-12-11,13.76,13.87,13.24,13.38,52791.94,1670803199999,719836.75930000,4197,21003.78000000,286563.14500000,0
2022-12-12,13.4,13.67,12.7,13.59,71182.45,1670889599999,935113.58970000,5470,35475.83000000,466219.26570000,0
2022-12-13,13.61,13.88,12.87,13.81,90809.71,1670975999999,1222849.79050000,6811,47269.28000000,637635.97690000,0
2022-12-14,13.82,13.98,13.1,13.79,124269.65,1671062399999,1703028.50480000,7748,55186.62000000,755900.67660000,0
2022-12-15,13.8,14.39,13.3,14.04,110514.4,1671148799999,1537776.93790000,7093,57542.82000000,801227.64720000,0
2022-12-16,14.04,14.38,12.02,12.33,205667.69,1671235199999,2764531.44020000,16227,97393.91000000,1311091.67120000,0
2022-12-17,12.29,13.72,11.68,13.4,187006.6,1671321599999,2351280.93530000,11748,87616.41000000,1103691.46720000,0
2022-12-18,13.41,13.49,13.02,13.31,156934.04,1671407999999,2081374.34060000,14754,67403.12000000,894717.05540000,0
2022-12-19,13.31,16.0,13.26,14.08,371512.23,1671494399999,5297678.13400000,25989,194215.41000000,2767468.39170000,0
2022-12-20,14.08,14.36,13.54,14.15,127489.73,1671580799999,1796364.49790000,9276,59729.87000000,842518.11560000,0
2022-12-21,14.15,14.25,14.0,14.19,45977.35,1671667199999,650527.72130000,4095,24524.54000000,347316.03830000,0
2022-12-22,14.21,14.38,13.83,13.86,179455.73,1671753599999,2542590.65210000,10454,82035.59000000,1163266.26300000,0
2022-12-23,13.86,14.28,13.82,14.06,45587.42,1671839999999,642432.41360000,4115,22398.99000000,315379.74230000,0
2022-12-24,14.05,14.27,14.01,14.13,24032.08,1671926399999,339672.75660000,2456,12539.74000000,177272.30210000,0
2022-12-25,14.15,14.24,14.03,14.13,34547.08,1672012799999,489379.22660000,2702,18934.82000000,268446.87480000,0
