timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-14,0.05085,0.05287,0.04526,0.05015,2243457866.0,1668470399999,110103515.93018600,367783,1095963962.10000000,53864532.60957200,0
2022-11-15,0.05015,0.05181,0.04929,0.05074,833847816.7,1668556799999,42236584.34720800,148950,404390732.10000000,20488503.05650800,0
2022-11-16,0.05075,0.05173,0.04946,0.05016,701005014.8,1668643199999,35371006.49215300,121113,340829569.90000000,17206221.73472200,0
2022-11-17,0.05016,0.05043,0.04884,0.05006,573955689.6,1668729599999,28528758.98057900,101711,298624844.90000000,14845869.76326500,0
2022-11-18,0.05006,0.05107,0.05004,0.05068,413722957.4,1668815999999,20959219.99034000,75957,219422505.30000000,11117583.16107300,0
2022-11-19,0.0507,0.05269,0.0505,0.05215,537007802.7,1668902399999,27768994.17203500,89442,297743802.40000000,15397202.11909300,0
2022-11-20,0.05215,0.05243,0.04974,0.05008,402312888.6,1668988799999,20548576.96660300,73944,180942398.40000000,9246120.95946800,0
2022-11-21,0.05008,0.05169,0.04918,0.05155,825853713.3,1669075199999,41749121.07376900,136045,424304098.80000000,21455587.16861300,0
2022-11-22,0.05155,0.05262,0.04893,0.05072,1079952686.9,1669161599999,54653353.73656300,159760,540697266.70000000,27404002.68929800,0
2022-11-23,0.05073,0.05188,0.05019,0.0518,605171598.2,1669247999999,30938168.17885900,92015,319671422.20000000,16345061.62350100,0
2022-11-24,0.05181,0.05382,0.05142,0.05283,833313962.7,1669334399999,43671854.14966400,123966,436554031.00000000,22881221.11793700,0
2022-11-25,0.05283,0.05339,0.05198,0.05297,579717995.6,1669420799999,30558430.67505400,90365,294392121.60000000,15522533.13385200,0
2022-11-26,0.05297,0.05368,0.05243,0.05279,331056806.8,1669507199999,17595199.10157100,60284,167248811.00000000,8892387.63450500,0
2022-11-27,0.05279,0.05425,0.05277,0.05327,391460597.5,1669593599999,20961301.74218000,63178,197490128.60000000,10576217.36294500,0
2022-11-28,0.05327,0.054,0.05189,0.05299,599255628.0,1669679999999,31761467.20947300,89824,307799044.10000000,16325871.16265300,0
2022-11-29,0.05298,0.05457,0.05275,0.05326,543400459.3,1669766399999,29197381.56897900,74512,277051139.30000000,14893477.05886900,0
2022-11-30,0.05326,0.05479,0.05325,0.05461,475740697.0,1669852799999,25752974.05294500,78299,250693411.10000000,13573251.88472500,0
2022-12-01,0.0546,0.05513,0.05398,0.05415,377671522.2,1669939199999,20586173.21544100,68778,180458644.20000000,9839691.87042500,0
2022-12-02,0.05415,0.05451,0.05382,0.05445,333396933.9,1670025599999,18074902.89608900,59459,161465615.50000000,8755049.07120800,0
2022-12-03,0.05445,0.05465,0.05352,0.05358,254491096.4,1670111999999,13740890.70407400,62875,112966331.40000000,6100116.39866600,0
2022-12-04,0.05358,0.05415,0.05292,0.05309,333808154.4,1670198399999,17820844.18754700,62661,159022297.40000000,8491710.42938100,0
2022-12-05,0.05309,0.05374,0.05295,0.05334,461673730.2,1670284799999,24657593.95177400,71775,210990213.20000000,11270035.38216000,0
2022-12-06,0.05335,0.05374,0.05257,0.05364,414066655.4,1670371199999,21968771.59697800,62766,214922630.30000000,11406838.09014800,0
2022-12-07,0.05363,0.05366,0.05241,0.05312,418564355.8,1670457599999,22220594.41968900,65499,194527044.70000000,10328341.03770200,0
2022-12-08,0.05312,0.05477,0.05295,0.05448,339254769.6,1670543999999,18182089.47985800,56214,188803688.90000000,10120565.22014300,0
2022-12-09,0.05449,0.05514,0.05429,0.05464,296901516.9,1670630399999,16241095.69711800,61098,152701910.10000000,8353329.42396300,0
2022-12-10,0.05465,0.05593,0.05463,0.05483,283292804.9,1670716799999,15603486.12383200,52805,154358838.60000000,8505344.39529300,0
2022-12-11,0.05482,0.05496,0.05373,0.05397,184738005.9,1670803199999,10053176.03614700,42101,84687612.90000000,4610597.42376300,0
2022-12-12,0.05397,0.05398,0.05194,0.05352,581776768.1,1670889599999,30746972.77945100,84048,289597169.30000000,15303931.93838500,0
2022-12-13,0.05352,0.05454,0.05243,0.0545,526702183.4,1670975999999,28182627.71943800,77527,283420238.20000000,15168911.54329100,0
2022-12-14,0.0545,0.05765,0.05445,0.05558,614317337.1,1671062399999,34284336.13286500,96069,318860533.80000000,17786173.12840800,0
2022-12-15,0.05558,0.05612,0.05509,0.05577,364300889.5,1671148799999,20274324.60362300,63540,188442473.70000000,10490279.36652000,0
2022-12-16,0.05578,0.05619,0.05258,0.05292,497410130.8,1671235199999,27253027.71904500,91546,227974676.00000000,12505074.58235600,0
2022-12-17,0.05293,0.055,0.05189,0.05486,486555972.1,1671321599999,25953620.49074000,87351,267408665.10000000,14281563.40437700,0
2022-12-18,0.05485,0.05519,0.05323,0.05378,435758357.3,1671407999999,23530859.80587400,73680,211201288.30000000,11405650.52228200,0
2022-12-19,0.05378,0.05431,0.05305,0.05356,379994366.7,1671494399999,20445142.11410900,68697,192821518.30000000,10376069.73664900,0
2022-12-20,0.05355,0.05531,0.05349,0.05497,319963703.9,1671580799999,17404851.65534900,62214,177572102.70000000,9661768.55823200,0
2022-12-21,0.05498,0.05549,0.05455,0.05492,262660122.5,1671667199999,14441230.95376300,53069,136900182.60000000,7527590.39982600,0
2022-12-22,0.05492,0.05586,0.05462,0.05554,315244980.0,1671753599999,17389870.56506000,57161,164997269.10000000,9104865.36864800,0
2022-12-23,0.05553,0.0557,0.05409,0.05423,331097929.1,1671839999999,18158443.74370500,58948,155131746.10000000,8509725.44034500,0
2022-12-24,0.05422,0.05481,0.05402,0.05473,183151893.1,1671926399999,9974159.28009100,40875,92198658.80000000,5021100.35891600,0
