timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-03-11,1.0,1.0,0.882,0.9592,616299408.0,1678579199999,577182548.48440000,253654,302298814.00000000,283793638.13700000,0
2023-03-12,0.9593,0.9878,0.9323,0.9848,1058067483.0,1678665599999,1015707795.05490000,821220,539456419.00000000,518408845.73260000,0
2023-03-13,0.9848,0.9964,0.9835,0.9949,1036507986.0,1678751999999,1026745672.05510000,428779,430396443.00000000,426457214.66040000,0
2023-03-14,0.995,0.9969,0.9929,0.9961,937518041.0,1678838399999,932692333.99080000,282016,344072331.00000000,342312155.36740000,0
2023-03-15,0.9961,0.998,0.9931,0.996,1081776463.0,1678924799999,1077073091.23010000,224450,328588480.00000000,327138863.92920000,0
2023-03-16,0.9961,0.999,0.9958,0.9975,948805169.0,1679011199999,946357700.12170000,188089,302519469.00000000,301755309.53330000,0
2023-03-17,0.9975,0.9991,0.997,0.9977,1068606681.0,1679097599999,1066345719.17750000,178246,380486038.00000000,379708873.57200000,0
2023-03-18,0.9976,0.9978,0.9966,0.9971,419426325.0,1679183999999,418273131.92860000,128298,133177760.00000000,132814928.04900000,0
2023-03-19,0.997,0.9975,0.9967,0.9969,277650525.0,1679270399999,276825070.45430000,105648,99382070.00000000,99091249.17910000,0
2023-03-20,0.9969,0.9978,0.9957,0.9959,1368051446.0,1679356799999,1363361441.36900000,199841,443054715.00000000,441523017.68440000,0
2023-03-21,0.9959,0.9973,0.9958,0.9969,812714291.0,1679443199999,809949715.23210000,177418,295686685.00000000,294683290.52930000,0
2023-03-22,0.997,0.9979,0.9966,0.9972,702913908.0,1679529599999,700934478.15540000,153055,236637003.00000000,235973483.92620000,0
2023-03-23,0.9971,0.9983,0.9965,0.9979,784786439.0,1679615999999,782680280.21750000,156244,288914078.00000000,288159797.29040000,0
2023-03-24,0.9978,0.9991,0.9978,0.9988,388517725.0,1679702399999,387958781.15070000,106407,181330497.00000000,181077579.30730000,0
2023-03-25,0.9988,0.9992,0.9984,0.999,208967652.0,1679788799999,208730008.49050000,76747,94517451.00000000,94413584.18980000,0
2023-03-26,0.9989,0.9993,0.9989,0.9991,137957870.0,1679875199999,137830701.46250000,51054,69976215.00000000,69913861.65560000,0
2023-03-27,0.9991,0.9999,0.9989,0.9995,377732824.0,1679961599999,377473929.90580000,89320,171241275.00000000,171133293.30650000,0
2023-03-28,0.9996,0.9999,0.9993,0.9997,310134717.0,1680047999999,310030505.61680000,97487,132588397.00000000,132550195.67770000,0
2023-03-29,0.9996,0.9999,0.9995,0.9998,231069323.0,1680134399999,231007064.60710000,87070,106954961.00000000,106932183.03370000,0
2023-03-30,0.9997,1.0001,0.9995,1.0,314586656.0,1680220799999,314514043.26870000,101926,154538331.00000000,154510230.56300000,0
2023-03-31,1.0,1.0001,0.9995,0.9997,309005717.0,1680307199999,308928975.03260000,70709,145266998.00000000,145237471.67300000,0
2023-04-01,0.9998,0.9998,0.9995,0.9997,103770958.0,1680393599999,103734736.01860000,53646,48134401.00000000,48119253.43970000,0
2023-04-02,0.9996,0.9997,0.9992,0.9995,128437895.0,1680479999999,128375627.98780000,60051,54374864.00000000,54350223.72830000,0
2023-04-03,0.9995,0.9999,0.9994,0.9997,358250196.0,1680566399999,358136646.95710000,84898,178000086.00000000,177951004.82670000,0
2023-04-04,0.9998,0.9998,0.9993,0.9996,266884953.0,1680652799999,266778021.66070000,94368,111949580.00000000,111909623.71690000,0
2023-04-05,0.9996,0.9999,0.9995,0.9997,189058207.0,1680739199999,188998437.82270000,72017,103649574.00000000,103621119.42320000,0
2023-04-06,0.9998,0.9998,0.9993,0.9994,201375483.0,1680825599999,201291454.46570000,68369,86851467.00000000,86819587.26540000,0
2023-04-07,0.9994,0.9996,0.9992,0.9993,148398678.0,1680911999999,148312657.79700000,50820,61535203.00000000,61502173.65460000,0
2023-04-08,0.9992,0.9999,0.9992,0.9994,128576738.0,1680998399999,128513678.51500000,45225,70896740.00000000,70863294.52710000,0
2023-04-09,0.9994,0.9995,0.9993,0.9993,69988769.0,1681084799999,69945145.56080000,41923,33236951.00000000,33217545.63690000,0
2023-04-10,0.9994,0.9995,0.9991,0.9992,295287855.0,1681171199999,295080099.69580000,83483,126951656.00000000,126868087.04230000,0
2023-04-11,0.9992,0.9994,0.9989,0.9989,457651188.0,1681257599999,457244898.78750000,123515,198664474.00000000,198496394.04840000,0
2023-04-12,0.9989,0.9993,0.9988,0.9993,360528390.0,1681343999999,360189914.86060000,87126,185877070.00000000,185708348.07920000,0
2023-04-13,0.9992,0.9993,0.9987,0.999,376306475.0,1681430399999,375930624.56340000,105746,156185836.00000000,156035498.00890000,0
2023-04-14,0.999,0.9994,0.9987,0.999,400468888.0,1681516799999,400089953.52450000,110357,200917295.00000000,200735517.37600000,0
2023-04-15,0.999,0.9993,0.999,0.9992,158614740.0,1681603199999,158475675.09710000,55685,78202291.00000000,78136328.99340000,0
2023-04-16,0.9992,0.9994,0.999,0.9993,152996520.0,1681689599999,152870650.13830000,64063,70364537.00000000,70309320.43070000,0
2023-04-17,0.9992,0.9995,0.999,0.9994,391023378.0,1681775999999,390758679.75300000,97210,178063107.00000000,177948868.83820000,0
2023-04-18,0.9994,0.9998,0.9993,0.9996,407945864.0,1681862399999,407763414.56860000,82627,180462120.00000000,180387356.64310000,0
2023-04-19,0.9997,0.9999,0.9994,0.9995,314656971.0,1681948799999,314521638.42470000,84992,134284442.00000000,134231752.41670000,0
2023-04-20,0.9995,1.0,0.9993,0.9999,320888919.0,1682035199999,320787321.31200000,102128,158222005.00000000,158177880.13300000,0
2023-04-21,0.9999,1.0004,0.9998,1.0001,309079288.0,1682121599999,309093790.71340000,107655,158847175.00000000,158858975.62700000,0
2023-04-22,1.0001,1.0003,0.9998,1.0001,136614471.0,1682207999999,136616026.94560000,52236,53159897.00000000,53162407.61680000,0
2023-04-23,1.0,1.0001,0.9997,1.0,123241711.0,1682294399999,123226176.29480000,62696,54956640.00000000,54951535.03060000,0
2023-04-24,0.9999,1.0001,0.9997,1.0,198899683.0,1682380799999,198880312.16540000,70671,92957561.00000000,92952652.08760000,0
2023-04-25,0.9999,1.0001,0.9997,1.0,225187872.0,1682467199999,225169119.94940000,68347,113865219.00000000,113860248.57590000,0
2023-04-26,1.0,1.0001,0.9995,0.9997,355674902.0,1682553599999,355606006.68500000,102189,159054708.00000000,159028468.40230000,0
2023-04-27,0.9996,0.9999,0.9995,0.9996,281928919.0,1682639999999,281842437.30060000,90865,139620800.00000000,139582154.04240000,0
2023-04-28,0.9996,0.9999,0.9992,0.9992,266866016.0,1682726399999,266745412.12220000,70715,111227188.00000000,111182140.48020000,0
2023-04-29,0.9992,0.9995,0.9992,0.9995,122050580.0,1682812799999,121963301.91140000,43897,59946148.00000000,59905108.39440000,0
2023-04-30,0.9994,0.9996,0.9993,0.9995,151426915.0,1682899199999,151346018.71930000,48179,60570045.00000000,60539032.64280000,0
2023-05-01,0.9995,1.0,0.9994,0.9997,378577099.0,1682985599999,378454866.38230000,75609,205975239.00000000,205915460.25440000,0
2023-05-02,0.9997,1.0001,0.9994,0.9994,271219536.0,1683071999999,271153720.44450000,66084,128439863.00000000,128413575.18120000,0
2023-05-03,0.9995,0.9999,0.9994,0.9998,307321334.0,1683158399999,307215626.49730000,66008,152527639.00000000,152479385.11460000,0
2023-05-04,0.9998,0.9999,0.9995,0.9996,234047637.0,1683244799999,233974713.65350000,58211,87779138.00000000,87754618.99780000,0
2023-05-05,0.9996,0.9998,0.9989,0.999,340810062.0,1683331199999,340624812.11670000,78936,125158870.00000000,125096082.26080000,0
2023-05-06,0.999,0.9991,0.9982,0.9982,248901441.0,1683417599999,248564042.76440000,76036,107604866.00000000,107462215.53580000,0
2023-05-07,0.9983,0.9991,0.9981,0.9986,153245461.0,1683503999999,153043419.95130000,60354,72003244.00000000,71909794.47750000,0
2023-05-08,0.9987,0.9995,0.9983,0.9992,358086526.0,1683590399999,357721277.34750000,93595,169430419.00000000,169259748.26740000,0
2023-05-09,0.9993,0.9996,0.9991,0.9994,253533554.0,1683676799999,253379329.81430000,63136,103464479.00000000,103405624.27870000,0
2023-05-10,0.9995,0.9997,0.9993,0.9993,293602662.0,1683763199999,293460010.69220000,81548,113513103.00000000,113464080.53990000,0
2023-05-11,0.9994,0.9996,0.9993,0.9995,246813875.0,1683849599999,246689361.26850000,91474,124079358.00000000,124020028.02630000,0
2023-05-12,0.9995,0.9997,0.9994,0.9995,237460727.0,1683935999999,237348931.07920000,106465,116905457.00000000,116854656.61990000,0
2023-05-13,0.9995,0.9997,0.9995,0.9996,67448610.0,1684022399999,67420292.37310000,44186,38906719.00000000,38891678.06160000,0
2023-05-14,0.9995,0.9997,0.9995,0.9995,45280766.0,1684108799999,45260675.23600000,43963,20335245.00000000,20327169.08250000,0
2023-05-15,0.9995,0.9998,0.9995,0.9997,254089026.0,1684195199999,253991622.83410000,65627,130481049.00000000,130436194.24140000,0
2023-05-16,0.9997,0.9998,0.9995,0.9997,207079278.0,1684281599999,207011174.11820000,64832,101897891.00000000,101868582.45040000,0
2023-05-17,0.9998,1.0,0.9996,0.9998,232960237.0,1684367999999,232928024.66410000,64578,136710454.00000000,136695988.41750000,0
2023-05-18,0.9999,1.0,0.9998,0.9999,172174143.0,1684454399999,172160192.75390000,64737,92466575.00000000,92462416.49120000,0
2023-05-19,0.9999,1.0,0.9997,0.9998,147384686.0,1684540799999,147360429.23780000,51653,57140830.00000000,57134471.30680000,0
2023-05-20,0.9998,0.9998,0.9996,0.9997,45447164.0,1684627199999,45434055.83130000,36530,17649243.00000000,17644962.84290000,0
2023-05-21,0.9996,0.9998,0.9995,0.9998,96837085.0,1684713599999,96799957.21320000,37713,42404836.00000000,42389709.53160000,0
2023-05-22,0.9997,0.9999,0.9996,0.9997,256661242.0,1684799999999,256599249.96210000,81122,108057608.00000000,108036706.88390000,0
2023-05-23,0.9998,1.0,0.9996,0.9998,247102539.0,1684886399999,247055067.06250000,69890,118379470.00000000,118361692.53380000,0
2023-05-24,0.9999,1.0001,0.9997,1.0,213404056.0,1684972799999,213389786.19540000,52303,117966381.00000000,117962861.85880000,0
2023-05-25,1.0001,1.0001,0.9999,1.0,152177400.0,1685059199999,152182469.72080000,43048,56857152.00000000,56862381.62980000,0
2023-05-26,0.9999,1.0001,0.9996,0.9998,216113579.0,1685145599999,216084669.24140000,43036,85557208.00000000,85549521.95520000,0
2023-05-27,0.9997,0.9998,0.9997,0.9997,79026068.0,1685231999999,79006277.74060000,29120,39175610.00000000,39167774.87800000,0
2023-05-28,0.9997,1.0001,0.9997,0.9999,178948285.0,1685318399999,178924142.70330000,41063,95960727.00000000,95951136.48640000,0
2023-05-29,0.9999,1.0,0.9996,0.9997,236429869.0,1685404799999,236373324.94010000,45312,104742839.00000000,104722848.25990000,0
2023-05-30,0.9996,0.9998,0.9995,0.9997,267435180.0,1685491199999,267347882.83550000,46155,111054379.00000000,111024214.10040000,0
2023-05-31,0.9997,1.0,0.9996,0.9999,253802297.0,1685577599999,253736805.30350000,53274,126346914.00000000,126319065.95110000,0
2023-06-01,0.9998,1.0001,0.9998,0.9998,223477937.0,1685663999999,223449126.82120000,55561,120071053.00000000,120059955.40810000,0
2023-06-02,0.9998,0.9999,0.9997,0.9998,213952354.0,1685750399999,213908440.87500000,65084,94712126.00000000,94697722.06120000,0
2023-06-03,0.9998,0.9998,0.9996,0.9996,103627729.0,1685836799999,103596580.90320000,42171,52064326.00000000,52050846.37060000,0
