timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-11-24,1.359,1.474,1.21,1.251,11580059.32,1700870399999,14736872.59673000,72480,5482136.17000000,6991879.01093000,0
2023-11-25,1.251,1.298,1.14,1.174,6627151.12,1700956799999,7947910.05094000,34476,2857036.50000000,3429186.02500000,0
2023-11-26,1.175,1.243,1.047,1.117,5921503.97,1701043199999,6831003.36119000,28905,2496337.16000000,2895554.96673000,0
2023-11-27,1.119,1.126,1.002,1.05,4271764.91,1701129599999,4491201.52290000,22143,1771567.39000000,1867090.89652000,0
2023-11-28,1.048,1.172,1.033,1.093,6604060.67,1701215999999,7321649.38586000,35916,3178332.71000000,3545127.55968000,0
2023-11-29,1.093,1.13,1.047,1.057,2421473.82,1701302399999,2606549.27785000,13512,897457.78000000,968852.35984000,0
2023-11-30,1.055,1.125,1.035,1.075,2451177.49,1701388799999,2618266.67136000,13583,1157265.11000000,1240803.48791000,0
2023-12-01,1.075,1.16,1.057,1.091,4627952.36,1701475199999,5090355.86975000,21679,2174575.43000000,2403709.82057000,0
2023-12-02,1.089,1.155,1.076,1.116,3964069.16,1701561599999,4428974.82764000,25179,1758039.75000000,1971414.01855000,0
2023-12-03,1.114,1.121,1.064,1.07,2634484.04,1701647999999,2866043.52786000,25818,1036113.07000000,1128652.56174000,0
2023-12-04,1.071,1.1,0.972,1.034,4877304.39,1701734399999,5126960.51159000,21409,2130813.38000000,2244191.94087000,0
2023-12-05,1.036,1.07,1.011,1.032,3864191.65,1701820799999,4000107.68914000,37724,1781885.63000000,1847488.11341000,0
2023-12-06,1.032,1.037,0.972,0.987,3379871.81,1701907199999,3379081.77139000,17174,1519780.09000000,1521740.00228000,0
2023-12-07,0.987,1.024,0.964,0.991,2607183.9,1701993599999,2585575.18477000,11625,1094817.72000000,1088734.98673000,0
2023-12-08,0.991,1.01,0.975,0.994,2761654.38,1702079999999,2744755.45866000,11956,1348526.58000000,1343301.37301000,0
2023-12-09,0.996,1.05,0.983,0.992,2726992.81,1702166399999,2761724.06714000,12963,1230506.70000000,1247580.33644000,0
2023-12-10,0.989,1.082,0.975,1.043,5117270.8,1702252799999,5251815.57450000,25007,2554191.67000000,2632446.42095000,0
2023-12-11,1.043,1.065,0.944,0.956,4101004.45,1702339199999,4052360.23347000,19990,1635896.62000000,1617979.29826000,0
2023-12-12,0.958,0.984,0.93,0.94,2460486.27,1702425599999,2356059.09200000,10627,1038390.69000000,997006.17449000,0
2023-12-13,0.94,0.971,0.93,0.95,2749664.94,1702511999999,2591435.19654000,10008,1162428.11000000,1100699.48014000,0
2023-12-14,0.95,0.968,0.93,0.939,3022812.79,1702598399999,2855767.72054000,10870,1160377.75000000,1099256.23140000,0
2023-12-15,0.938,0.943,0.855,0.859,3984917.42,1702684799999,3572905.41924000,17112,1881124.09000000,1685434.66765000,0
2023-12-16,0.858,0.885,0.835,0.845,2253895.92,1702771199999,1938419.40501000,11731,995935.91000000,859330.00419000,0
2023-12-17,0.845,0.858,0.785,0.812,2841324.02,1702857599999,2336372.68940000,14512,1349416.98000000,1111484.70676000,0
2023-12-18,0.813,0.82,0.712,0.778,2334595.69,1702943999999,1778051.38708000,13643,1071274.80000000,814891.53180000,0
2023-12-19,0.78,0.875,0.756,0.817,3670561.64,1703030399999,2956736.80581000,21923,1781648.19000000,1440668.19943000,0
2023-12-20,0.815,0.857,0.78,0.792,3125471.65,1703116799999,2574648.21109000,16795,1366973.44000000,1129960.87037000,0
2023-12-21,0.792,0.843,0.787,0.823,2816517.84,1703203199999,2297247.45761000,12322,1313028.02000000,1072506.56293000,0
2023-12-22,0.823,0.84,0.797,0.807,1700565.4,1703289599999,1385006.64350000,7189,780105.64000000,635749.83200000,0
2023-12-23,0.807,0.902,0.788,0.862,4640228.53,1703375999999,3936320.28457000,21267,2283797.13000000,1942589.40607000,0
2023-12-24,0.862,0.899,0.83,0.866,3000967.33,1703462399999,2605437.73224000,15072,1429490.01000000,1244802.44156000,0
2023-12-25,0.868,0.96,0.837,0.861,3726414.69,1703548799999,3291364.64982000,16482,1766034.23000000,1567509.49554000,0
2023-12-26,0.861,0.879,0.814,0.838,2371197.0,1703635199999,2005485.82947000,11623,1083507.93000000,919137.09380000,0
2023-12-27,0.838,0.88,0.813,0.85,2020154.14,1703721599999,1710590.19461000,9227,1011334.37000000,857069.52386000,0
2023-12-28,0.85,0.865,0.808,0.822,1428984.8,1703807999999,1195692.65734000,7785,652943.73000000,547385.32456000,0
2023-12-29,0.822,0.835,0.776,0.793,1820412.69,1703894399999,1468030.16827000,9425,805002.79000000,650497.70495000,0
2023-12-30,0.793,0.999,0.775,0.968,4429222.97,1703980799999,3928574.39030000,24174,2488099.96000000,2215272.72494000,0
2023-12-31,0.969,1.109,0.783,0.805,19434199.08,1704067199999,18305457.59489000,93209,9094453.49000000,8642228.44539000,0
2024-01-01,0.804,0.86,0.793,0.845,3085256.69,1704153599999,2528663.00431000,13095,1416963.76000000,1163791.31457000,0
2024-01-02,0.845,0.859,0.813,0.817,2221192.15,1704239999999,1848389.96119000,9234,906266.23000000,755707.63611000,0
2024-01-03,0.816,0.831,0.703,0.757,3206376.12,1704326399999,2475738.69100000,13746,1346076.45000000,1039569.78872000,0
2024-01-04,0.757,0.786,0.748,0.763,1462810.67,1704412799999,1120409.01907000,7146,621564.23000000,476764.73341000,0
2024-01-05,0.763,0.969,0.752,0.844,10463020.34,1704499199999,9041146.35540000,51362,5148743.10000000,4441796.72292000,0
2024-01-06,0.844,0.95,0.783,0.819,8533755.86,1704585599999,7287842.04339000,41884,4018366.28000000,3444335.98797000,0
2024-01-07,0.818,0.841,0.766,0.78,2544915.03,1704671999999,2043777.06965000,10384,1105362.23000000,889918.74656000,0
2024-01-08,0.78,0.796,0.73,0.789,1756507.65,1704758399999,1347469.51219000,9051,831089.32000000,639385.04670000,0
2024-01-09,0.79,0.864,0.751,0.815,5383727.57,1704844799999,4327672.15410000,26477,2645336.10000000,2130615.65001000,0
2024-01-10,0.815,0.917,0.776,0.825,8863820.23,1704931199999,7446353.09826000,40127,4240904.32000000,3570130.12399000,0
2024-01-11,0.825,0.864,0.814,0.832,3460391.08,1705017599999,2905588.19782000,14244,1573671.40000000,1322111.51150000,0
2024-01-12,0.833,0.839,0.754,0.779,2878119.8,1705103999999,2317091.20940000,11501,1138574.43000000,914979.51889000,0
2024-01-13,0.781,0.809,0.765,0.796,1328658.32,1705190399999,1045252.25726000,6908,571921.62000000,450364.39373000,0
2024-01-14,0.796,0.8,0.759,0.774,1317651.72,1705276799999,1030196.07043000,6951,580393.90000000,454320.95633000,0
2024-01-15,0.772,0.82,0.771,0.797,1469464.53,1705363199999,1174532.04596000,8087,702800.17000000,562013.49484000,0
2024-01-16,0.796,0.835,0.785,0.815,1907210.48,1705449599999,1540435.62173000,8776,942327.41000000,762275.52996000,0
2024-01-17,0.815,0.87,0.8,0.81,3796298.44,1705535999999,3158378.06444000,15189,1868779.99000000,1560382.78015000,0
2024-01-18,0.811,0.864,0.776,0.789,3494454.37,1705622399999,2853007.40857000,15917,1574916.07000000,1289143.59545000,0
2024-01-19,0.787,0.793,0.697,0.739,3188558.24,1705708799999,2377905.04268000,14516,1374726.40000000,1025974.45823000,0
2024-01-20,0.737,0.76,0.733,0.755,1124494.33,1705795199999,839408.83044000,5532,551137.93000000,411617.82690000,0
2024-01-21,0.755,0.766,0.74,0.748,1224603.5,1705881599999,918871.60401000,5033,540012.91000000,405778.47188000,0
2024-01-22,0.748,0.751,0.681,0.693,1935554.46,1705967999999,1371346.24426000,9870,922635.35000000,653941.26678000,0
