timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-03-05,1.909e-05,2.9e-05,1.659e-05,2.415e-05,3166735.44,1709683199999,72.19608931,20502,1177446.46000000,26.64875653,0
2024-03-06,2.442e-05,3.418e-05,2.277e-05,2.795e-05,6829399.57,1709769599999,205.80055418,46277,2668065.55000000,79.81350945,0
2024-03-07,2.789e-05,2.837e-05,2.508e-05,2.556e-05,2032701.6,1709855999999,54.25352503,16405,1104827.50000000,29.48356367,0
2024-03-08,2.557e-05,3.509e-05,2.54e-05,3.16e-05,4135416.3,1709942399999,129.25669887,36187,1957813.87000000,61.87252519,0
2024-03-09,3.166e-05,3.306e-05,2.964e-05,3.172e-05,1508945.29,1710028799999,46.45612634,14638,836137.21000000,25.69395986,0
2024-03-10,3.174e-05,3.57e-05,2.98e-05,3.092e-05,2346015.14,1710115199999,75.77026893,18327,1423766.16000000,45.70254705,0
2024-03-11,3.093e-05,3.191e-05,2.814e-05,2.921e-05,1188475.08,1710201599999,35.20464559,9709,593524.17000000,17.61302395,0
2024-03-12,2.924e-05,3.051e-05,2.579e-05,3.03e-05,2737144.31,1710287999999,75.62839656,17146,1107569.86000000,30.76154936,0
2024-03-13,3.03e-05,3.782e-05,2.984e-05,3.625e-05,4162172.71,1710374399999,136.22228587,26939,2058226.13000000,67.44149808,0
2024-03-14,3.636e-05,4.843e-05,3.627e-05,4.415e-05,3747294.92,1710460799999,162.47370974,34317,1878757.41000000,81.06102093,0
2024-03-15,4.435e-05,5.183e-05,3.95e-05,4.043e-05,5055257.45,1710547199999,217.83384747,34474,2313970.61000000,100.28526433,0
2024-03-16,4.044e-05,4.193e-05,3.175e-05,3.414e-05,2590692.61,1710633599999,95.06698925,20266,1237357.36000000,45.75965123,0
2024-03-17,3.412e-05,4.625e-05,3.328e-05,4.448e-05,2846700.88,1710719999999,111.89757624,22566,1596630.76000000,63.30186073,0
2024-03-18,4.446e-05,4.829e-05,3.695e-05,3.775e-05,3092317.59,1710806399999,132.19161982,26039,1541812.57000000,66.39589633,0
2024-03-19,3.768e-05,4.214e-05,3.311e-05,3.753e-05,2332691.22,1710892799999,87.11052989,17874,1184391.76000000,44.17836854,0
2024-03-20,3.743e-05,4.057e-05,3.201e-05,3.839e-05,2752401.99,1710979199999,97.30203346,18158,1364527.68000000,48.27147131,0
2024-03-21,3.829e-05,3.865e-05,3.431e-05,3.49e-05,1070207.42,1711065599999,38.95739929,10252,441927.57000000,16.02618151,0
2024-03-22,3.479e-05,3.759e-05,3.369e-05,3.497e-05,1593116.65,1711151999999,55.68242687,13162,580110.87000000,20.30514340,0
2024-03-23,3.492e-05,3.767e-05,3.379e-05,3.563e-05,1080437.18,1711238399999,38.27863341,8842,421046.73000000,14.98824467,0
2024-03-24,3.565e-05,4.311e-05,3.441e-05,4.201e-05,1405941.6,1711324799999,54.06855293,9889,653192.35000000,25.45739592,0
2024-03-25,4.195e-05,4.461e-05,3.813e-05,3.84e-05,1996335.8,1711411199999,81.87060036,17988,913173.83000000,37.41565027,0
2024-03-26,3.835e-05,4.81e-05,3.818e-05,4.644e-05,2215036.97,1711497599999,98.43601506,19488,1024371.68000000,45.54254908,0
2024-03-27,4.64e-05,4.898e-05,4.343e-05,4.391e-05,2573015.3,1711583999999,119.17082276,18870,1396719.46000000,64.47654126,0
2024-03-28,4.403e-05,5.63e-05,4.224e-05,5.294e-05,2741781.9,1711670399999,133.35606351,22879,1427892.49000000,69.75398960,0
2024-03-29,5.299e-05,6.101e-05,5.041e-05,5.602e-05,3255688.12,1711756799999,179.88856369,29442,1535765.66000000,84.72236392,0
2024-03-30,5.617e-05,6.686e-05,5.608e-05,6.132e-05,2460477.15,1711843199999,154.21661519,25597,1168301.86000000,73.03372713,0
2024-03-31,6.146e-05,6.908e-05,5.987e-05,6.429e-05,1652656.17,1711929599999,107.78720710,17939,768628.61000000,50.25662689,0
2024-04-01,6.419e-05,6.546e-05,5.806e-05,6.058e-05,1725291.36,1712015999999,106.49274704,17912,768945.46000000,47.62804623,0
2024-04-02,6.093e-05,6.333e-05,5.568e-05,5.877e-05,1815498.16,1712102399999,106.90602431,18733,871848.45000000,51.34579348,0
2024-04-03,5.876e-05,6.274e-05,5.491e-05,5.498e-05,1729748.53,1712188799999,101.36048080,17619,762781.95000000,44.90114935,0
2024-04-04,5.497e-05,6.035e-05,5.103e-05,5.176e-05,1374690.12,1712275199999,77.05558534,12781,594516.25000000,33.46768340,0
2024-04-05,5.169e-05,5.27e-05,4.736e-05,4.747e-05,3713411.97,1712361599999,184.79301731,26965,1565903.98000000,78.25982465,0
2024-04-06,4.728e-05,5.203e-05,4.712e-05,5.174e-05,1235929.73,1712447999999,60.71764221,10025,567929.65000000,27.87190872,0
2024-04-07,5.175e-05,5.596e-05,4.997e-05,5.424e-05,1415805.02,1712534399999,75.42123914,13680,748362.33000000,40.02755641,0
2024-04-08,5.432e-05,6.057e-05,5.232e-05,5.866e-05,1185024.41,1712620799999,67.57675525,12352,550669.62000000,31.35779098,0
2024-04-09,5.866e-05,5.879e-05,5.116e-05,5.193e-05,4478784.8,1712707199999,252.63565286,30272,2130553.91000000,120.60850808,0
2024-04-10,5.198e-05,5.249e-05,4.869e-05,5.131e-05,2045268.24,1712793599999,103.19118279,15362,966105.81000000,48.86669064,0
2024-04-11,5.121e-05,5.54e-05,4.906e-05,4.932e-05,1418039.68,1712879999999,73.53542182,12126,864226.41000000,44.95031931,0
2024-04-12,4.935e-05,5.023e-05,3.602e-05,3.961e-05,3455063.89,1712966399999,147.53894514,21111,1724531.59000000,74.42801443,0
2024-04-13,3.959e-05,4.263e-05,3.165e-05,3.642e-05,5871662.69,1713052799999,219.88731775,32886,2697448.62000000,101.34229438,0
2024-04-14,3.637e-05,4.735e-05,3.609e-05,4.663e-05,6223800.51,1713139199999,260.76467440,33570,3297899.78000000,138.01710449,0
2024-04-15,4.66e-05,4.746e-05,3.925e-05,4.336e-05,5678539.93,1713225599999,246.19326220,30566,2546857.95000000,110.74163096,0
2024-04-16,4.337e-05,4.399e-05,3.906e-05,4.202e-05,4099648.46,1713311999999,168.76590925,20484,1629053.31000000,67.29817614,0
2024-04-17,4.195e-05,4.335e-05,3.822e-05,3.955e-05,2634431.56,1713398399999,106.50802803,15961,1171407.40000000,47.48133365,0
2024-04-18,3.949e-05,4.286e-05,3.689e-05,4.045e-05,2204607.06,1713484799999,87.29616640,14436,1106243.04000000,43.83390466,0
