timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-07-24,0.15,5.29,0.15,2.161,89457456.3,1690243199999,226724641.20470000,621275,44602800.80000000,113257638.25240000,0
2023-07-25,2.16,2.458,1.85,2.257,56332386.6,1690329599999,122107118.80090000,393503,29576707.00000000,64446349.38280000,0
2023-07-26,2.257,2.55,2.149,2.25,42447395.0,1690415999999,100375576.18480000,319152,20316540.70000000,48142096.09270000,0
2023-07-27,2.25,2.32,2.066,2.096,21246133.9,1690502399999,46515773.76820000,154026,8989647.70000000,19700251.03960000,0
2023-07-28,2.096,2.237,2.05,2.219,16890436.7,1690588799999,36547004.77500000,136760,8124637.90000000,17596972.18990000,0
2023-07-29,2.219,2.379,2.174,2.347,17461018.0,1690675199999,40158546.93160000,129695,8609198.70000000,19825240.98530000,0
2023-07-30,2.346,2.493,2.222,2.288,17988633.7,1690761599999,42516639.08270000,130488,8656803.00000000,20501832.18070000,0
2023-07-31,2.288,2.376,2.244,2.316,13857089.8,1690847999999,31928360.39160000,105143,6742064.80000000,15538348.03290000,0
2023-08-01,2.316,2.451,2.196,2.43,16120912.4,1690934399999,37720313.16740000,117013,6919390.10000000,16200808.82330000,0
2023-08-02,2.43,2.525,2.298,2.36,24744318.0,1691020799999,59626984.47350000,152316,11558422.30000000,27859878.94700000,0
2023-08-03,2.36,2.376,2.253,2.325,10498756.4,1691107199999,24263321.46770000,75711,5000062.70000000,11559090.80010000,0
2023-08-04,2.324,2.341,2.147,2.174,11420935.4,1691193599999,25533671.83470000,73564,6102726.00000000,13624354.05750000,0
2023-08-05,2.174,2.183,2.084,2.13,7239460.0,1691279999999,15431196.72670000,46214,3155511.80000000,6734238.30840000,0
2023-08-06,2.13,2.17,2.011,2.039,9673157.7,1691366399999,19983006.55280000,53056,4359734.00000000,9003500.12630000,0
2023-08-07,2.042,2.11,2.018,2.039,9486314.8,1691452799999,19492512.96150000,86766,4383821.70000000,9014144.39020000,0
2023-08-08,2.041,2.051,1.906,1.942,15798749.4,1691539199999,30785165.04750000,114377,6299940.50000000,12275405.29520000,0
2023-08-09,1.941,1.964,1.808,1.834,9181266.9,1691625599999,17408525.14430000,61432,3619373.90000000,6876533.95290000,0
2023-08-10,1.835,1.854,1.664,1.68,15073852.4,1691711999999,26245487.12710000,88238,6466630.80000000,11252284.40650000,0
2023-08-11,1.681,1.773,1.65,1.746,13861953.3,1691798399999,23761047.94050000,79384,6504962.70000000,11155029.76840000,0
2023-08-12,1.745,1.822,1.726,1.758,9209066.5,1691884799999,16264015.98300000,52677,4431915.00000000,7832406.13410000,0
2023-08-13,1.758,1.837,1.758,1.768,9101163.6,1691971199999,16409336.54750000,50240,4312373.50000000,7776365.44000000,0
2023-08-14,1.768,1.817,1.745,1.768,7672590.3,1692057599999,13758930.34810000,40668,3793889.00000000,6807844.66360000,0
2023-08-15,1.768,1.794,1.581,1.62,10668595.6,1692143999999,18127421.25440000,53959,4577793.90000000,7791065.94390000,0
2023-08-16,1.62,1.635,1.481,1.522,18235437.6,1692230399999,28512398.72650000,76160,8548764.40000000,13379136.51500000,0
2023-08-17,1.523,1.544,1.2,1.367,17263106.7,1692316799999,24676727.97630000,87578,8000606.60000000,11470846.58860000,0
2023-08-18,1.365,1.589,1.322,1.543,20986477.8,1692403199999,30997334.40360000,105986,10087543.70000000,14911228.99970000,0
2023-08-19,1.542,1.545,1.446,1.48,9330031.6,1692489599999,13804050.53910000,43498,4600761.40000000,6807356.07270000,0
2023-08-20,1.48,1.541,1.461,1.469,7986000.0,1692575999999,11996486.64460000,41074,3853478.50000000,5788803.15980000,0
2023-08-21,1.468,1.531,1.414,1.476,8585154.9,1692662399999,12665891.04490000,49097,4300187.70000000,6343413.11310000,0
2023-08-22,1.476,1.5,1.364,1.434,8138647.0,1692748799999,11743942.13400000,47767,4045367.60000000,5832322.91370000,0
2023-08-23,1.435,1.448,1.334,1.407,8230995.8,1692835199999,11461517.68000000,50056,4008503.70000000,5581794.00350000,0
2023-08-24,1.407,1.473,1.374,1.399,7469794.0,1692921599999,10648473.97350000,41734,3592379.90000000,5125197.08670000,0
2023-08-25,1.4,1.4,1.243,1.269,9357580.9,1693007999999,12191689.36410000,45103,4764009.40000000,6215712.98540000,0
2023-08-26,1.269,1.327,1.222,1.293,6477640.6,1693094399999,8229056.92090000,31774,3332615.70000000,4236855.41370000,0
2023-08-27,1.294,1.313,1.266,1.312,4526936.9,1693180799999,5845506.03940000,25950,2198991.30000000,2841844.31020000,0
2023-08-28,1.312,1.325,1.192,1.208,9918306.7,1693267199999,12363999.77150000,46516,4970460.80000000,6202860.85990000,0
2023-08-29,1.208,1.385,1.11,1.297,32935118.9,1693353599999,40582277.69690000,134987,17030802.10000000,21012189.81460000,0
2023-08-30,1.297,1.334,1.203,1.223,20347990.0,1693439999999,25911384.87450000,82753,9988870.10000000,12736631.73190000,0
2023-08-31,1.223,1.281,1.12,1.135,14876811.0,1693526399999,17710060.15790000,64753,7137250.30000000,8518789.15500000,0
2023-09-01,1.135,1.153,1.094,1.125,14511245.1,1693612799999,16207413.42920000,56273,6982413.10000000,7805140.97460000,0
2023-09-02,1.125,1.216,1.105,1.136,20687021.8,1693699199999,24047639.67210000,79979,10017540.60000000,11657613.18260000,0
2023-09-03,1.135,1.155,1.101,1.13,5887367.8,1693785599999,6633741.42380000,27483,2666061.60000000,3005975.62220000,0
2023-09-04,1.13,1.17,1.022,1.048,14946164.9,1693871999999,16439491.69050000,54946,7130889.70000000,7850006.48790000,0
2023-09-05,1.048,1.107,1.02,1.071,10784711.4,1693958399999,11380713.63660000,40085,5133862.10000000,5421416.81360000,0
2023-09-06,1.072,1.336,1.052,1.29,46932460.3,1694044799999,57179030.96800000,195935,24113030.90000000,29383307.32940000,0
2023-09-07,1.29,1.393,1.191,1.23,48015427.2,1694131199999,61889318.26990000,185995,24066157.60000000,31106706.79280000,0
2023-09-08,1.23,1.253,1.113,1.135,15372742.1,1694217599999,17990950.16970000,58679,7037718.40000000,8250992.71240000,0
2023-09-09,1.136,1.183,1.12,1.168,11138776.1,1694303999999,12831337.72510000,43184,5483253.60000000,6318918.36260000,0
2023-09-10,1.167,1.182,1.056,1.093,14011976.1,1694390399999,15353685.05500000,50825,6427241.50000000,7036764.31990000,0
2023-09-11,1.093,1.111,0.996,1.009,20794947.7,1694476799999,22075105.05210000,67873,10114067.20000000,10779014.61040000,0
2023-09-12,1.01,1.063,0.971,1.01,18042964.5,1694563199999,18234574.74380000,66934,9264395.80000000,9366234.92830000,0
2023-09-13,1.011,1.043,0.972,1.012,17564118.8,1694649599999,17780579.95170000,60628,8907965.10000000,9021064.99810000,0
2023-09-14,1.013,1.119,0.997,1.067,17229787.4,1694735999999,18126726.37590000,61746,8667166.10000000,9123735.90960000,0
2023-09-15,1.069,1.376,1.048,1.326,47412876.7,1694822399999,58139037.04410000,174382,24050111.40000000,29439140.40840000,0
2023-09-16,1.326,1.724,1.31,1.505,106171716.9,1694908799999,161413305.07090000,505584,53246700.20000000,80960977.98530000,0
2023-09-17,1.506,1.507,1.231,1.264,41079460.6,1694995199999,55220876.27220000,163853,18050528.10000000,24288747.70500000,0
2023-09-18,1.264,1.497,1.232,1.353,43731635.5,1695081599999,60088767.53010000,192345,22539546.80000000,30982599.21120000,0
2023-09-19,1.353,1.425,1.314,1.377,21320222.2,1695167999999,29209341.54050000,105927,10432460.50000000,14305996.82360000,0
2023-09-20,1.378,1.58,1.353,1.561,35789939.7,1695254399999,52348328.81100000,193928,17710631.90000000,25948371.34350000,0
2023-09-21,1.56,1.65,1.376,1.509,33812997.0,1695340799999,50170104.81040000,173981,15517218.60000000,23051154.90490000,0
2023-09-22,1.509,1.648,1.455,1.604,28695927.9,1695427199999,45004232.62360000,175235,14000303.90000000,21982042.27310000,0
2023-09-23,1.605,1.692,1.49,1.509,19796739.0,1695513599999,31076379.16440000,119831,9331594.20000000,14665348.81190000,0
2023-09-24,1.509,1.681,1.493,1.621,16322504.0,1695599999999,25923757.28800000,96098,7941595.90000000,12626125.11650000,0
2023-09-25,1.62,1.759,1.571,1.722,27924416.6,1695686399999,46891374.28140000,172074,14312072.30000000,24064579.94500000,0
2023-09-26,1.722,1.789,1.635,1.691,21211798.1,1695772799999,35989834.84580000,126406,9043063.90000000,15372192.83260000,0
2023-09-27,1.692,1.834,1.671,1.797,18089745.3,1695859199999,31383480.05140000,111684,9090521.70000000,15794775.85600000,0
2023-09-28,1.797,1.899,1.774,1.79,20976773.0,1695945599999,38545578.80740000,125885,10259716.90000000,18869869.44220000,0
2023-09-29,1.79,1.851,1.684,1.728,14784404.8,1696031999999,26030595.96380000,88697,6778259.70000000,11948978.57050000,0
2023-09-30,1.729,1.817,1.657,1.669,14095697.1,1696118399999,24510576.70720000,82106,6572038.70000000,11437787.48780000,0
2023-10-01,1.67,1.8,1.666,1.78,15827683.7,1696204799999,27337100.23950000,107904,7789666.50000000,13453961.42090000,0
2023-10-02,1.78,1.806,1.611,1.641,12425463.2,1696291199999,21074329.67450000,73156,5706005.70000000,9688761.02960000,0
2023-10-03,1.641,1.676,1.523,1.533,10592613.5,1696377599999,17080846.38790000,55951,4493614.30000000,7253397.57060000,0
2023-10-04,1.533,1.562,1.453,1.542,10596901.7,1696463999999,16094158.51080000,54141,4983640.80000000,7572663.78120000,0
2023-10-05,1.542,1.59,1.489,1.507,8096030.6,1696550399999,12538618.18670000,47082,3924553.70000000,6087161.14100000,0
2023-10-06,1.508,1.69,1.504,1.653,11581325.2,1696636799999,18464003.06740000,65087,6046718.90000000,9645660.68970000,0
2023-10-07,1.653,1.682,1.587,1.602,7910953.0,1696723199999,12914968.33660000,46868,3546804.10000000,5793400.45290000,0
2023-10-08,1.602,1.635,1.566,1.583,3936957.6,1696809599999,6291179.66380000,25766,1772197.00000000,2834502.37680000,0
2023-10-09,1.583,1.606,1.485,1.551,5980150.1,1696895999999,9185088.56780000,50044,2712138.90000000,4166646.77160000,0
2023-10-10,1.55,1.57,1.51,1.552,4080862.7,1696982399999,6278481.24430000,32160,1771763.10000000,2728322.16740000,0
2023-10-11,1.553,1.658,1.521,1.631,10854774.4,1697068799999,17295278.15110000,67311,5941648.10000000,9472572.87240000,0
2023-10-12,1.632,1.639,1.444,1.463,11172281.6,1697155199999,16811736.42120000,59805,5199518.30000000,7833289.52700000,0
2023-10-13,1.463,1.509,1.425,1.486,7111327.0,1697241599999,10439081.27600000,33694,3243873.60000000,4760496.83400000,0
2023-10-14,1.486,1.516,1.462,1.495,3621340.8,1697327999999,5372630.92520000,19415,1578482.60000000,2341626.11920000,0
2023-10-15,1.495,1.546,1.474,1.529,6395764.5,1697414399999,9628331.71310000,27960,3125559.80000000,4707413.83050000,0
2023-10-16,1.528,1.688,1.51,1.609,15031876.1,1697500799999,24012645.14860000,65500,6627973.80000000,10576794.63140000,0
2023-10-17,1.61,1.677,1.585,1.624,8903165.5,1697587199999,14515369.20240000,40972,4649118.50000000,7583786.59520000,0
