timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-17,0.095,0.295,0.095,0.213,1558854668.4,1718668799999,377910005.96276000,944869,754758833.60000000,183342141.84813000,0
2024-06-18,0.213,0.232,0.186,0.2202,1189119720.3,1718755199999,249867271.98777000,650081,592056607.20000000,124722780.48531000,0
2024-06-19,0.2202,0.24,0.2126,0.2242,727374424.1,1718841599999,165093294.00809000,439223,373405162.00000000,84847642.54544000,0
2024-06-20,0.2242,0.2242,0.191,0.1983,493478200.9,1718927999999,102830988.57760000,241226,233582151.50000000,48685071.94192000,0
2024-06-21,0.1983,0.2036,0.176,0.1822,382766488.9,1719014399999,71762765.63459000,197521,178626056.00000000,33517518.76237000,0
2024-06-22,0.1821,0.1886,0.1727,0.1818,254264754.6,1719100799999,46213113.23400000,128719,121865401.80000000,22171787.30106000,0
2024-06-23,0.1818,0.186,0.1658,0.1679,205578631.8,1719187199999,36158155.10590000,112724,96419705.40000000,16969273.02111000,0
2024-06-24,0.1679,0.1724,0.152,0.1696,449034012.5,1719273599999,73178414.97086000,219701,214243345.00000000,34982477.01667000,0
2024-06-25,0.1695,0.18,0.1587,0.1692,303982685.4,1719359999999,51287826.18687000,191136,148926618.20000000,25171679.41894000,0
2024-06-26,0.1692,0.1725,0.1545,0.1588,192801047.5,1719446399999,31428796.48428000,106741,93237989.50000000,15202611.71515000,0
2024-06-27,0.1588,0.1647,0.1501,0.1611,219769661.2,1719532799999,34664175.26296000,119031,103517915.10000000,16345109.71657000,0
2024-06-28,0.161,0.1724,0.1563,0.1577,269722076.1,1719619199999,43865374.29134000,151742,132489580.40000000,21584005.92620000,0
2024-06-29,0.1577,0.172,0.1568,0.163,198178891.9,1719705599999,33061544.48943000,124855,97756694.40000000,16314172.58156000,0
2024-06-30,0.1629,0.1849,0.1585,0.1772,273525100.0,1719791999999,47407735.96122000,155907,136840212.20000000,23736380.30493000,0
2024-07-01,0.1772,0.1942,0.1731,0.1835,315501210.0,1719878399999,57665094.69991000,180020,158548928.40000000,28988924.63153000,0
2024-07-02,0.1835,0.1846,0.173,0.1844,224214659.8,1719964799999,40084671.56738000,131540,107108344.10000000,19166446.26918000,0
2024-07-03,0.1844,0.1916,0.1732,0.188,437615356.4,1720051199999,79879156.86276000,282958,218457282.10000000,39899781.45472000,0
2024-07-04,0.188,0.1895,0.1441,0.1464,461059086.4,1720137599999,75494849.23053000,210458,217839462.90000000,35661520.79122000,0
2024-07-05,0.1464,0.1535,0.1262,0.1503,521477278.0,1720223999999,73708505.85221000,241375,257716651.60000000,36488802.81662000,0
2024-07-06,0.1503,0.1708,0.1488,0.1652,287136122.2,1720310399999,46158014.85035000,159437,145378222.20000000,23385175.11543000,0
2024-07-07,0.1652,0.1668,0.1461,0.1475,233324534.8,1720396799999,36490571.69399000,127159,104218428.90000000,16279452.72988000,0
2024-07-08,0.1475,0.1585,0.138,0.1453,249813034.8,1720483199999,37167544.22476000,138565,118145605.30000000,17581237.35901000,0
2024-07-09,0.1453,0.1531,0.1444,0.1495,175624474.9,1720569599999,26282112.64754000,90428,84113890.10000000,12594078.12049000,0
2024-07-10,0.1494,0.166,0.1473,0.1634,203513409.7,1720655999999,32450271.30062000,104350,97966135.70000000,15614608.04344000,0
2024-07-11,0.1633,0.1741,0.1513,0.1531,256128773.9,1720742399999,41663024.05574000,136490,114522279.60000000,18629565.80509000,0
2024-07-12,0.1531,0.1586,0.1479,0.1573,130935836.4,1720828799999,20055467.20664000,82990,62482967.20000000,9576457.62275000,0
2024-07-13,0.1573,0.165,0.1514,0.1595,122697010.8,1720915199999,19327567.45246000,73094,57089640.00000000,8994951.53223000,0
2024-07-14,0.1595,0.1681,0.1535,0.1661,124388542.5,1721001599999,19816766.62699000,71564,62616595.60000000,9983692.17431000,0
2024-07-15,0.166,0.1775,0.1636,0.1773,181859182.3,1721087999999,30793615.28581000,107896,93350073.40000000,15813587.42651000,0
2024-07-16,0.1773,0.1774,0.1635,0.1723,200480836.1,1721174399999,34185024.50415000,112837,91160969.50000000,15545095.65803000,0
2024-07-17,0.1723,0.1813,0.165,0.1667,158790598.3,1721260799999,27547905.13388000,108177,74850675.60000000,12994826.32011000,0
2024-07-18,0.1667,0.1733,0.1605,0.1672,120750152.5,1721347199999,20297004.85219000,83067,55798472.70000000,9376769.45346000,0
2024-07-19,0.1672,0.1808,0.1627,0.1774,195517622.1,1721433599999,33826052.36255000,131922,94434470.60000000,16348141.70240000,0
2024-07-20,0.1775,0.1944,0.174,0.1897,216839478.3,1721519999999,39850667.56724000,137045,106123274.80000000,19539982.18952000,0
2024-07-21,0.1896,0.2034,0.1817,0.1983,293731568.2,1721606399999,57078043.62016000,214556,142173299.30000000,27665514.17486000,0
2024-07-22,0.1983,0.2034,0.1775,0.1796,212728482.8,1721692799999,40315920.96723000,159245,96174157.00000000,18252383.91716000,0
2024-07-23,0.1796,0.194,0.175,0.1811,243600325.9,1721779199999,45231805.18178000,181468,118631757.80000000,22046123.44289000,0
2024-07-24,0.181,0.181,0.1646,0.1672,147915015.2,1721865599999,25733461.88554000,99198,66767862.90000000,11630303.24554000,0
2024-07-25,0.1672,0.168,0.1493,0.1561,210129163.3,1721951999999,33132877.50610000,158255,98832235.00000000,15589588.22235000,0
2024-07-26,0.1561,0.163,0.155,0.1611,145044880.9,1722038399999,23135652.81368000,108078,71117945.70000000,11347754.89571000,0
