timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-20,1.0,5.62,1.0,3.432,38449052.71,1718927999999,151388906.37085000,585889,17928724.47000000,70847892.19297000,0
2024-06-21,3.432,3.623,2.957,3.04,31540495.06,1719014399999,100994307.04495000,406010,15335764.02000000,49085710.41100000,0
2024-06-22,3.038,3.393,2.791,3.088,25846725.0,1719100799999,79429026.09399000,292341,12638399.31000000,38876061.63504000,0
2024-06-23,3.089,3.299,2.75,2.808,12798445.7,1719187199999,38340986.57250000,156007,6504496.11000000,19509887.55722000,0
2024-06-24,2.807,2.891,2.55,2.842,16724837.98,1719273599999,45566831.71656000,173281,8407543.32000000,22927577.52710000,0
2024-06-25,2.842,2.92,2.719,2.768,13065767.33,1719359999999,36779341.45444000,140311,6552592.63000000,18453454.04488000,0
2024-06-26,2.768,2.813,2.524,2.542,11226499.6,1719446399999,29639466.80679000,128885,5548807.35000000,14638680.21081000,0
2024-06-27,2.542,2.64,2.466,2.548,15492437.32,1719532799999,39805028.29989000,153662,7822950.01000000,20112740.54608000,0
2024-06-28,2.546,2.693,2.489,2.514,13248627.95,1719619199999,34123786.25689000,109550,6371057.36000000,16414551.75089000,0
2024-06-29,2.514,2.893,2.472,2.781,21524778.99,1719705599999,59135472.24692000,176955,10751360.77000000,29584262.29166000,0
2024-06-30,2.779,3.546,2.692,3.477,30259367.07,1719791999999,94854545.41961000,309406,15384804.95000000,48217607.04664000,0
2024-07-01,3.478,4.025,3.276,3.782,35973399.76,1719878399999,129185095.51106000,363554,18258113.79000000,65614559.41020000,0
2024-07-02,3.781,4.116,3.672,3.83,26520653.77,1719964799999,102326938.46479000,294377,13369688.31000000,51613025.47913000,0
2024-07-03,3.831,4.262,3.52,3.547,34770233.5,1720051199999,134352513.72130000,362461,17757707.42000000,68670401.42761000,0
2024-07-04,3.55,3.587,3.045,3.087,23514328.04,1720137599999,76745438.52680000,226796,11366724.79000000,37096494.25169000,0
2024-07-05,3.086,3.98,2.722,3.918,39966811.2,1720223999999,133038186.34791000,426961,20547243.39000000,68509058.27532000,0
2024-07-06,3.918,4.43,3.886,4.201,35968650.65,1720310399999,149201156.01976000,443526,18135772.13000000,75232771.76924000,0
2024-07-07,4.201,4.377,3.713,4.0,24447217.48,1720396799999,98103447.66262000,320230,12351461.60000000,49588446.14116000,0
2024-07-08,4.0,4.12,3.682,3.868,21960978.27,1720483199999,85125041.98856000,316652,10867181.39000000,42108711.51928000,0
2024-07-09,3.867,4.072,3.741,3.865,13180168.44,1720569599999,51074079.15923000,186738,6905082.69000000,26766180.28372000,0
2024-07-10,3.867,4.519,3.666,4.019,19475418.85,1720655999999,81452065.63680000,264303,9920741.64000000,41533285.60952000,0
2024-07-11,4.019,4.225,3.735,3.752,16946927.24,1720742399999,67165290.77617000,239883,8704333.18000000,34453901.89031000,0
2024-07-12,3.751,3.888,3.605,3.747,9477869.59,1720828799999,35627349.15986000,154202,4654216.59000000,17491450.74127000,0
2024-07-13,3.748,3.869,3.657,3.722,6821554.82,1720915199999,25638973.11210000,106581,3119571.60000000,11726447.25648000,0
2024-07-14,3.721,3.94,3.615,3.874,9867479.22,1721001599999,36873345.05972000,117776,4800816.78000000,17929440.33338000,0
2024-07-15,3.874,4.197,3.846,4.151,12783843.71,1721087999999,51171331.41873000,183828,6249607.09000000,25000996.39103000,0
2024-07-16,4.151,4.174,3.812,3.981,8460614.21,1721174399999,33569310.25640000,138443,4082574.98000000,16187369.22597000,0
2024-07-17,3.982,4.38,3.965,4.005,13394121.4,1721260799999,55403610.13708000,175379,6323232.51000000,26181525.62665000,0
2024-07-18,4.005,4.196,3.773,3.926,9281318.83,1721347199999,36935000.87461000,118404,4460546.35000000,17755822.54071000,0
2024-07-19,3.926,3.993,3.718,3.965,8142864.86,1721433599999,31364575.98502000,100459,3871175.67000000,14901199.09262000,0
2024-07-20,3.965,5.453,3.85,5.293,26829088.66,1721519999999,123783657.34668000,417132,13381908.57000000,61837933.19190000,0
2024-07-21,5.294,5.418,4.905,5.225,21692256.4,1721606399999,112340317.36358000,418967,10507013.98000000,54434983.10628000,0
2024-07-22,5.226,5.6,4.955,5.161,20293705.93,1721692799999,106493869.93187000,399525,10329351.58000000,54256514.61442000,0
2024-07-23,5.161,5.246,4.726,4.891,12728008.75,1721779199999,63668347.06988000,246837,6280377.61000000,31404448.06090000,0
2024-07-24,4.892,5.039,4.691,4.81,10316855.93,1721865599999,49994337.16891000,177728,5048250.97000000,24457548.17211000,0
2024-07-25,4.811,4.86,4.3,4.579,10667908.3,1721951999999,48569702.62313000,181579,5103692.21000000,23211441.67570000,0
2024-07-26,4.579,4.858,4.509,4.714,9190827.62,1722038399999,42624991.84234000,186691,4849809.22000000,22474372.52632000,0
2024-07-27,4.715,5.02,4.397,4.579,12237085.06,1722124799999,57260838.47786000,214249,6199726.06000000,28995979.35570000,0
2024-07-28,4.577,4.602,4.356,4.412,5400061.32,1722211199999,24066432.81345000,80258,2929243.41000000,13059921.60127000,0
2024-07-29,4.413,4.637,4.25,4.358,7468556.58,1722297599999,33193732.91110000,107659,3473119.40000000,15453296.84380000,0
2024-07-30,4.357,4.617,4.309,4.467,7583917.83,1722383999999,34068888.49020000,132478,3419564.94000000,15373434.51822000,0
2024-07-31,4.467,4.707,4.385,4.448,8153712.6,1722470399999,36976701.47673000,128594,3925824.57000000,17802170.53797000,0
2024-08-01,4.449,4.489,3.882,4.111,10887604.41,1722556799999,44782099.31966000,171250,5824118.07000000,23929801.12664000,0
